prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita
Maluku,Kab. Maluku Tengah,Teon Nila Serua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BE23A1DA-4836-46BC-B854-9DB76F9EE450,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69947973,KB BOGENVIL 2,69947973,Jl. Pendidikan. Negeri Nakupia,NAKUPIA,KEC. TEON NILA SERUA,KAB. MALUKU TENGAH,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.1/36/SK/2005,25-09-2005,420/ 94 /SK/2013,29-05-2013,Lihat SK Operasional,2016-08-25 12,,"2,000",,2.,,,,kbbogenvil2@gmail.com,,-3.200500000000,128.977000000000,0,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Maluku,Kab. Maluku Tengah,Teon Nila Serua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/95D88D8A-68B4-49E9-AAC1-7A0FB250C088,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69936019,KB KASIH BUNDA,69936019,Desa Layeni Jalur 12 RT. 01,LAYENI,KEC. TEON NILA SERUA,KAB. MALUKU TENGAH,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,420/26/SK/2016,24-02-2016,420/40/SK/2014,11-12-2014,Lihat SK Operasional,2016-02-26 00,,300,1. -,2. -,PLN,,,,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,450,1,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,Tidak Ada
Maluku,Kab. Maluku Tengah,Teon Nila Serua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E745B461-4D94-48BD-89FB-109D295EE3A2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70007223,KB MAWAR SARON II JERILI,70007223,Jl. Brigjen sumitro RT. 02/RW. 01 Negeri Jerili,JERILI,KEC. TEON NILA SERUA,KAB. MALUKU TENGAH,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,No. 141/16/2019,08-03-2019,No. 139/ SK / 2020,24-09-2020,Lihat SK Operasional,2021-01-20 23,,300,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,paudmawarsaroniijerili@gmail.com,,.000000000000,.000000000000,4,0,0,0,2013,Sehari Penuh/5 hari,,2022/2023-2,0,3,0,0,0,0,0,0,4,4,0,0,0,0,4,1,0,3,0,1,0,2,1,0,0,0,4,3,0,0,0,0,0,0,0,Telkomsel Flash
Maluku,Kab. Maluku Tengah,Teon Nila Serua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/85EFCEB4-DB3B-4FF5-80F0-7A1B2BB899A3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69936037,KB WITELY KASIH,69936037,Jl. Trans Seram - Desa Trana,TRANA,KEC. TEON NILA SERUA,KAB. MALUKU TENGAH,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Witely Kasih,AM4685,44 / PJ.KPN.T / 2009,25-08-2009,420/29/SK/2016,24-02-2016,Lihat SK Operasional,2016-02-26 00,C,399,1. -,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,4,0,0,0,2013,Pagi/6 hari,,2022/2023-2,450,2,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,4,1,1,0,0,1,0,1,0,4,2,0,0,0,0,0,0,0,Tidak Ada
Maluku,Kab. Maluku Tengah,Teon Nila Serua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C50D3342-8395-40A4-A864-D4B4B2707105,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69936022,KB WOMERINA,69936022,Negeri Bumei,BUMEY,KEC. TEON NILA SERUA,KAB. MALUKU TENGAH,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan PAUD WAUPUTIH INDA,AM4664,420/02/KPN/2014,29-09-2014,420/27/SK/2016,24-02-2016,Lihat SK Operasional,2016-02-26 00,,180,,2.,,,,paudwomerina94@gmail.com,,.000000000000,.000000000000,3,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,1,2,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,
Maluku,Kab. Maluku Tengah,Teon Nila Serua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8151388C-33C6-4824-A0F3-7A91A850E6F4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69984002,PAUD HERMON,69984002,Resetlemen Tone Tanah,WARU,KEC. TEON NILA SERUA,KAB. MALUKU TENGAH,PROV. MALUKU,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PEMBINAAN PENDIDIKAN KRISTEN DR. J. B. SITANALA,AK8991,No. 03/SKEP/KMS-JTO/D.3/11/2017,06-11-2017,No. 54/SK / 2018,16-10-2018,Lihat SK Operasional,2018-12-20 09,,0,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,paudhermon1806@gmail.com,,.000000000000,.000000000000,3,0,0,0,2013,Sehari Penuh/5 hari,,2022/2023-2,"1,200",2,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,0,1,1,1,0,0,0,1,2,2,0,0,0,0,0,0,0,Telkomsel Flash
Maluku,Kab. Maluku Tengah,Teon Nila Serua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A12BE5AF-37B3-4E21-A64A-B93A2BBFC6BB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69985808,PAUD KHEN,69985808,NEGERI MESA,MESA,KEC. TEON NILA SERUA,KAB. MALUKU TENGAH,PROV. MALUKU,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,No. 420/94/SK/2010,20-07-2010,No. 15/ SK / 2019,11-02-2019,Lihat SK Operasional,2019-02-26 11,,300,1. -,2. -,PLN,,,,,.000000000000,.000000000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,450,1,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,0,0,1,0,1,1,0,0,3,1,0,0,0,0,0,0,0,Tidak Ada
Maluku,Kab. Maluku Tengah,Teon Nila Serua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E3D894A5-C991-44E5-9C2C-BBA40938C42D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69985837,PAUD PENABUR ILMU,69985837,Jl. Brigjen B. Sumitro Negeri Jerili,JERILI,KEC. TEON NILA SERUA,KAB. MALUKU TENGAH,PROV. MALUKU,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,No. 141/11/SK/2015,03-11-2015,No. 16/ SK / 2019,16-02-2019,Lihat SK Operasional,2022-09-28 05,,510,1. Lainnya,2. -,PLN,,,paudpenaburilmujerili@gmail.com,,.000000000000,.000000000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,900,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,Lainnya
Maluku,Kab. Maluku Tengah,Teon Nila Serua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1D5A6658-A424-4FF1-AC10-0A512A6CAC94,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69989849,PAUDNI MELATI,69989849,NEGERI WARU,WARU,KEC. TEON NILA SERUA,KAB. MALUKU TENGAH,PROV. MALUKU,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,NO. 3376/SK/2012,06-07-2012,NO. 55/ SK / 2019,15-07-2019,Lihat SK Operasional,2019-08-22 12,,49,1. -,2. -,PLN,,,,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,450,1,0,0,0,0,0,1,1,2,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,Tidak Ada
Maluku,Kab. Maluku Tengah,Teon Nila Serua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B81F1A79-95E0-45A6-B7AE-00708B3690A0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69987013,PAUDNI PONDASI Negeri Mesa,69987013,DESA MESA,MESA,KEC. TEON NILA SERUA,KAB. MALUKU TENGAH,PROV. MALUKU,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,No. 205/SK/2012,28-11-2012,No. 29/ SK / 2019,25-04-2019,Lihat SK Operasional,2019-04-10 18,,0,1. -,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,899,3,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,Tidak Ada
