prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Sumatera Barat,Kab. Tanah Datar,Tanjung Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D7487C04-034C-4EA9-87D2-BC95834AA9B3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69844989,KB AISYIYAH,69844989,JLN.RAYA PAYAKUMBUH - BATUSANGKAR KM 22,BARULAK,KEC. TANJUNG BARU,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pimpinan Daerah Muhammadiyah (PDM) Kab. Tanah Datar,AO5530,,,421.1/015/PAUD/DISDIK/201,,Silakan Upload SK,,,0,1. -,2. -,Menumpang,,,,,.000000000000,.000000000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Sumatera Barat,Kab. Tanah Datar,Tanjung Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4D4B5902-0614-4283-8780-2D47533205CA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69814724,KB AL MIZAN,69814724,KOTO BASA GUNUNG,TANJUANG ALAM,KEC. TANJUNG BARU,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,SPS,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AN3391,,,421.1/510/2013,,Silakan Upload SK,,,0,1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,,,Paud_almizan@yahoo.com,,-5.443757000000,114.421127000000,2,0,0,0,2013,Sehari Penuh/3 hari,,2022/2023-2,Lainnya (Serat Optik),900,1,0,0,1,0,0,0,2,2,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0
Sumatera Barat,Kab. Tanah Datar,Tanjung Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/92E75211-4150-4515-B240-3CA49F98A918,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69814748,PAUD PERMATA BUNDA,69814748,Jorong Koto Nan Tuo,BARULAK,KEC. TANJUNG BARU,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,SPS,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN NAGARI BARULAK,AX4977,06 Tahun 2015,01-04-2015,0245010040193,04-12-2020,Lihat SK Operasional,2021-02-04 14,C,0,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,paudpermatabunda2006@gmail.com,,.000000000000,.000000000000,2,0,0,0,2013,Sehari Penuh/3 hari,,2022/2023-2,Telkomsel Flash,450,2,0,0,1,0,0,3,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0
Sumatera Barat,Kab. Tanah Datar,Tanjung Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D36C0A4B-7F66-4BF1-B340-E42F1A177F14,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69844992,PAUD SERUNAI,69844992,GUNUNG,TANJUANG ALAM,KEC. TANJUNG BARU,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,24/SK/WNTA-2004,08-08-2004,9120106501608,24-05-2020,Lihat SK Operasional,2020-07-07 14,C,80,1. -,2. -,Tidak Ada,,,,,.000000000000,.000000000000,1,0,0,0,2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Sumatera Barat,Kab. Tanah Datar,Tanjung Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CFD89CED-CE4B-469A-AB75-C052D77DF66E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69844990,POS PAUD AL-IKHLAS,69844990,Jln.Raya Batusangkar-Payakumbuh KM 20,TANJUANG ALAM,KEC. TANJUNG BARU,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,SPS,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan PAUD AL IKHLAS,AN3387,,,421.1/1507/PNFI/DISDIK/20,,Silakan Upload SK,,B,30,1. -,2. Telkomsel Flash,PLN,,,,,-5.443757000000,114.421127000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Sumatera Barat,Kab. Tanah Datar,Tanjung Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3D5F01F8-3873-40E8-9FD1-514A5E482601,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69814703,POS PAUD ARRAHMAN,69814703,SAWAH PARIK,TANJUANG ALAM,KEC. TANJUNG BARU,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,SPS,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan ARRAHMAN,AN3381,,,421.1/1066/PAUD/2012,,Silakan Upload SK,,C,80,1. -,2. -,PLN,,,,,.000000000000,.000000000000,1,0,0,0,2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,900,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Sumatera Barat,Kab. Tanah Datar,Tanjung Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1324EC7A-B63F-4990-ACE6-3FD045EB9579,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69814746,POS PAUD BERINGIN SAKTI,69814746,GANTIANG ATEH,TANJUANG ALAM,KEC. TANJUNG BARU,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,SPS,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Beringin Sakti,AN3390,,,421.1/1990/2012,,Silakan Upload SK,,,20,1. -,2. -,Menumpang,,,,,.000000000000,.000000000000,0,0,0,0,2013,Sehari Penuh/3 hari,,2022/2023-2,Tidak Ada,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sumatera Barat,Kab. Tanah Datar,Tanjung Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2E84781C-42A4-4436-8DE7-A78247525319,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69814760,POS PAUD BUNDO KANDUANG,69814760,AUA,BARULAK,KEC. TANJUNG BARU,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,SPS,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN NAGARI BARULAK,AX4977,,,421.1/1075/2012,,Silakan Upload SK,,C,25,,2.,,,,,,.000000000000,.000000000000,1,0,0,0,2013,,,2022/2023-2,,,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sumatera Barat,Kab. Tanah Datar,Tanjung Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DA90D01F-371F-4980-82AB-578D63C9E5B1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69814695,POS PAUD HARAPAN IBU II,69814695,DUO BALEH KOTO,TANJUANG ALAM,KEC. TANJUNG BARU,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,SPS,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Harapan Ibu,AN3393,,,421.1/1989/2012,,Silakan Upload SK,,C,9,1. -,2. -,Lainnya,,,,,.000000000000,.000000000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Sumatera Barat,Kab. Tanah Datar,Tanjung Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C00BBE19-9995-40F2-A333-7DFC551AC47F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69844991,POS PAUD NUSA INDAH,69844991,JORONG BAYUA,TANJUANG ALAM,KEC. TANJUNG BARU,KAB. TANAH DATAR,PROV. SUMATERA BARAT,SWASTA,SPS,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",yayasan Nusa Indah,AN3383,,,421.1/1506/DISDIK - 2013,,Silakan Upload SK,,C,0,1. -,2. -,PLN,,,,,.000000000000,.000000000000,1,0,0,0,2013,Sehari Penuh/3 hari,,2022/2023-2,Tidak Ada,450,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0
