prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita
Jawa Timur,Kab. Jember,Sukorambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EA1C5162-9A94-42AB-9F93-C0BBC58ECF8A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69785816,KB AL AQSO,69785816,DUSUN DURJO RT 003 RW 005,KARANGPRING,KEC. SUKORAMBI,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.9/1667/P/413/2015,11-05-2015,503/A.1/PAUD.P/0536/35.09.325/2019,26-12-2019,Lihat SK Operasional,2021-06-24 14,,0,,2.,,,,paudalaqso2020@gmail.com,,-8.108077600000,113.660468200000,3,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,3,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,
Jawa Timur,Kab. Jember,Sukorambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5BA8E4DC-3DD3-4264-99F3-77B187037D01,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69777573,KB AL IKHLAS,69777573,MERAK RT 01/RW 03 JUBUNG UTARA,JUBUNG,KEC. SUKORAMBI,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan AL-IKHLAS,AH0632,,,5031912436316,,Silakan Upload SK,,,"1,460",1. -,2. -,PLN,,,kbalikhlas7@gmail.com,,-8.184074000000,113.638745000000,5,0,0,0,2013,Pagi/6 hari,,2022/2023-2,450,3,0,0,0,0,0,6,0,5,0,0,0,0,5,0,0,5,1,0,0,1,2,1,0,0,5,0,3,0,0,0,0,0,0,Tidak Ada
Jawa Timur,Kab. Jember,Sukorambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0775653-5E99-4EDA-B30C-8685A87C87D8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69777576,KB AL MUNAWAROH,69777576,MUJAHIR 69 SUKORAMBI,SUKORAMBI,KEC. SUKORAMBI,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan AL MUNAWAROH,AH0624,421.9/2363/413/2013,05-06-2013,503/A.1/PAUD.P/0085/35.09.325/2021,28-04-2021,Lihat SK Operasional,2021-06-19 01,B,162,,2.,,,,paudalmunawaroh69@gmail.com,,-8.155500000000,113.667700000000,2,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,
Jawa Timur,Kab. Jember,Sukorambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/52F84328-E293-42C8-86AE-E0CC5E25E680,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69777575,KB ANANDA,69777575,DSN MANGGIS SUKORAMBI,SUKORAMBI,KEC. SUKORAMBI,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.9/5062/413/2009,09-06-2009,503/A.1/PAUD.P/0436/35.09.325/2019,16-09-2019,Lihat SK Operasional,2020-02-03 07,B,0,1. -,2. Indosat IM3,PLN,,,anandapaud6@gamil.com,,-8.143949000000,113.662963000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,450,2,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,Tidak Ada
Jawa Timur,Kab. Jember,Sukorambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/317B4E20-C3DA-4590-84C5-22C415A96B6A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69910958,KB AR - ROYYAN,69910958,DUSUN AMPO DUKUH MENCEK,DUKUH MENCEK,KEC. SUKORAMBI,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan PAUD AR-ROYYAN,AH0637,421.9/324/413/2014,24-01-2014,421.9/324/413/2014,24-01-2014,Lihat SK Operasional,2016-12-11 19,,0,,2.,,,,Kartini12341@gmail.com,http,-8.167659000000,113.648726000000,3,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,3,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,
Jawa Timur,Kab. Jember,Sukorambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/83A2DED6-CEF6-49A9-BE9F-9AC550635F17,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69777574,KB AR RAHMAN,69777574,CEMPAKA RT 01 RW 04 DSN LEDOKOMBO - DUKUH MENCEK SUKORAMBI,DUKUH MENCEK,KEC. SUKORAMBI,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan AR RAHMAN,AH0645,,,503/2398/436.316/2008,,Silakan Upload SK,,,483,1. -,2. -,PLN,,,kbarrahmanpaud@gmail.com,,-8.158902000000,113.645496000000,2,0,0,0,2013,Sehari Penuh/6 hari,,2022/2023-2,900,2,0,0,0,0,0,2,1,2,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,Tidak Ada
Jawa Timur,Kab. Jember,Sukorambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E9FEC822-20E5-4EE2-BA69-329E03DACE54,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69777577,KB AS SHOFA,69777577,PERUMDIM RT 06/RW 03 JUBUNG LOR,JUBUNG,KEC. SUKORAMBI,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,421.9/1954/413/2010,,Silakan Upload SK,,,0,,2.,,,,,,-8.188800000000,113.641200000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jawa Timur,Kab. Jember,Sukorambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F96D8AEE-F3A4-479C-AF76-1D2B3EDE26F8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69777571,KB BUSTANUL ULUM,69777571,RT 02/RW 02 CURAH DAMI,SUKORAMBI,KEC. SUKORAMBI,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,5033754436,,Silakan Upload SK,,,400,,2.,,,,,,-8.131140000000,113.661085000000,4,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,5,0,4,0,0,0,0,4,0,0,4,1,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,
Jawa Timur,Kab. Jember,Sukorambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/67341108-685C-47BB-9F0E-D71024418B05,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69777572,KB MIFTAHUL ABROR,69777572,BRIGJEN SYAFIUDDIN DSN CURAHDAMI RT 03/04,SUKORAMBI,KEC. SUKORAMBI,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,5033755436,,Silakan Upload SK,,,525,,2.,,,,,,-8.171688700000,113.657287100000,3,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,3,1,3,0,0,0,0,3,0,0,3,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,
Jawa Timur,Kab. Jember,Sukorambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0B56E72C-77CC-4B3A-A746-DF48406016B2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69781432,KB NURUL HIDAYAH,69781432,CURAHDAMI / ARGOPURO FM,SUKORAMBI,KEC. SUKORAMBI,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan FATHUR RAHMAN,AH0639,,,421.9/062/413/2010,,Silakan Upload SK,,,150,,2.,,,,,,-8.175168700000,113.649519400000,3,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,3,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,
