prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita
Sumatera Utara,Kab. Deli Serdang,Pagar Marbau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0A4720CD-1E0E-4D4D-9D85-476A661409EF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69957801,Al-Muttaqin,69957801,Dusun III Desa Sukamandi Hilir,SIDODADI BATU DELAPAN,KEC. PAGAR MARBAU,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,RA,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Sumatera Utara,Kab. Deli Serdang,Pagar Marbau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/76E4B5BB-FD60-4A5E-96AD-92294A1D0278,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69763141,KB AL HIKMAH,69763141,GALANG,PAGAR MERBAU I,KEC. PAGAR MARBAU,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.9/3086/PLS/2016,07-04-2016,503.570/DPMPTSP-DS/P5F-TK/DU/VII/2021,29-07-2021,Lihat SK Operasional,2022-11-02 07,C,49,1. -,2. Telkomsel Flash,PLN,,,kb.alhikmah72@gmail.com,,.000000000000,.000000000000,4,0,0,0,Pagi/6 hari,,2022/2023-2,900,0,0,0,0,0,0,5,0,4,0,0,0,0,4,0,0,4,2,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,2013,Tidak Ada
Sumatera Utara,Kab. Deli Serdang,Pagar Marbau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8FF823DE-0331-4080-89EA-F27575EC2AA3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69906000,KB AL-BAROKAH,69906000,JL. GALANG KM 8 DESA JATI REJO,JATI REJO,KEC. PAGAR MARBAU,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,15,19-10-2011,421.9/4968/PLS/2012,26-04-2012,Lihat SK Operasional,2015-10-02 15,B,"2,090",1. Telkomsel Flash,2. 3 (Tri),PLN,,,kb.albarokah22@gmail.com,,.000000000000,.000000000000,3,0,0,0,Pagi/6 hari,,2022/2023-2,900,1,0,0,0,0,0,1,2,3,0,0,0,0,3,0,1,2,2,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2013,Telkomsel Flash
Sumatera Utara,Kab. Deli Serdang,Pagar Marbau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2EB4F2CE-66D4-49C4-80B2-E9481BCB1C2A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69763137,KB ANGGREK,69763137,JL. TANJUNG GARBUS,TANJUNG GARBUS KAMPUNG,KEC. PAGAR MARBAU,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.9/9909/PLS/2015,15-12-2015,421.9/9909/PLS/2015,15-12-2015,Silakan Upload SK,,,300,1. -,2. -,PLN,,,kb.anggrek17@gmail.com,,.000000000000,.000000000000,3,0,0,0,Pagi/6 hari,,2022/2023-2,900,2,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,3,1,1,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2013,Tidak Ada
Sumatera Utara,Kab. Deli Serdang,Pagar Marbau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/63B995A2-0866-44B8-99CB-999A71CAAD16,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69803549,KB AR - RAHIM,69803549,DUSUN I,PURWODADI,KEC. PAGAR MARBAU,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.9/2678/PLS/2016,23-03-2016,503.570/0006/DPMPTSP-DS/PNF-KB/VIII/2021,02-08-2021,Lihat SK Operasional,2022-05-23 09,B,"1,200",1. -,2. -,PLN,,,kb.arahim45@gmail.com,,.000000000000,.000000000000,3,0,0,0,Pagi/6 hari,,2022/2023-2,900,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,1,2,2,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,2013,Tidak Ada
Sumatera Utara,Kab. Deli Serdang,Pagar Marbau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8B5E19E9-DED7-4EFB-A4EA-67FCF9E050BA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69763143,KB HAFIZ,69763143,JL. GALANG DUSUN PONDOK MAJU,PAGAR MERBAU II,KEC. PAGAR MARBAU,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.9/11271/PLS/2012,08-10-2012,421.9/9554/PAUD DAN PNF/2017,21-12-2017,Silakan Upload SK,,Belum Terakreditasi,650,1. -,2. 3 (Tri),PLN,,,paudhafiz50@gmail.com,,.000000000000,.000000000000,2,0,0,0,Pagi/6 hari,,2022/2023-2,450,3,1,0,0,0,0,3,0,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2013,Tidak Ada
Sumatera Utara,Kab. Deli Serdang,Pagar Marbau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6CCABF1A-FDED-4118-B329-89188133E9C9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69922613,KB KASIH IBU,69922613,DUSUN II DESA SUKA MANDI HILIR,SUKAMANDI HILIR,KEC. PAGAR MARBAU,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan PAUD KASIH IBU,AE8321,02,04-10-2012,421.9/3611/PLS/2014,07-04-2014,Lihat SK Operasional,2015-12-04 06,,336,1. -,2. -,PLN,,,paud.kasih.ibu17@gmail.com,,.000000000000,.000000000000,1,0,0,0,Pagi/6 hari,,2022/2023-2,900,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2013,Tidak Ada
Sumatera Utara,Kab. Deli Serdang,Pagar Marbau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/97A0CA0C-6B90-4C38-87EF-CAD4F12829A4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69924514,KB KENCANA JAYA,69924514,DUSUN SEMPURNA DESA SIDOHARJO I PASAR MIRING,SIDOARJO SATU PASAR MIRING,KEC. PAGAR MARBAU,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN KENCANA JAYA,AE8334,47,24-12-2013,421.9/6930/PAUD & PNF/2019,02-09-2019,Lihat SK Operasional,2020-07-16 04,Belum Terakreditasi,465,1. -,2. Lainnya (Satelit),PLN,,,kb.kencana.jaya@gmail.com,,.000000000000,.000000000000,2,0,0,0,Pagi/6 hari,,2022/2023-2,450,1,0,0,2,0,0,3,0,2,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2013,Tidak Ada
Sumatera Utara,Kab. Deli Serdang,Pagar Marbau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AC761BAB-FA2D-4D87-B572-F5153A4516BA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69763139,KB MELATI,69763139,DUSUN I,SUKAMULIA,KEC. PAGAR MARBAU,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan PAUD MELATI,AE8323,521.9/952/PLS/2015,09-02-2015,521.9/952/PLS/2015,09-02-2015,Silakan Upload SK,,C,168,1. -,2. -,PLN,,,kb.melati77@gmail.com,,.000000000000,.000000000000,2,0,0,0,Pagi/6 hari,,2022/2023-2,900,2,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2013,Tidak Ada
Sumatera Utara,Kab. Deli Serdang,Pagar Marbau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0C4E3B51-D31F-42E4-B4EB-B7D687712F36,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69985397,KB PELANGI CERIA,69985397,Dusun Gereja Desa S-1 Jati Baru,SIDOARJO SATU JATIBARU,KEC. PAGAR MARBAU,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,01,05-06-2018,421.9/8770/PAUD & PNF/2018,29-11-2018,Lihat SK Operasional,2019-02-13 10,,450,1. -,2. -,PLN,0,,,http,.000000000000,.000000000000,2,0,0,0,Pagi/6 hari,,2022/2023-2,900,1,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,2013,Tidak Ada
