prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur
Sumatera Selatan,Kab. Ogan Komering Ulu,Semidang Aji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/712EC338-5560-468E-877F-0C2E7204462A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70034978,KB AL QAMAR AKBAR ASNA,70034978,Jl Lintas Sumatera Km 24 Desa Raksa Jiwa,RAKSA JIWA,KEC. SEMIDANG AJI,KAB. OGAN KOMERING ULU,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,AHU-0002409.AH.D1.04,20-05-2022,1909220028385,20-05-2022,Lihat SK Operasional,2022-10-28 15,,0 m2,1.,2.,,,,,,.000000000000,.000000000000
Sumatera Selatan,Kab. Ogan Komering Ulu,Semidang Aji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F1F562D8-96D1-4A22-B035-D4F668CEE511,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69766364,KB GANESHA BATANG HARI,69766364,LINTAS SUMATERA KM 20,BATANG HARI,KEC. SEMIDANG AJI,KAB. OGAN KOMERING ULU,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN GANESHA AL AMANAH PENGANDONAN,AX2687,420/30/II/XV/2017,20-02-2017,0111220000854,01-11-2022,Lihat SK Operasional,2023-03-01 07,C,560 m2,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,paudganeshabatanghari@yahoo.com,,.000000000000,.000000000000
Sumatera Selatan,Kab. Ogan Komering Ulu,Semidang Aji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/67B4FDFB-3124-4080-8C64-E6CEA5861DAC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69766366,KB GANESHA SINGAPURA,69766366,LINTAS SUMATERA KM 20,SINGAPURA,KEC. SEMIDANG AJI,KAB. OGAN KOMERING ULU,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,420/1871/IV/XXI/2011,,Silakan Upload SK,,B,625 m2,1. Smartfren,2. Smartfren,PLN,,,ganeshasingapura8@gmail.com,,.000000000000,.000000000000
Sumatera Selatan,Kab. Ogan Komering Ulu,Semidang Aji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/05F9D328-F109-475D-B950-A76A5410AEB5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69766365,KB MUTIARA IBU,69766365,JALAN LINTAS SUMATERA KM 21,SELEMAN,KEC. SEMIDANG AJI,KAB. OGAN KOMERING ULU,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan mutiara ibu,AF2024,,,420/1125/IV/XXI/2011,,Silakan Upload SK,,,600 m2,1. -,2. Smartfren,Menumpang,,,mutiaraibu@gmail.com,,.000000000000,.000000000000
Sumatera Selatan,Kab. Ogan Komering Ulu,Semidang Aji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/78C4E9DC-AC5D-4658-8C7B-515E96FB8AF9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69809003,PAUD AL-AMIN,69809003,LINTAS SUMATERA KM 32,BEDEGUNG,KEC. SEMIDANG AJI,KAB. OGAN KOMERING ULU,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,420/2050/IV/X/IV/2012,,Silakan Upload SK,,,340 m2,1. Telkomsel Flash,2. Indosat IM3,PLN,,,idasumarni22@gmail.com,,-5.443757000000,114.421127000000
Sumatera Selatan,Kab. Ogan Komering Ulu,Semidang Aji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4EFFE2F1-3B74-498C-9443-3C15A5A4C611,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69916315,Paud Az. Zahra,69916315,desa tebing kampung,TEBING KAMPUNG,KEC. SEMIDANG AJI,KAB. OGAN KOMERING ULU,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Naura Putri Az Zahra,AX1804,420/22/IV/XXI/2015,20-10-2015,420/22/IV/XXI/2015,20-10-2015,Lihat SK Operasional,2015-11-03 20,B,800 m2,1. Smartfren,2. Smartfren,PLN,,,mediana_sera@yahoo.com,,.000000000000,.000000000000
Sumatera Selatan,Kab. Ogan Komering Ulu,Semidang Aji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/852AF005-498F-4FCB-8242-63F2D72EB360,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69919879,PAUD HARAPAN BUNDA,69919879,LINTAS SUMATERA KM 37,SUKA MERINDU,KEC. SEMIDANG AJI,KAB. OGAN KOMERING ULU,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AF2023,420/19/IV/XXI/2015,29-09-2015,420/19/IV/XXI/2015,29-09-2015,Lihat SK Operasional,2015-11-18 14,B,300 m2,1. Indosat IM3,2. Telkomsel Flash,PLN,,,musdalimah77@yahoo.com,,.000000000000,.000000000000
Sumatera Selatan,Kab. Ogan Komering Ulu,Semidang Aji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/31428C36-E111-4717-BEFB-88B694FD8E02,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69907232,PAUD KASIH IBU,69907232,DESA PANAI MAKMUR,PANAI MAKMUR,KEC. SEMIDANG AJI,KAB. OGAN KOMERING ULU,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AF2022,DINAS PENDIDIKAN KAB OKU,19-01-2015,DINAS PENDIDIKAN KAB. OKU,19-01-2015,Lihat SK Operasional,2015-10-07 13,B,150 m2,1. -,2. Telkomsel Flash,PLN,,,pkasihibu12@gmail.com,,.000000000000,.000000000000
Sumatera Selatan,Kab. Ogan Komering Ulu,Semidang Aji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4551BF82-505D-4BF6-B348-AAE78C35F1FC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69907234,PAUD SURYA,69907234,DESA PANGGAL-PANGGAL,PANGGAL PANGGAL,KEC. SEMIDANG AJI,KAB. OGAN KOMERING ULU,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AF2020,DINAS PENDIDIKAN KAB OKU,10-09-2013,DINAS PENDIDIKAN KAB. OKU,10-09-2013,Lihat SK Operasional,2015-10-07 13,,648 m2,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,anilistiawati15@gmail.com,,.000000000000,.000000000000
Sumatera Selatan,Kab. Ogan Komering Ulu,Semidang Aji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D18C2621-A75F-4605-8D58-6776AEE51720,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69987072,PAUD TIVE ABADI,69987072,Jl. Lintas Sumatera Desa Tanjung Kurung,TANJUNG KURUNG,KEC. SEMIDANG AJI,KAB. OGAN KOMERING ULU,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,22/KPTS/PAUD.TA/VII/2016,04-07-2016,420/60/II/XV/2017,18-09-2017,Lihat SK Operasional,2019-04-12 20,,150 m2,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,selfibaturaja43@gmail.com,,.000000000000,.000000000000
