prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita
Jawa Barat,Kab. Bandung,Margaasih,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60153B6A-3901-4FF1-9DAA-BF575DCDD498,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69817947,AL IKHWAN,69817947,CICUKANG,MEKAR RAHAYU,KEC. MARGAASIH,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,,133,,2.,,,,,,-6.937134400000,107.541452400000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,
Jawa Barat,Kab. Bandung,Margaasih,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4AF5C1A1-5B88-4E33-AF08-10D0363F558E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69817977,AL KAUTSAR,69817977,KEPODANG NO 26 PEPABRI,MEKAR RAHAYU,KEC. MARGAASIH,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,SPS,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AD3894,,,421.1/834,,Silakan Upload SK,,,359,,2.,,,,,,-6.961151100000,107.560999900000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,
Jawa Barat,Kab. Bandung,Margaasih,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2CBE63AC-EFCA-4D2F-B79C-CCC8456FEA20,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69897826,Al-Asy?ari,69897826,Kp. Burujul Rt.06/17 No. 132,KEC. MARGAASIH,KAB. BANDUNG,PROV. JAWA BARAT,INDONESIA,SWASTA,RA,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,7.421300000000,107.725613000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Jawa Barat,Kab. Bandung,Margaasih,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/69C9F8FB-C280-45F8-B396-80FDF917BDB4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69817928,KB  AMALIA,69817928,Jln. Terusan Permai Raya No. 17 B Komp. Margahayu Permai,MEKAR RAHAYU,KEC. MARGAASIH,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AD3888,421.1/798-DISDIKBUD/2012,04-04-2012,421.1 / 270.205-Disdik/2019,05-04-2012,Lihat SK Operasional,2019-10-25 08,,0,1. -,2. -,PLN,,,kbamalia.margaasih@gmail.com,,-6.972030000000,107.556313000000,1,0,0,0,Sehari Penuh/5 hari,,2022/2023-2,"1,300",2,0,0,2,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,2013,Tidak Ada
Jawa Barat,Kab. Bandung,Margaasih,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D3FEE33C-87FA-4908-A0FE-B4B0885EB9F4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69872933,KB ADITYA,69872933,Komp. Margahayu Permai No. 04,MEKAR RAHAYU,KEC. MARGAASIH,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Putri Pratama,AD3900,421.1/2067-19-Disdik/2022,30-06-2022,421.1 / 3195 - Disdikbud / 2015,29-09-2015,Lihat SK Operasional,2022-08-19 11,Terakreditasi,"2,805",,2.,,,0225405372,kober.aditya@gmail.com,,-6.975500000000,107.561300000000,1,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2013,
Jawa Barat,Kab. Bandung,Margaasih,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CF77893C-118D-4735-AEC0-C14772E18CA9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69974927,KB AL - AMIN,69974927,Kp. Cikuya Rt. 01 / 15,LAGADAR,KEC. MARGAASIH,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,421.1 /  4555 - Disdik / 2017,27-12-2017,421.1/0272.90-Disdik/2022,27-12-2017,Lihat SK Operasional,2022-03-20 01,,0,1. Lainnya,2. Lainnya,PLN,,,paud.alamin22@gmail.com,,-6.918608000000,107.534715500000,2,0,0,0,Sehari Penuh/5 hari,,2022/2023-2,900,1,0,0,1,0,0,5,0,2,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,2013,Lainnya
Jawa Barat,Kab. Bandung,Margaasih,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CB3CD19C-9F0C-4FD9-A97E-21724FCFEEA1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69986177,KB AL - HUDA,69986177,Jln. Baturengat Hilir Rt. 02 / 09,CIGONDEWAH HILIR,KEC. MARGAASIH,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,421.1 / 3354 - Disdik / 2018,26-08-2018,421.1 / 0571.44-Disdik/2022,24-02-2022,Lihat SK Operasional,2022-03-29 16,,0,,2.,,,,yayasanalhuda233@gmail.com,,-6.933634300000,107.548432600000,3,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2013,
Jawa Barat,Kab. Bandung,Margaasih,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/817299DF-1191-4D8A-A530-3AFB00FA4FB5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69923480,KB AL -MUNAWWAROH,69923480,Kp.  Burujul  Rt. 06 / 05,MEKAR RAHAYU,KEC. MARGAASIH,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.1/ 31900-DISDIKBUD/2015,05-11-2015,421.1 / 0272.85 - Disdik / 2022,19-02-2019,Lihat SK Operasional,2022-03-28 14,,240,1. -,2. Telkom Speedy,PLN,,,almunawwarohbrj@gmail.com,,-6.967100000000,107.558800000000,6,0,0,0,Pagi/6 hari,,2022/2023-2,900,4,0,0,2,0,0,7,0,6,0,0,0,0,6,0,2,4,4,1,0,1,0,0,0,0,6,4,0,0,0,0,0,0,0,2013,Tidak Ada
Jawa Barat,Kab. Bandung,Margaasih,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/56692D56-BA3D-4D52-BF21-5F219D094EF3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69872934,KB AL BI TSAH,69872934,Komp. Bumi Asri Blok V C 44 Rt. 09 / 14,MEKAR RAHAYU,KEC. MARGAASIH,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Al-Bi'tsah Himmaturrisalah,AD3889,421.1/051,24-01-2020,421.1 / 155.19  - Disdik / 2020,24-01-2020,Silakan Upload SK,,,225,,2.,,0225413340,0225413340,albitsah@yahoo.com,,-6.926838600000,107.533516700000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2013,
Jawa Barat,Kab. Bandung,Margaasih,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/77F36269-D64D-41FC-BED0-E45183027E78,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69872935,KB AL-IKHLAS,69872935,Kp.Sumumput No.18 Rt 003/ Rw.006,MEKAR RAHAYU,KEC. MARGAASIH,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan NURRUL AZZMI,AD3896,421.1/098.122-DISDIKBUD/2019,28-01-2019,421.1/098.122-DISDIKBUD/2019,28-01-2019,Lihat SK Operasional,2020-06-02 07,Terakreditasi,56,1. -,2. XL (GSM),PLN,,,,,-6.963700000000,107.558200000000,2,0,0,0,Pagi/6 hari,,2022/2023-2,"1,300",3,0,0,1,0,0,3,0,2,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,2013,Tidak Ada
