prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_13
Jawa Timur,Kota Surabaya,Genteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/810E1251-C155-46E3-B0A7-F5FA12676AB5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69900100,SMA MUHAMMADIYAH 10,69900100,Jl. Genteng Muhammadiyah No 45,GENTENG,KEC. GENTENG,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Jawa Timur,AB4667,422/19366/436.6.4/2014,05-12-2014,422/6475/436.6.4/2015,07-08-2015,Lihat SK Operasional,2020-08-28 07,A,"2,450",1. Firstmedia,2. Firstmedia,PLN,5352707,5352707,smamuh10sby@gmail.com,http,-7.257900000000,112.740700000000,51,398,352,23,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Firstmedia,"10,600",26,4,1,2,0,0,54,0,51,0,0,0,7,44,0,44,7,24,17,9,1,0,0,0,25,26,10,7,6,23,3,0,0,1,0,0,0,
Jawa Timur,Kota Surabaya,Genteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B6C53F37-20BB-4605-B507-E3679D966DD8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70009002,SMAK HAPPY FAMILY SCHOOL,70009002,Jalan Taman Ade Irma Suryani Nasution Nomor 35,EMBONG KALIASIN,KEC. GENTENG,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMAK,Kementerian Agama,Yayasan Hasil Fajar Cemerlang,AB4968,03/SK/YHFC/VII/2020,06-07-2020,NOMOR,13-01-2021,Lihat SK Operasional,2021-03-19 13,,440,1. Lainnya,2. Biznet (Serat Optik),PLN,,,,,-7.267339100000,112.743787000000,11,17,15,3,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,"146,999",3,3,1,14,0,0,6,6,11,0,0,0,2,9,0,3,8,4,0,6,1,0,0,0,4,7,,,,3,0,0,0,1,0,0,0,
Jawa Timur,Kota Surabaya,Genteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/85670226-ED35-4ACD-8C72-E6AEDD2227B2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532242,SMAN 1 SURABAYA,20532242,JL. WIJAYAKUSUMA  48,KETABANG,KEC. GENTENG,KOTA SURABAYA,PROV. JAWA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,659/s/1990,17-07-1990,659/s/1990,17-07-1990,Lihat SK Operasional,2017-09-08 06,A,"7,219",1. Telkom Speedy,2. Telkom Astinet,PLN,5345670,5345670,principalsman1sby@yahoo.co.id,http,-7.257500000000,112.749500000000,47,344,493,24,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Telkom Speedy,"89,000",24,4,1,3,23,13,0,11,26,0,19,2,28,19,0,46,1,8,3,4,4,6,8,14,24,23,7,9,8,24,0,0,0,1,0,0,0,
Jawa Timur,Kota Surabaya,Genteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3DFE5405-4096-4B96-8A7F-444B99773A77,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532230,SMAN 2 SURABAYA,20532230,JL. WIJAYAKUSUMA  48,KETABANG,KEC. GENTENG,KOTA SURABAYA,PROV. JAWA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,125/530.3/35/1990,17-07-1990,125/530.3/35/1990,17-07-1990,Lihat SK Operasional,2022-10-11 08,A,"8,863",1. Telkom Speedy,2. Lainnya (Serat Optik),PLN,0315468564,0315345972,info@sman2-sby.sch.id,http,-7.256687000000,112.749496000000,50,469,575,30,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Telkom Speedy,"253,000",29,3,1,36,28,11,1,10,23,0,15,12,33,17,0,46,4,3,9,3,1,4,7,23,26,24,10,10,10,16,8,5,0,1,0,0,0,
Jawa Timur,Kota Surabaya,Genteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7858BCF9-3A1F-407D-B426-C4A03FA5F5B5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532248,SMAN 5 SURABAYA,20532248,JL. KUSUMA BANGSA  21,KETABANG,KEC. GENTENG,KOTA SURABAYA,PROV. JAWA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,,,,Silakan Upload SK,,A,"10,731",1. -,2. Lainnya (Serat Optik),PLN,5479254,5345155,principal_smalabaya@yahoo.com,http,-7.256799000000,112.750067000000,53,382,593,30,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"181,000",30,4,1,10,33,13,0,7,22,0,16,15,38,15,0,48,5,3,5,9,4,9,9,14,23,30,10,10,10,14,16,0,0,0,1,0,0,
Jawa Timur,Kota Surabaya,Genteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0879FEC0-847D-4C13-9791-09546EE31A1A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532260,SMAN 6 SURABAYA,20532260,JL. GUBERNUR SURYO 11,EMBONG KALIASIN,KEC. GENTENG,KOTA SURABAYA,PROV. JAWA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,69/E.4/K.58,07-01-1958,69/E.4/K.58,08-02-1958,Lihat SK Operasional,2015-06-11 13,A,0,1. Lainnya,2. Telkom Speedy,PLN,0315482814,0315345974,smanamsurabaya@yahoo.com,http,-7.263413000000,112.744423000000,41,383,523,26,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,"15,000",25,3,1,5,29,6,0,6,13,0,13,15,29,12,0,36,5,3,4,4,2,3,11,14,13,28,9,8,9,25,0,0,0,1,0,0,0,
Jawa Timur,Kota Surabaya,Genteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10EFA58B-F9B4-45EF-9569-F5878AD0CCDA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532261,SMAN 7 SURABAYA,20532261,JL. NGAGLIK  27 - 29,KAPASARI,KEC. GENTENG,KOTA SURABAYA,PROV. JAWA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,316/B-3/K-65,,,,Silakan Upload SK,,A,"11,880",1. Telkom Speedy,2. Lainnya (Serat Optik),PLN,0313732716,0313718085,sman7sby@ymail.com,http,-7.248000000000,112.752800000000,50,418,584,30,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Telkom Speedy,"77,000",30,4,1,4,36,5,1,8,15,2,27,6,40,10,1,44,5,3,2,3,4,4,14,20,28,22,10,10,10,29,1,0,0,1,0,0,0,
Jawa Timur,Kota Surabaya,Genteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/15F8F1E3-4506-4747-ACA6-D1C212F2BDAD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532263,SMAN 9 SURABAYA,20532263,JL. WIJAYA KUSUMA  48,KETABANG,KEC. GENTENG,KOTA SURABAYA,PROV. JAWA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,435/A.10/Idsma/67,30-01-1976,435/A.10/Idsma/67,30-01-1976,Lihat SK Operasional,2015-06-25 14,A,"88,776",1. -,2. Biznet (Serat Optik),PLN,0315477817,0315342608,smanixsurabaya@gmail.com,https,-7.257500000000,112.750200000000,48,466,534,29,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"2,200",30,5,1,2,29,6,0,13,19,1,21,7,31,17,0,44,4,5,9,2,5,4,5,18,22,26,10,9,10,25,3,2,0,1,0,0,0,
Jawa Timur,Kota Surabaya,Genteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E4460968-2A80-429C-A8A7-736A51428094,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532382,SMAS ATMA WIDYA,20532382,JL. KAPASARI 3-5,KAPASARI,KEC. GENTENG,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan PENDIDIKAN WARTAWAN JAWA TIMUR,AK3087,30200/I04.7.4/1990,26-09-1987,P2T/925/19.03/01/XI/2019,05-11-2019,Lihat SK Operasional,2020-08-24 20,B,0,1. -,2. Telkom Speedy,PLN,,3710469,atmawidyasma@gmail.com,smaatmawidyasurabaya.sch.id,-7.247700000000,112.749800000000,19,32,24,5,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"12,000",6,2,1,0,0,0,20,1,19,0,0,0,8,11,0,18,1,4,3,2,0,2,6,2,8,11,2,2,1,0,0,6,0,0,0,1,0,
Jawa Timur,Kota Surabaya,Genteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5461156B-C4F9-4864-8B8F-6D0B7A97D0A1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532172,SMAS KRISTEN PETRA 3,20532172,JL. KALIANYAR 43,KAPASARI,KEC. GENTENG,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Perhimpunan Pendidikan dan Pengajaran Kristen Petra,AL8874,1729/104.7.4/1985/Pm,05-12-1985,P2T.927/19.03/01/XI/2019,05-11-2019,Lihat SK Operasional,2022-09-16 10,A,"3,337",1. Lainnya (Serat Optik),2. Lainnya,PLN,0315346301,0315344210,sma3@pppkpetra.sch.id,www.sma3.pppkpetra.or.id,-7.249400000000,112.747600000000,20,122,126,10,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Serat Optik),"19,700",10,5,1,3,0,0,32,1,20,0,0,0,10,10,0,16,4,5,6,0,1,1,2,5,7,13,3,4,3,0,10,0,0,0,1,0,0,
