prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Nusa Tenggara Barat,Kab. Lombok Tengah,Pujut,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/27112B07-43D6-4919-96BA-9D033E452BB5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69955761,Al-Ma arif Nurani Al-Ikhlas,69955761,Rajan,REMBITAN,KEC. PUJUT,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,.000000000000,.000000000000,0,87,98,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Pujut,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F846A3D8-8236-4E93-9223-12EAF5B58F58,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222482,MAN 3 LOMBOK TENGAH,50222482,"JALAN ANYAR, DESA SENGKOL",SENGKOL,KEC. PUJUT,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,NEGERI,MA,Kementerian Agama,Pemerintah Daerah,,558 Tahun 2003,30-12-2003,558 Tahun 2003,30-12-2003,Lihat SK Operasional,2020-01-14 09,A,0,,2.,,,,,,-8.799200000000,116.294600000000,0,61,66,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Pujut,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6525A9B7-5001-4371-BC64-F707CE027C4D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69755333,MAS AL IKHLAS NW MONGGE,69755333,MONGGE,PENGENGAT,KEC. PUJUT,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-8.893367000000,116.311385000000,0,19,12,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Pujut,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CE14C597-4C2D-46DA-958C-1C77E59289F2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69728206,MAS AL-IKHLAS NW SENGKOL,69728206,JL. BERINGIN DESA SENGKOL,SENGKOL,KEC. PUJUT,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-8.803100000000,116.292100000000,0,31,62,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Pujut,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D31C0860-FEDE-4A27-A099-AEFD3F4EB81F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222486,MAS AL-IRSYAD GENTANG,50222486,"GENTANG, DESA SENGKOL",SENGKOL,KEC. PUJUT,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,-8.817700000000,116.289600000000,0,25,23,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Pujut,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4B13B842-BE61-430B-8001-BE5365D2C958,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222484,MAS AL-ISTIQOMAH NW BEDUS,50222484,Jln. Bedus-Gunung Tengak,BANGKET PARAK,KEC. PUJUT,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,Kw.19.1/2/771/2007,11-06-2007,Kw.19.1/2/771/2007,22-09-2007,Lihat SK Operasional,2015-04-20 09,B,0,,2.,,,,,,-8.813200000000,116.351600000000,0,12,10,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Pujut,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/743F9D2F-E544-48BA-B83D-B1E82F32CAAD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70011000,MAS AL-MA'ARIF AN-NURUL MUJADDID BONGAK,70011000,DUSUN BONGAK,TUMPAK,KEC. PUJUT,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,Nomor 138 tahun 2020,17-07-2020,Nomor 138 Tahun 2020,17-07-2020,Lihat SK Operasional,2021-06-28 21,C,0,,2.,,,,,,.000000000000,.000000000000,0,28,38,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Pujut,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8AFC5B1E-3C3D-4D1E-9F05-5D48BD50F660,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69725638,MAS AL-MUJTAHIDIN NW BATUGULUNG,69725638,BATUGULUNG DESA PRABU,PRABU,KEC. PUJUT,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,Lainnya,,,23-12-2013,,23-12-2013,Silakan Upload SK,,B,0,,2.,,,,,,-8.832866000000,116.308326000000,0,25,14,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Pujut,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C8CB49C4-E997-42C9-85D2-383F541FEB16,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69755332,MAS IJTIMAK PENGEMBUR,69755332,PENGEMBUR,PENGEMBUR,KEC. PUJUT,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-8.807714000000,116.267199000000,0,32,23,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Pujut,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9EF14E9B-9DB4-4E42-BBE3-491112461AD8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222487,MAS ISLAHUL UMMAH NW BUNUT BAOK,50222487,BUNUT BAOK DESA PENGENGAT,PENGENGAT,KEC. PUJUT,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,-8.794798000000,116.256322000000,0,34,47,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
