prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,program_/_layanan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Jawa Barat,Kab. Sumedang,Sumedang Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A3A357B0-5F89-40AF-B0E9-F234D8D2AE28,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280463,MAN 2 SUMEDANG,20280463,Jl. Anggrek Situ No.38,SIRNAMULYA,KEC. SUMEDANG UTARA,KAB. SUMEDANG,PROV. JAWA BARAT,NEGERI,MA,Kementerian Agama,Pemerintah Daerah,,B.VII/HK.00.5/3785/1991,25-07-1991,B.VII/HK.00.5/3785/1991,25-07-1991,Silakan Upload SK,,A,"3,679",,2.,,,,,,-6.837600000000,107.922700000000,0,113,222,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Sumedang,Sumedang Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/714EE5A5-F514-4FAA-87C8-777DD1E88E6F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280470,MAS DARUSSALAM,20280470,Jl. Serma Muchtar Baru No.1,SITU,KEC. SUMEDANG UTARA,KAB. SUMEDANG,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,wi/1/PP.006/2460/2000,17-10-2000,0120/SKP-IO/2016,08-08-2016,Lihat SK Operasional,2020-11-16 07,A,0,,2.,,,,,,-6.844200000000,107.920300000000,0,32,57,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Sumedang,Sumedang Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F004DD15-2CF5-E011-9858-178BD5C1B745,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20235548,SLB ABC MUHAMMADIYAH SUMEDANG,20235548,Jl. M. Abdurrahman No.219A Sumedang,KOTAKALER,KEC. SUMEDANG UTARA,KAB. SUMEDANG,PROV. JAWA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,2348/I.02/Kep/E.92,03-03-1992,2348/I.02/Kep/I.92,03-03-1992,Lihat SK Operasional,2023-04-13 09,,"1,040",1. -,2. Telkom Speedy,PLN,,,slb.muhammadiyah.smd@gmail.com,,-6.835100000000,107.929000000000,20,47,33,26,Sehari Penuh/5 hari,,2022/2023-2,"3,600",9,0,0,0,12,0,8,0,8,0,4,8,18,2,0,20,0,4,0,1,1,0,4,10,8,12,9,0,0,6,0,0,0,0,"TKLB, SDLB, SMPLB,  dan SMLB",TKLB 2013,Tidak Ada,2,2,0,3,4,3,2,1,1,5,2,1,
Jawa Barat,Kab. Sumedang,Sumedang Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0012DE15-2CF5-E011-B1D9-E5976D1A87F7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20235533,SLB ABCD NUR AMALIA,20235533,Jl. PANUNJANG,PADASUKA,KEC. SUMEDANG UTARA,KAB. SUMEDANG,PROV. JAWA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Nur Amalia,AD4029,13,29-04-2003,421.9/1283-Disdik/2003,29-01-2002,Lihat SK Operasional,2015-09-18 23,,440,1. Telkom Speedy,2. Telkom Speedy,PLN,,,slbabcdnuramalia2001@gmail.com,,-6.842400000000,107.897400000000,10,23,12,13,Sehari Penuh/5 hari,,2022/2023-2,"2,200",4,0,0,1,2,0,9,0,8,0,0,2,9,1,0,9,1,2,0,1,2,0,1,4,5,5,0,0,4,0,0,0,0,0,"SDLB, SMPLB,  dan SMLB",TKLB 2013,Telkom Speedy,1,1,2,2,0,2,2,1,1,0,1,0,
Jawa Barat,Kab. Sumedang,Sumedang Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A4254F1C-5E8D-45BE-B915-4E72580A649A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69946437,SLB DENIR BHAKTI,69946437,Jl. Rambutan Raya Blok 9 No. 71,JATIHURIP,KEC. SUMEDANG UTARA,KAB. SUMEDANG,PROV. JAWA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan ATIKAN BARRU,AM9087,01/YAB/VI/2015.,02-06-2015,421.9/Kep.12/I/SLB-BPMPT/,12-05-2016,Lihat SK Operasional,2016-07-25 08,C,0,1. Indosat IM3,2. Telkomsel Flash,PLN,,,slb_denirbhakti@yahoo.com,,-6.843783000000,107.891392900000,10,14,12,16,Sehari Penuh/5 hari,,2022/2023-2,450,4,0,1,1,1,0,10,0,9,0,1,0,6,4,0,9,1,4,2,0,1,0,2,1,4,6,0,2,2,0,0,1,0,0,"SDLB, SMPLB,  dan SMLB",Pendidikan Khusus SMALB 2013,Indosat IM3,2,1,2,1,3,1,2,1,0,2,0,1,
Jawa Barat,Kab. Sumedang,Sumedang Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F67A206C-CED0-49FB-8BEF-CACE5B2EEA3C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20208420,SMAN 2 SUMEDANG,20208420,JL. TERUSAN 11 APRIL KM 3 RANCAMULYA - SUMEDANG UTARA - SUMEDANG,RANCAMULYA,KEC. SUMEDANG UTARA,KAB. SUMEDANG,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,052/0/1988,08-02-1988,No. 052/0/1988,08-02-1988,Lihat SK Operasional,2022-09-09 08,A,"11,650",1. Biznet (Serat Optik),2. Telkom Speedy,PLN,,0261203085,smansumedang2@yahoo.com,http,-6.848500000000,107.946600000000,50,375,546,29,Sehari Penuh/5 hari,,2022/2023-2,"7,000",30,4,1,19,28,6,0,16,25,1,4,20,30,20,0,40,10,9,11,3,4,1,5,17,24,26,30,0,0,0,1,0,0,0,,SMA 2013 IPS,Biznet (Serat Optik),,,,,,,,,,11,9,9,
Jawa Barat,Kab. Sumedang,Sumedang Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E82F781F-14E1-49F5-AF36-B93692696160,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20208421,SMAN 3 SUMEDANG,20208421,JL. CIPADUNG NO. 54,KOTAKALER,KEC. SUMEDANG UTARA,KAB. SUMEDANG,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421.3/Kep. 34-Huk/2004,04-02-2004,421.3/Kep. 34-Huk/2004,04-02-2004,Lihat SK Operasional,2016-06-29 11,A,"4,335",1. XL (GSM),2. Telkom Speedy,PLN,201150,201150,sman3sumedang@yahoo.co.id,http,-6.844100000000,107.928800000000,78,463,778,35,Sehari Penuh/5 hari,,2022/2023-2,"36,200",29,3,1,2,42,13,0,23,43,1,16,18,46,32,0,70,8,17,7,7,9,9,10,19,30,48,0,29,0,3,0,1,0,0,,SMA 2013 IPS,XL (GSM),,,,,,,,,,12,12,11,
Jawa Barat,Kab. Sumedang,Sumedang Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3030E390-88E5-4923-975B-5A4289C386C2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69964370,SMK AN-NUUR,69964370,Jl. Hegarmanah Rt. 02 Rw. 19,SITU,KEC. SUMEDANG UTARA,KAB. SUMEDANG,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pondok Pesantren  An-nuur,AD4050,642.2/4202.Kep./Dikbud/2016,18-11-2016,642.2/4202.Kep./Dikbud/2016,18-11-2016,Lihat SK Operasional,2017-07-20 09,B,"147,764",1. -,2. Telkom Speedy,PLN,,02612139115,smkannuursmdg@gmail.com,http,-6.831400000000,107.924500000000,13,45,36,5,Pagi/6 hari,,2022/2023-2,"3,400",5,1,1,1,0,0,6,8,13,0,0,0,2,11,0,10,3,6,2,2,2,0,0,1,7,6,1,1,3,0,1,0,0,0,,SMK 2013 REV.  Perbankan Syariah,Tidak Ada,,,,,,,,,,2,2,1,0
Jawa Barat,Kab. Sumedang,Sumedang Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3B173B37-3A13-4BBB-AE50-21F4909E2440,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69920115,SMK INKANAS SUMEDANG,69920115,Jl. Kutamaya No 22 Sumedang,PADASUKA,KEC. SUMEDANG UTARA,KAB. SUMEDANG,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan LINGGA INSUN SUGIH,AD4023,642.2/23404.Kep/Dikbud/20,12-08-2015,642.2/3573.Kep/Dikbud/201,16-11-2015,Lihat SK Operasional,2022-01-21 09,B,460,1. XL (GSM),2. Lainnya (Serat Optik),PLN,,,smkinkanas.sumedang@gmail.com,https,-6.841900000000,107.926900000000,14,158,122,9,Sehari Penuh/5 hari,,2022/2023-2,"3,500",3,0,0,1,1,0,4,11,14,0,0,0,1,13,0,11,3,9,3,1,1,0,0,0,5,9,3,0,0,0,0,0,0,0,,SMK 2013 REV.  Agribisnis Pengolahan Hasil Pertanian,XL (GSM),,,,,,,,,,3,5,1,0
Jawa Barat,Kab. Sumedang,Sumedang Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D08ECA50-BADE-41AA-8B26-2797419CF769,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70006541,SMK LOGISTIK SUMEDANG,70006541,Jalan Panyirapan Dusun Nanggerang,MEKARJAYA,KEC. SUMEDANG UTARA,KAB. SUMEDANG,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PEMANTAU LOGISTIK INDONESIA,AW8740,421.9/Kep.10/I/SMK-DPMPTSP/X/2020,14-10-2020,421.9/Kep.6/I/SMK-DPMPTSP/XII/2020,14-12-2020,Silakan Upload SK (link file tidak valid) => [411029-171621--],2021-01-19 08,,"3,694",1. -,2. Telkom Speedy,PLN,,02612147027,smklogistiksmdg@gmail.com,http,-6.825800000000,107.906800000000,15,31,34,4,Sehari Penuh/5 hari,,2022/2023-2,"4,400",4,0,1,5,0,0,14,5,15,0,0,0,4,11,0,13,2,4,6,0,3,0,1,1,6,9,4,0,0,0,1,0,0,0,,SMK 2013 REV. Teknik Logistik,Tidak Ada,,,,,,,,,,1,2,1,0
