prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,program_/_layanan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_13
Nusa Tenggara Barat,Kab. Lombok Timur,Jerowaru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/332CB91F-1823-45F8-A59A-894620EFD6CA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222502,MAS Ar-Rusydiny NW Segaet,50222502,JLN. SUKARAJA SEGAET BATU NAMPAR KEC. JEROWARU,JEROWARU,KEC. JEROWARU,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,Kd.19.1/2/840/2010,08-04-2010,Kw.19.1/2/840/2010,04-08-2010,Lihat SK Operasional,2015-07-03 23,C,0,,2.,,,,,,-8.812409000000,116.454560000000,0,40,26,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Timur,Jerowaru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/69C6AC02-E9D1-4C23-A659-E53903D9D89C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222498,MAS DARUL AITAM JEROWARU,50222498,JALAN TETE BATU NO. 01 JEROWARU,JEROWARU,KEC. JEROWARU,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,SK PENDIRIAN,16-11-1973,SK OPRASIONAL,10-07-2012,Lihat SK Operasional,2016-09-03 10,B,0,,2.,,,,,,-8.786900000000,116.482300000000,0,198,234,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Timur,Jerowaru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0AE0BC2-5063-406C-A3E4-921A0990AEB5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222501,MAS Nawwarul Uyun NW Serumbung,50222501,SERUMBUNG,JEROWARU,KEC. JEROWARU,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,Kd.19.3/4/PP.00.6/170/200,13-03-2007,Kd.19.3/4/PP.00.6/170/2007,13-03-2007,Silakan Upload SK,,C,0,,2.,,,,,,-8.818420000000,116.477704000000,0,29,21,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Timur,Jerowaru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/273AD4D7-40C3-43DF-9441-DFA03B475D68,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222500,MAS NW WAKAN,50222500,SUKASARI 27 WAKAN,SUKADAMAI,KEC. JEROWARU,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-8.902578000000,116.473496000000,0,44,63,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Timur,Jerowaru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1B64D0E1-AC34-428C-AF58-F2FEA824C3E9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69983603,MAS YAQIN 2 KWANG RUNDUN,69983603,JL. TGH MOH. MUTAWALLI KWANG,KEC. JEROWARU,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,INDONESIA,SWASTA,MA,Kementerian Agama,,,233 TAHUN 2018,29-06-2018,233 TAHUN 2018,29-06-2018,Silakan Upload SK (link file tidak valid) => [-],2018-12-07 14,C,0,,2.,,,,,,-8.891900000000,116.460400000000,0,18,29,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Timur,Jerowaru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8B9BA4CB-BB9B-4849-A212-E18562452D91,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222499,MAS YAQIN PEMONDAH,50222499,"JALAN DOYAN MEDARAN PEMONDAH, DESA PANDAN WANGI, KECAMATAN JEROWARU",PANDAN WANGI,KEC. JEROWARU,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,wx/3.d/pp0321152002,31-01-2002,wx/3-dpp.0321152002,31-01-2002,Silakan Upload SK,,B,0,,2.,,,,,,-8.803200000000,116.463100000000,0,98,96,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Timur,Jerowaru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A522F508-1539-479C-A9C2-13B0489A666B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70038103,SLB AL-KAUTSAR,70038103,Jl. Raya Jor - Tutuk,JEROWARU,KEC. JEROWARU,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN UMMAT SEHAT SEJAHTERA,AN6312,A.1/025/MA.YUSRA/V/1442,13-05-2020,188.4/959.PK/Dikbud/2023,24-02-2023,Lihat SK Operasional,2023-03-14 13,,0,,2.,,,,,,.000000000000,.000000000000,2,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Timur,Jerowaru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D1339CAE-DDBD-4092-BF3D-9EFBB8F2BDBE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50202415,SMAN 1 JEROWARU,50202415,JLN. RAYA TANGUN - KERUAK,SUKARAJA,KEC. JEROWARU,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,188.45/124/PK.IV/2005,11-04-2005,188.45/124/PK.IV/2005,11-04-2005,Silakan Upload SK (link file tidak valid) => [20147-417722-122374-103669945-1578451405.PDF],2015-08-20 11,A,"18,600",,2.,,,,sma1jerowaru@gmail.com,http,-8.774200000000,116.438000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,SMA 2013 MIPA,,
Nusa Tenggara Barat,Kab. Lombok Timur,Jerowaru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D9973AE2-C9C9-4C93-BE0B-6111553C11AF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69888819,SMK BABUSSALAM,69888819,Jl. Braja kuning No.1 Montong Sari,SUKARAJA,KEC. JEROWARU,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Babussalam,AN6311,05,06-06-2015,421.5/0186/DIK.III/2015,26-01-2015,Lihat SK Operasional,2023-06-21 09,B,"4,140",1. Lainnya (Wavelan),2. Lainnya (Wavelan),PLN,,,smkbabussalam32@yahoo.com,,-8.773000000000,116.429600000000,16,60,32,9,Pagi/6 hari,,2022/2023-2,"6,600",9,0,1,2,0,0,15,2,16,0,0,0,1,15,2,12,2,6,6,3,1,0,0,0,9,7,0,0,9,0,0,1,0,0,,,,,,,,,,,3,3,3,SMK 2013 REV. Multimedia,Lainnya (Wavelan),0
Nusa Tenggara Barat,Kab. Lombok Timur,Jerowaru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/42A02FFF-60BF-4E57-B69C-1C471B8D31EE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70031486,SMK BAHRUL YAQIN,70031486,jln.Pantai Gili Lunjer/Kura-Kura Desa Kwang rundun - Jerowaru Lombok Timur,KWANG RUNDUN,KEC. JEROWARU,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN BAHRUL YAQIN,AX5185,09,24-10-2015,1884.1/1877.PSMK/Dikbud,09-06-2022,Silakan Upload SK (link file tidak valid) => [817321-914408--],2023-04-27 10,,"16,350",1. -,2. -,PLN,,,,,.000000000000,.000000000000,4,61,49,3,Pagi/6 hari,,2022/2023-2,900,4,0,1,0,0,0,3,2,4,0,0,0,0,4,0,2,2,1,2,1,0,0,0,0,2,2,1,1,2,0,0,1,0,0,,,,,,,,,,,1,1,1,SMK 2013 REV.  Perhotelan,Tidak Ada,0
