prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,program_/_layanan
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9506D40D-8926-484B-BE6D-F05F5934F79D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20580592,MAN KOTA PASURUAN,20580592,Jl. DR. Wahidin Sudirohusodo,PETAMANAN,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,NEGERI,MA,Kementerian Agama,Pemerintah Daerah,,97 Tahun 1967,27-09-1967,Kd.13.33/6/PP.00.6/814/2010,01-07-2010,Lihat SK Operasional,2016-03-22 16,A,0 m2,1.,2.,,,,,,-7.654300000000,112.905300000000,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/114226D2-43C0-4577-AC93-BBCCF38801BB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20580591,MAS AL FURQON,20580591,Jl. Imam Bonjol No. 99,BUGUL LOR,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,Kw.13.4/4/PP.03.2/1511/2006,02-06-2006,MAS/75.0002/2016,11-04-2016,Lihat SK Operasional,2016-12-19 13,B,0 m2,1.,2.,,,,,,-7.644220000000,112.920006000000,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E984CB0B-BA49-4E58-9242-23426C6292C3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69965459,SMA DARUL KAROMAH PASURUAN,69965459,Jl. Letjen Sutoyo no. 41 Mandaranrejo Pasuruan,MANDARANREJO,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pondok Pesantren Darul Karomah,AO1426,420/1977/423.102/2016,21-07-2017,P2T/871/19.03/01/X/2019,17-10-2019,Lihat SK Operasional,2021-08-28 12,B,1.500 m2,1. Lainnya,2. Telkom Speedy,PLN,03436662270,,smada.mandaran@gmail.com,http,-7.636679000000,112.914283000000,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4D3A306B-1006-4C01-B845-871DAF4F0A98,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20535464,SMA NEGERI 1 PASURUAN,20535464,JL. SOEKARNO HATTA  40,KARANGANYAR,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,425.11/1215.a/423.112/1958,01-08-1958,425.9/1215.a/423.112/1959,01-08-1959,Silakan Upload SK (link file tidak valid) => [543785-337803--],2021-11-19 10,A,3.526 m2,1. Telkom Speedy,2. Telkom Speedy,PLN,0343421466,0343421466,sman1kotapasuruan@gmail.com,http,-7.637700000000,112.903900000000,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D75D6045-6C21-4B4F-9CC1-8669B10E8725,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20535474,SMA NEGERI 4 PASURUAN,20535474,JL. HASANUDIN NO. 76,KARANGANYAR,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1900,,,Silakan Upload SK,,A,15.150 m2,1. Telkom Astinet,2. Telkom Speedy,PLN,425589,422522,sma4_pasuruan@yahoo.com,http,-7.639600000000,112.900500000000,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/39F2CD61-FB2B-41A8-9ED9-3F99B35AFA21,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69931908,SMA SABILUTH THOYYIB,69931908,Jl. Cemara No. 38 Bugul Lor,PANGGUNGREJO,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Sabiluth Thoyyib Pasuruan,AO1442,10/025.03/SK/YP.ST/2015,06-06-2015,P2T/615/19.03/01/III/2019,31-12-2018,Silakan Upload SK (link file tidak valid) => [544101-75078--],2021-11-21 17,B,770 m2,1. -,2. Telkom Speedy,PLN,,,sma.sabiluth@gmail.com,http,-7.644800000000,112.917000000000,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/507E8412-25C1-4A5D-959A-E5044C7BD885,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20535457,SMAS ISLAM,20535457,JL. KH. ABDUL KHAMID 98 B PASURUAN,KARANGANYAR,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN ISLAM MA'ARIF KOTA PASURUAN,AO1403,0511/1.0474/1997,16-07-1997,800/2758/423.102/2015,06-10-2015,Lihat SK Operasional,2016-02-29 13,B,1.140 m2,1. Telkom Speedy,2. Telkom Speedy,PLN,,432330,smaislam_kotapasuruan@ymail.com,http,-7.643600000000,112.900800000000,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DAF6C700-F869-41F4-ABF3-1093C254A87E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20535452,SMAS SHALAHUDDIN,20535452,JL. DR. WAHIDIN SUDIROHUSODO NO 45,PETAMANAN,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan LP Ma'arif NU Pasuruan,AO0922,PW/029/B-S/X/78,04-01-1979,800/182/423.102/2014,28-01-2014,Lihat SK Operasional,2015-08-26 09,B,1.100 m2,1. -,2. Telkom Speedy,PLN,0343427151,0343427151,sma_shalahuddinpas@yahoo.co.id,http,-7.655700000000,112.904600000000,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D70E575C-F999-4046-A0A9-76747709BDD9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69980606,SMK DARUL ULUM,69980606,Jl. Hangtuah X/363 A Ngemplakrejo Pasuruan,NGEMPLAKREJO,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Darul Ulum Ngemplakrejo Pasuruan,AO1404,P2T/40/19.06/01/V/2018,25-05-2018,19.08/1440/02/II/2020,26-02-2020,Lihat SK Operasional,2021-12-07 13,C,2.000 m2,1. -,2. Telkom Speedy,PLN,,,smkdarululumngemplakrejo@gmail.com,http,-7.631861000000,112.914912000000,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9CFBEE41-CDB9-4FFB-968D-6B87B230163B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20535468,SMK NEGERI 1 PASURUAN,20535468,JL. VETERAN 11 PASURUAN,BUGUL LOR,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0209/0/1980,30-07-1980,421.5/266/2005,21-02-2005,Silakan Upload SK (link file tidak valid) => [799723-884637--],2023-03-14 21,A,11.202 m2,1. Telkom Speedy,2. Telkom Astinet,PLN,0343421380,0343421380,smk1pasuruan@yahoo.com,http,-7.645400000000,112.914600000000,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1D11E366-0B43-4AF1-B970-24C63B9E8DD1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69979534,SMK PUTRI AL-AZHAR,69979534,Jl. KH. Wachid Hasyim Gg. III,KEBONSARI,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan sunniyah salafiyah,AO0904,P2T/49/19.06/01/V/2018,28-05-2018,P2T/49/19.07/01/V/2018,28-05-2018,Lihat SK Operasional,2018-08-20 13,C,667 m2,1. -,2. Telkom Speedy,PLN,,03435611609,smkp.alazhar@gmail.com,http,-7.653527000000,112.918814000000,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AC672AED-3968-4595-9F0D-546B1FE7FFA2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20535470,SMKS MUHAMMADIYAH 1,20535470,Jl. Imam Bonjol No. 5 RT.01 RW.01,BUGUL LOR,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Jawa Timur,AB4667,23628/MPK/71,24-07-1974,P2T/1332/19.08/02/XII/2019,31-12-2019,Lihat SK Operasional,2022-08-30 14,A,6.108 m2,1. Telkom Speedy,2. Telkom Speedy,PLN,0343419548,0343419548,smkmuhammadiyah1pas@gmail.com,http,-7.647700000000,112.918700000000,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D567CE33-72E4-4270-A1D9-217136BB9F13,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20535466,SMKS PGRI 2 PASURUAN,20535466,Jl. Balaikota No. 9 Kota Pasuruan,KANDANGSAPI,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AB4825,25/SK/Pend/SMEA/Yay/1985,26-10-1985,19.08/1833/02/XII/2020,04-12-2020,Lihat SK Operasional,2021-01-29 08,A,5.100 m2,1. Telkom Astinet,2. Telkom Speedy,PLN,0343424190,0343424190,smk_pgri2_pas@yahoo.com,http,-7.641500000000,112.912200000000,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/08438B0B-16B3-4033-8928-9BF0833DDAD1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20535449,SMKS SHALAHUDIN,20535449,JL. MAJAPAHIT KEL. BUGUL KIDUL KEC BUGUL KIDUL,PETAMANAN,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan LP Ma'arif NU Pasuruan,AO0922,3203/32.D/1996,15-06-1996,800/2620/423.102/2016,16-06-2016,Silakan Upload SK (link file tidak valid) => [683841-200447--],2022-08-24 08,A,2.485 m2,1. -,2. Telkom Speedy,PLN,,0343420247,email@smkshalahuddinpasuruan.sch.id,http,-7.655200000000,112.913300000000,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AB1E3E32-0A98-4240-999E-477733FD8FCB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20535434,SMKS UNTUNG SURAPATI,20535434,JL. PAHLAWAN NO.  21 PASURUAN,PEKUNCEN,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN UNTUNG SURAPATI PASURUAN,AL9241,11/BV/65,16-01-1965,196/18.05/02/VI/2022,20-06-2022,Lihat SK Operasional,2022-07-28 08,A,6.000 m2,1. 3 (Tri),2. Telkom Speedy,PLN,5645365,424658,smkunsur@gmail.com,http,-7.645300000000,112.910100000000,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DE16F40F-6AE9-4758-A446-75095D0FAF6B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60726006,TKLBS PERMATA SIWI,60726006,JL. HASANUDDIN NO. 38 PASURUAN,KARANGANYAR,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AL9205,420/ 2461/ 423.102/ 2011,01-01-1900,420/ 28.a/ 423.102/ 2012,05-01-2012,Lihat SK Operasional,2016-03-10 07,,0 m2,1.,2.,,,,Tklbpermatasiwi11@gmail.com,,-7.642300000000,112.896700000000,
