prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,program_/_layanan
Jawa Barat,Kab. Bandung,Cimenyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AEA9B7B9-3189-41F6-B638-0ECDDEA530CD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69955684,Al Qur an Hidayatullah,69955684,Jl. R. Endang Suwanda 18A Pasirleutik,PADASUKA,KEC. CIMENYAN,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,Sertifikat Kedaluwarsa,0 m2,1.,2.,,,,,,-6.892600000000,107.651200000000,
Jawa Barat,Kab. Bandung,Cimenyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/987F082E-C643-4E75-A665-B6B2EDCA0BF4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69983460,MAS AL-MUKHTAR,69983460,KP. ARCAMANIK,MEKARMANIK,KEC. CIMENYAN,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,690 TAHUN 2018,06-06-2018,690 TAHUN 2018,06-06-2018,Silakan Upload SK (link file tidak valid) => [-],2018-12-07 14,B,0 m2,1.,2.,,,,,,.000000000000,.000000000000,
Jawa Barat,Kab. Bandung,Cimenyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/71049A6A-2341-4E1C-B510-CFB61951BD6C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69956413,Muadalah Baitul Hidayah,69956413,Bukit Panyandaan,MANDALAMEKAR,KEC. CIMENYAN,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,.000000000000,.000000000000,
Jawa Barat,Kab. Bandung,Cimenyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/708ADC15-2CF5-E011-938D-57C98D811136,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20258471,SLB ABCD ASYIFA,20258471,Jl Terusan Ligar Raya No. 28,CIBEUNYING,KEC. CIMENYAN,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.1/1446-Disdik/2003,27-05-2003,421.9/SK-2664.Disdik/2003,30-06-2003,Lihat SK Operasional,2016-06-06 14,B,592 m2,1. -,2. Telkom Speedy,PLN,0,0222502097,slb.asyifa@yahoo.co.id,,-6.881600000000,107.632200000000,"SDLB, SMPLB,  dan SMLB"
Jawa Barat,Kab. Bandung,Cimenyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C07BDC15-2CF5-E011-957C-67CBCD7E86D0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/22059620,SLB BCD PUTERA MANDIRI,22059620,Jl. Mars Dirgahayu No.15 Rt.02/22,CIBEUNYING,KEC. CIMENYAN,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,77,19-09-1993,708/102/KEP/E/94,24-03-1993,Silakan Upload SK,,,345 m2,1. Telkom Speedy,2. Telkom Speedy,PLN,,0222510426,slbputramandiri93@gmail.com,,-6.883600000000,107.643200000000,"TKLB, SDLB, SMPLB,  dan SMLB"
Jawa Barat,Kab. Bandung,Cimenyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D7BDABE8-CBD8-4571-B50A-C7052B17FAB4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20270262,SMA BINA BANGSA SCHOOL,20270262,JL. SENTRA DAGO PAKAR BLOK F-1,MEKARSALUYU,KEC. CIMENYAN,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,SPK SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Bina Bangsa Sehati Cabang Bandung,AI1025,52,24-04-2008,2150/D/KEP/KP/2014,21-11-2014,Lihat SK Operasional,2015-09-09 10,B,10.000 m2,1. Telkom Speedy,2. Telkom Astinet,PLN,02282520867,0222531100,linda.bdg@binabangsaschool.com,http,-6.869700000000,107.634600000000,
Jawa Barat,Kab. Bandung,Cimenyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/300617E5-DB52-4AC1-9AA5-542741ADE1F9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70027168,SMA Islam Bakti Asih,70027168,"Jl. Padasuka Atas No. 233, RT. 06 RW. 09",PADASUKA,KEC. CIMENYAN,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Bakti Asih Bandung,AI1001,9/011050/DPMPTSP/III/2022,04-03-2022,9/011050/DPMPTSP/III/2022,04-03-2022,Lihat SK Operasional,2022-03-22 21,,2.590 m2,1. XL (GSM),2. Telkom Speedy,PLN,,,,,-6.885100000000,107.661800000000,
Jawa Barat,Kab. Bandung,Cimenyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/342CC7A9-BD08-4928-81C8-BD74438AADF2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70040230,SMA ISLAM TERPADU AL-GHOFAR,70040230,"Jl. Terusan Pasir Impun, Kp. Cisanggarung, RT. 02 RW. 11",CIKADUT,KEC. CIMENYAN,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,28/011050/DPMPTSP/VI/2023,05-06-2023,28/011050/DPMPTSP/VI/2023,05-06-2023,Lihat SK Operasional,2023-06-16 09,,0 m2,1.,2.,,,,,,.000000000000,.000000000000,
Jawa Barat,Kab. Bandung,Cimenyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0790FEA8-CDB7-4264-8EDD-CCA3A639C2E8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20227816,SMA PLUS BABUSSALAM CIMENYAN,20227816,JL. Ciburial Indah No.2-6 Rt.01 Rw.01,CIBURIAL,KEC. CIMENYAN,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Babussalam Al-Muchtariyah Pusat Bandung,AG4775,721/I02.1/Kep/OT/97,05-08-1997,721/I02.1/Kep/OT/97,05-08-1997,Silakan Upload SK (link file tidak valid) => [634012-848368--],2022-06-08 00,B,500 m2,1. Indosat IM3,2. Lainnya (Serat Optik),PLN,0222503928,0222503927,smaplusbabussalam@gmail.com,http,-6.856939000000,107.644165000000,
Jawa Barat,Kab. Bandung,Cimenyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4A4849E1-D0D8-4523-956F-E6BF6B6E2221,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20269316,SMK BUSTANUL ULUM,20269316,KOMP. TAMAN MELATI A5 CIMENYAN,CIKADUT,KEC. CIMENYAN,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Bustanul 'Ulum,AI1030,421.3/101-Disdikbud,13-09-2010,9120501881635,13-08-2019,Lihat SK Operasional,2022-02-15 07,B,2.850 m2,1.,2.,,,,,,-6.861600000000,107.675100000000,
