prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,program_/_layanan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_13
Nusa Tenggara Barat,Kab. Lombok Tengah,Batukliang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/05B07C8C-6ACD-4F02-91B7-976DEB683FB4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70014159,MA Al-Faqih Tempo,70014159,"Jln. Mamiq Kunci Tempo, Tojong Ojong",KEC. BATUKLIANG,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,INDONESIA,SWASTA,MA,Kementerian Agama,,,,,421 TAHUN 2021,06-08-2021,Silakan Upload SK (link file tidak valid) => [176972-771347-https,2021-10-26 13,,0,,2.,,,,,,.000000000000,.000000000000,0,28,10,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Batukliang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/36D4CCC2-7659-484F-BE48-A47FD4940307,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222453,MAS AL-FALAH PANCORDAO,50222453,JLN. SWETA - LABUHAN LOMBOK KM 21,BARABALI,KEC. BATUKLIANG,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,1991,02-09-1991,N0 89.68 a/2/1991,02-09-1991,Lihat SK Operasional,2020-01-13 08,B,0,,2.,,,,,,-8.593400000000,116.291700000000,0,43,66,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Batukliang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3087AFAD-8273-4B75-A2DE-83875B42D4A7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222456,MAS ANNAZHAR,50222456,JL. RADEN ANOM N0 5,MANTANG,KEC. BATUKLIANG,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-8.627747000000,116.343954000000,0,63,50,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Batukliang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/406B96CC-1F47-4185-93B8-4F3F7AE63E4A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69983590,MAS ASSYIFA`,69983590,TOJONG-OJONG SOMBEK DESA SELEBUNG KECAMATAN BATUKLIANG,SELEBUNG,KEC. BATUKLIANG,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,203 TAHUN 2018,29-06-2018,203 TAHUN 2018,29-06-2018,Silakan Upload SK (link file tidak valid) => [455224-846142--],2021-06-08 08,C,0,,2.,,,,,,-8.597000000000,116.316600000000,0,10,15,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Batukliang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7A5A63DB-D4F2-445D-9C01-8D88338BAF69,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222455,MAS DARUS-SHIDDIQIEN,50222455,JLN DARUSSHIDDIQIEN NO.01 MERTAKPAOK,MEKAR BERSATU,KEC. BATUKLIANG,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,Wx.84.027 A/2/88,10-10-1988,239/BANSM-NTB/KP/XI/2018,22-11-2018,Lihat SK Operasional,2021-04-30 01,B,0,,2.,,,,,,-8.604800000000,116.292900000000,0,47,43,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Batukliang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7711D99B-D868-4940-ADAA-8B0FB5E14EF1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69755326,MAS DARUSSALIMIN NW SENGKOL MANTANG,69755326,MANTANG,MANTANG,KEC. BATUKLIANG,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-8.611800000000,116.309500000000,0,80,75,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Batukliang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A8E319A9-9EAE-4DD9-B207-006A85D3108B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69941786,MAS Islahul Ummah NW Dasan Aman,69941786,Dasan Aman,TAMPAK SIRING,KEC. BATUKLIANG,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,.000000000000,.000000000000,0,35,25,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Batukliang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9512F159-AABC-4CB0-89A2-CBF3543AA73D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222457,MAS NURUL IHSAN NW TILAWAH BUJAK,50222457,TILAWAH DESA BUJAK KECAMATAN BATUKLIANG,BUJAK,KEC. BATUKLIANG,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,Kw.19.1/2/566/2011,21-06-2011,D/Kw?/MA/13/2011,21-06-2011,Lihat SK Operasional,2020-01-03 08,B,0,,2.,,,,,,-8.648100000000,116.332400000000,0,36,45,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Batukliang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A62459E1-93A9-4E71-B48F-DD9B1B0C8639,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69733843,MAS RABITHATUSSAADAH,69733843,JL. PARIWISATA AIK BUKAK,SELEBUNG,KEC. BATUKLIANG,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-8.607100000000,116.318800000000,0,21,32,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Tengah,Batukliang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DFCF6FAB-1E39-4983-8178-C736A4EBCD4E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69728653,MAS SABILURRASSYAD NW BARABALI,69728653,JLN MAHASISWA BARABALI,BARABALI,KEC. BATUKLIANG,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-8.627200000000,116.310600000000,0,50,68,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
