prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_13
Jawa Barat,Kota Bandung,Andir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40029406-2DF5-E011-BA13-A72F964272A3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20217941,SLB WIDI ASIH,20217941,Jl. Dakota Perum Taman Pesona Mediteran G1,CAMPAKA,KEC. ANDIR,KOTA BANDUNG,PROV. JAWA BARAT,SWASTA,SLB,SDLB dan SMLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Arief Widi Ayu,AD6913,421.9/1649.PLB,25-03-2002,421.9/1649.PLB,25-03-2002,Silakan Upload SK,,B,245,1. -,2. Telkom Speedy,PLN,,0226122167,slbwidiasihbdg@gmail.com,,-6.895300000000,107.567300000000,3,10,6,5,Pendidikan Khusus SMALB 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"2,200",5,0,1,1,0,0,4,0,3,0,0,0,0,3,0,2,1,2,0,0,0,0,0,1,0,3,1,1,0,1,0,1,0,0,0,0,1,0,5,0,0,0,1,0,0,0,
Jawa Barat,Kota Bandung,Andir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1FA1A60D-B643-46B7-B05C-D7C3C32043A3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20219810,SMA KRISTEN BPPK,20219810,JL. KEBON JATI NO. 108,KEBON JERUK,KEC. ANDIR,KOTA BANDUNG,PROV. JAWA BARAT,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan BPK GKP Bandung,AD6928,F.05/SR/IV/74,01-07-1974,1121/I.02.4/R.82,08-10-1982,Lihat SK Operasional,2015-04-29 10,A,"2,720",1. -,2. Telkom Speedy,PLN,,0224236698,smakbppk@yahoo.co.id,,-6.916200000000,107.598600000000,18,35,26,6,SMA 2013 Bhs&Budaya,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"3,000",7,2,1,2,2,0,9,9,14,0,2,2,10,8,0,14,4,1,0,2,3,1,5,6,10,8,,,,,,,,,,2,2,2,7,0,0,0,1,0,0,0,
Jawa Barat,Kota Bandung,Andir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FA7600EF-2F4A-4574-84D6-B7E80B4BE8A3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69882370,SMA PELITA NUSANTARA,69882370,JL. PALEDANG NO 297 A RT 05/02,CAMPAKA,KEC. ANDIR,KOTA BANDUNG,PROV. JAWA BARAT,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Harapan Bangsa Indonesia Maju,AJ7777,01/I/YHBIM.PN/2012,01-01-2012,421/462-DISDIK,09-02-2015,Lihat SK Operasional,2019-01-11 13,A,0,1. -,2. Telkomsel Flash,PLN,,0226007589,info@pelitanusantara.sch.id,http,-6.901600000000,107.569100000000,9,35,8,4,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Tidak Ada,"4,999",12,4,1,2,0,0,6,4,9,0,0,0,0,9,0,8,1,4,4,1,0,0,0,0,5,4,,,,,,,,,,1,1,2,12,0,0,0,1,0,0,0,
Jawa Barat,Kota Bandung,Andir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D7CEDBD2-3662-4B97-BE29-82E94E1A0502,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20219240,SMAN 13 BANDUNG,20219240,JL. RAYA CIBEUREUM NO 52,CAMPAKA,KEC. ANDIR,KOTA BANDUNG,PROV. JAWA BARAT,NEGERI,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0467/0/1977,24-10-1977,0467/0/1977,24-10-1977,Lihat SK Operasional,2022-10-12 09,A,0,1. Telkom Speedy,2. Lainnya (Serat Optik),PLN,6011186,6011186,sman13bdg@ymail.com,http,-6.903500000000,107.565100000000,54,378,640,29,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Telkom Speedy,"13,000",29,4,1,6,21,14,1,18,34,0,8,12,28,26,0,46,8,14,10,4,5,4,3,14,22,32,,,,,,,,,,10,10,9,0,29,0,0,0,1,0,0,
Jawa Barat,Kota Bandung,Andir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1405D8D7-BB36-4BC4-8507-506F9FFF0489,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20219312,SMAN 4 BANDUNG,20219312,JL. GARDUJATI NO. 20,KEBON JERUK,KEC. ANDIR,KOTA BANDUNG,PROV. JAWA BARAT,NEGERI,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,MA63-5/PEPELRADA DB/1966,30-05-1966,1866/H.2/S/66,19-12-1966,Lihat SK Operasional,2022-01-02 18,A,"3,172",1. Telkom Speedy,2. Lainnya (Serat Optik),PLN,20512111,20512133,info@sman4bdg.sch.id,http,-6.919300000000,107.596200000000,57,672,716,39,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Telkom Speedy,"80,250",30,5,2,6,24,16,0,17,36,0,7,14,27,30,1,47,9,14,10,1,7,4,4,17,24,33,,,,,,,,,,14,13,12,23,0,7,0,2,0,0,0,
Jawa Barat,Kota Bandung,Andir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FFB86AB9-5D5F-4BF6-8F63-661C035FA7CD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20219760,SMAS ADVENT CIMINDI BANDUNG,20219760,JL. RAYA CIMINDI NO. 74,CAMPAKA,KEC. ANDIR,KOTA BANDUNG,PROV. JAWA BARAT,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Perguruan Advent Bandung,AN9203,68,19-08-1974,005/I02.Kep/E.1983,31-01-1983,Lihat SK Operasional,2020-08-31 13,A,"1,155",1. Telkom Speedy,2. Biznet (Kabel),PLN,6010612,6010612,pacim74@yahoo.co.id,http,-6.906800000000,107.570400000000,16,55,66,6,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Telkom Speedy,"8,300",10,2,1,2,0,0,11,7,16,0,0,0,5,11,1,11,4,3,3,2,2,1,1,4,1,15,,,,,,,,,,2,2,2,0,10,0,0,0,1,0,0,
Jawa Barat,Kota Bandung,Andir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/94C1EA4F-2CFF-479F-8722-5354F15BDFFA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20219715,SMAS BPK 3 PENABUR BANDUNG,20219715,JL. RAYA CIBEUREUM NO. 92,CAMPAKA,KEC. ANDIR,KOTA BANDUNG,PROV. JAWA BARAT,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan BPK PENABUR Bandung,AA4972,751/II.02.10/D-80,23-12-1980,213/102.Kep/F.81,21-10-1981,Lihat SK Operasional,2015-02-05 09,A,"22,745",1. Lainnya,2. Linknet,PLN,6015945,6015945,smak3bpkpenaburbandung@ymail.com,http,-6.898600000000,107.563700000000,23,73,77,6,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,"33,000",14,4,1,6,0,2,14,12,23,0,0,0,8,15,0,21,2,4,5,0,4,0,5,5,13,10,,,,,,,,,,2,2,2,14,0,0,0,1,0,0,0,
Jawa Barat,Kota Bandung,Andir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/399377BB-2F1F-4CAE-9559-2D5B8BB693E5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20219799,SMAS LPPN,20219799,RAJAWALI TIMUR NO. 76,CIROYOM,KEC. ANDIR,KOTA BANDUNG,PROV. JAWA BARAT,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan LPPN,AD6901,012/I.02.1/E.1983,08-02-1983,012/I.02.1/E.1983,08-02-1983,Lihat SK Operasional,2019-10-03 10,B,800,1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,,0226040827,sma.lppn@ymail.com,,-6.915600000000,107.585000000000,15,32,23,3,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Serat Optik),"1,300",3,0,1,1,3,0,11,3,12,0,1,2,5,10,2,8,5,4,1,1,0,2,2,5,6,9,,,,,,,,,,1,1,1,3,0,0,0,1,0,0,0,
Jawa Barat,Kota Bandung,Andir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/96B318F4-F853-4984-BC5B-7F97A367DB8D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20219801,SMAS MUTIARA 1,20219801,JL. MALEBER UTARA NO. 37,GARUDA,KEC. ANDIR,KOTA BANDUNG,PROV. JAWA BARAT,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PEMBINAAN PENGEMBANGAN PENDIDIKAN ISLAM HUSNUL CHOTIMAH BANDUNG,AD6907,091/I02.Kep/E.79,18-10-1979,091/I02.Kep/E.79,18-10-1979,Lihat SK Operasional,2019-11-22 12,A,"1,106",1. 3 (Tri),2. Telkom Speedy,PLN,0226005715,0226005715,smamutiara1@gmail.com,,-6.907900000000,107.577800000000,14,43,39,4,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,3 (Tri),"10,600",4,1,1,2,3,0,9,2,11,0,2,1,10,4,0,11,3,2,3,0,3,0,4,2,7,7,,,,,,,,,,2,1,1,0,4,0,0,1,0,0,0,
Jawa Barat,Kota Bandung,Andir,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BF616B4E-C8FF-48F1-86C0-C3619B623CF6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20219787,SMAS MUTIARA 2 BANDUNG,20219787,RAYA CIBEREUM NO. 10,CAMPAKA,KEC. ANDIR,KOTA BANDUNG,PROV. JAWA BARAT,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PEMBINAAN PENGEMBANGAN PENDIDIKAN ISLAM HUSNUL CHOTIMAH BANDUNG,AD6907,167/102.Kep/E.81,10-08-1981,167/102.Kep/E81,10-08-1981,Lihat SK Operasional,2015-06-23 07,B,"1,152",1. Linknet,2. Telkom Speedy,PLN,0226017372,0226017372,smasmutiara2@gmail.com,http,-6.914100000000,107.581600000000,12,31,54,3,SMA 2013 IPS,Siang/6 hari,,2022/2023-2,Linknet,"2,500",8,1,1,0,0,0,3,9,12,0,0,0,1,11,0,9,3,3,3,1,1,1,3,0,7,5,,,,,,,,,,1,1,1,8,0,0,0,1,0,0,0,
