prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_13
Jawa Barat,Kab. Bogor,Rumpin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00661C0C-D9D0-4080-9DB9-D5AA8E51B649,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280157,MAS MATHLAUL ANWAR,20280157,Kp. Barengkok Rt.02/07,SUKASARI,KEC. RUMPIN,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,W.i/PP.006.1/105/1992,13-01-2020,W.i/I/PP.006.1/26/1992,13-01-1992,Lihat SK Operasional,2020-02-12 17,A,0,,2.,,,,,,-6.484569000000,106.638318000000,0,55,51,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bogor,Rumpin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EEF6E91B-5FE8-473A-BC67-0D5BADDE3470,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69941640,MAS Tei Multazam,69941640,Kp. Parigi No.1 Rt. 04 Rw. 06,SUKAMULYA,KEC. RUMPIN,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,Lainnya,,240,20-02-2015,240 tahun 2015,20-02-2015,Lihat SK Operasional,2021-07-12 21,B,0 m2,1.,2.,,,,,,-6.498700000000,106.824710000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bogor,Rumpin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3F7E927E-B0EC-423E-90F0-F5D7B66B3531,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70036285,SMA AL-BAYAN ISLAMIC BOARDING SCHOOL,70036285,Jl. Mekarsari No. 8 RT 001 RW 004,MEKAR SARI,KEC. RUMPIN,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN AMAL SHOLEH SEJAHTERA,AX5262,52/011050/DPMPTSP/XII/2022,02-12-2022,52/011050/DPMPTSP/XII/2022,02-12-2022,Lihat SK Operasional,2022-12-26 10,,0,,2.,,,,,,.000000000000,.000000000000,9,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,11,0,9,0,0,0,0,9,0,0,9,3,4,1,0,1,0,0,5,4,,,,,,,,,,,,,,
Jawa Barat,Kab. Bogor,Rumpin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D2277861-5306-460A-BB52-1EA24CC566AC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20200903,SMAN 1 RUMPIN,20200903,JL. Prada Abdullah,RUMPIN,KEC. RUMPIN,KAB. BOGOR,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,0313/0/1993,23-08-1993,421/1548-Disdik,19-07-2004,Lihat SK Operasional,2015-09-18 11,A,"15,196",1. -,2. Lainnya,PLN,0217579150,0217579150,smanrumpin@gmail.co.id,http,-6.442400000000,106.640200000000,35,652,588,34,Sehari Penuh/5 hari,,2022/2023-2,"16,000",21,1,1,2,12,11,1,11,24,0,7,4,15,20,0,29,6,11,3,2,5,7,4,3,14,21,12,1,8,4,0,0,1,0,11,12,11,SMA 2013 MIPA,Tidak Ada,
Jawa Barat,Kab. Bogor,Rumpin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A2FECE6B-5139-4E07-92A7-B03B0F375599,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20246436,SMAS AN NAJAH,20246436,JL. RAYA CIKOLEANG DEPAN LAPAN DESA,SUKAMULYA,KEC. RUMPIN,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Annajah,AD2839,421.3/1306-Disdik/2006,17-07-2006,421.3/1306-Disdik/2006,17-07-2006,Lihat SK Operasional,2021-05-29 12,A,"15,000",1. Telkom Speedy,2. Telkom Speedy,PLN,,75790474,smanajah07@yahoo.co.id,http,-6.429700000000,106.575400000000,19,123,159,10,Pagi/6 hari,,2022/2023-2,"7,700",10,5,1,2,0,0,22,1,19,0,0,0,2,17,0,14,5,4,9,1,4,0,1,0,11,8,0,10,0,0,0,1,0,0,3,4,3,SMA 2013 Bhs&Budaya,Telkom Speedy,
Jawa Barat,Kab. Bogor,Rumpin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A30654A0-B185-4C91-BDD2-222F9F66427F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69770473,SMAS IT YAPIRA,69770473,KP. MEDANG RT 01/08,SUKAMULYA,KEC. RUMPIN,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN ISLAM RAUDHATUT TAUHID,AD2835,421.3/19-Dikmen,05-03-2013,421.3/82-Dikmen,06-03-2013,Lihat SK Operasional,2021-01-13 13,A,"3,456",1. -,2. Lainnya (Kabel),PLN,,,smaityapira@yahoo.co.id,,-6.362200000000,106.648000000000,25,85,92,9,Pagi/6 hari,,2022/2023-2,"1,500",9,2,1,16,0,2,17,7,25,0,0,0,1,24,2,20,3,8,10,2,2,3,0,0,13,12,9,0,0,0,1,0,0,0,3,3,3,SMA 2013 IPS,Tidak Ada,
Jawa Barat,Kab. Bogor,Rumpin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CBE02C8E-89C8-4A91-B7DD-67E45315181C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20231348,SMAS PGRI RUMPIN,20231348,Kp. Leuwihalang Rt 02/05,CIBODAS,KEC. RUMPIN,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Perwakilan YPLP PGRI Provinsi Jawa Barat,AA1655,01,16-10-2019,421.3/4596-Disdik/2006,16-11-2006,Lihat SK Operasional,2022-01-24 16,A,"5,990",1. Telkomsel Flash,2. Lainnya,PLN,0,,smapgrirumpin@ymail.com,http,-6.504600000000,106.654600000000,25,222,215,14,Sehari Penuh/5 hari,,2022/2023-2,"3,200",14,0,1,2,0,1,9,16,25,0,0,0,2,23,2,20,3,6,1,7,2,5,3,1,15,10,12,0,2,0,1,0,0,0,4,5,5,SMA 2013 IPS,Telkomsel Flash,
Jawa Barat,Kab. Bogor,Rumpin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5360DAF1-94DB-432F-AE5E-31CFE97D3F2E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20253969,SMKS ISLAM ASY SYUHADA,20253969,Jl. Raya Rumpin - Leuwiliang (Gunung Nyungcung),KAMPUNG SAWAH,KEC. RUMPIN,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Asy-Syuhada Roesly,AD2827,421/151-Disdik,15-05-2007,421/151-Disdik,12-12-2008,Lihat SK Operasional,2020-08-30 19,A,"8,430",1. -,2. Lainnya (Serat Optik),PLN,,02518542215,smk.islam.asysyuhada@gmail.com,http,-6.461000000000,106.648700000000,21,327,192,18,Siang/6 hari,,2022/2023-2,"12,000",0,0,1,8,2,1,15,5,20,0,1,0,2,19,0,17,4,7,2,2,3,2,2,3,12,9,0,0,0,21,0,1,0,0,6,6,6,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Tidak Ada,0
Jawa Barat,Kab. Bogor,Rumpin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/628389A8-8500-4C1A-AB29-A3DD2905BB91,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20200605,SMKS ISLAM PERMATASARI 1,20200605,JL. RAYA SUKAMANAH NO. 123 TAMANSARI RUMPIN BOGOR,TAMAN SARI,KEC. RUMPIN,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PERMATASARI BOGOR,AD2815,3045/1021/KEP/OT/99,02-07-1997,3045/1021/KEP/OT/99,02-07-1997,Lihat SK Operasional,2020-08-28 15,Sertifikat Kedaluwarsa,"5,193",1. Lainnya (Wavelan),2. Lainnya (Wavelan),Lainnya,,,smkislampermatasari@yahoo.co.id,,-6.393100000000,106.634400000000,28,442,321,21,Pagi/6 hari,,2022/2023-2,"5,500",16,0,1,2,0,0,14,15,28,0,0,0,6,22,0,25,3,7,1,0,10,6,2,2,12,16,16,0,0,0,1,0,0,0,7,7,7,SMK 2013 REV.  Bisnis Daring dan Pemasaran,Lainnya (Wavelan),0
Jawa Barat,Kab. Bogor,Rumpin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8D5B1B81-2379-4ABF-9BF2-D15DF10B0FA3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20232453,SMKS ISLAM PERMATASARI 2,20232453,JL. RAYA SUKAMANAH NO. 123 TAMANSARI RUMPIN BOGOR,TAMAN SARI,KEC. RUMPIN,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,3088/1O2.1/Kep/OT/1999,27-07-1999,3088/1O2.1/Kep/OT/1999,27-07-1999,Lihat SK Operasional,2022-06-08 00,B,"5,184",1. Telkomsel Flash,2. Telkom Speedy,PLN,02175791633,02175791633,smkislampermatasari677@gmail.com,http,-6.429900000000,106.545500000000,26,316,69,12,Pagi/6 hari,,2022/2023-2,"20,000",18,0,1,2,0,0,18,8,26,0,0,0,2,24,0,18,8,9,2,2,2,3,3,5,18,8,16,2,0,0,1,0,0,0,4,4,4,SMK 2013 REV. Teknik Komputer dan Jaringan,Telkomsel Flash,0
