prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,program_/_layanan,kurikulum,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,akses_internet_sekolah_kita,rombel_tingkat_13
Kalimantan Timur,Kab. Kutai Kartanegara,Loa Janan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5C397FDF-F0BC-495F-AD2A-9D4A1F6ABFAA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69993711,MA AT-TADZKIR,69993711,Jl. EX PT HIMA Gang Mandiri,LOA DURI ILIR,KEC. LOA JANAN,KAB. KUTAI KARTANEGARA,PROV. KALIMANTAN TIMUR,SWASTA,MA,Kementerian Agama,Lainnya,,B-2872/KW.16.2.5/PP.00/05/2019,21-05-2019,251 TAHUN 2019,21-05-2019,Silakan Upload SK (link file tidak valid) => [426096-912700--],2021-03-03 15,C,0,,2.,,,,,,-.600900000000,117.071300000000,0,12,32,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalimantan Timur,Kab. Kutai Kartanegara,Loa Janan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/54B05715-7657-46AA-80A6-E33BBE975DD8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30315178,MA DDI KARYA BARU LOA JANAN,30315178,JALAN SOEKARNO HATTA Km.30 Rt.30,BATUAH,KEC. LOA JANAN,KAB. KUTAI KARTANEGARA,PROV. KALIMANTAN TIMUR,SWASTA,MA,Kementerian Agama,Lainnya,,72 Tahun 1998,17-07-1998,280 Tahun 2016,09-08-2016,Silakan Upload SK (link file tidak valid) => [518781-140932830-970513971.PDF],2017-12-13 15,B,0,,2.,,,,,,-.728185000000,117.067535000000,0,50,49,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalimantan Timur,Kab. Kutai Kartanegara,Loa Janan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2839D770-7253-4B0D-8A99-15875963F70F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69969940,SLB MUTMAINNAH,69969940,Jln. Gerbang Dayaku RT. 17 Loa Ranten,LOA JANAN ULU,KEC. LOA JANAN,KAB. KUTAI KARTANEGARA,PROV. KALIMANTAN TIMUR,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",yayasan mutmainnah pratiwi loajanan,AN5054,No,28-02-2012,421.9/11500/Disdikbud.V/2017,24-10-2017,Lihat SK Operasional,2022-09-09 09,,0,,2.,,,,mutmainnahpratiwislb@gmail.com,,-.581700000000,117.091700000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Pendidikan Khusus SMPLB 2013,,,,,,,,,,,,,,
Kalimantan Timur,Kab. Kutai Kartanegara,Loa Janan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CF57DB5B-3EA6-447B-983D-0BE1EDCF610A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30405881,SMA NEGERI 1 LOA JANAN,30405881,JL. PEMBANGUNAN RT. V KM. 5,PURWAJAYA,KEC. LOA JANAN,KAB. KUTAI KARTANEGARA,PROV. KALIMANTAN TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420/18/DP.II/III/2004,01-03-2004,421/2203/SK/DP.II/III/2015,31-03-2015,Lihat SK Operasional,2019-10-29 17,A,"25,000",1. Indosat IM3,2. Lainnya (Serat Optik),PLN,,7269271,sman1loajanan5@gmail.com,http,-.617200000000,117.085100000000,25,192,259,13,Sehari Penuh/5 hari,,2022/2023-2,"7,500",12,3,1,2,15,4,0,6,11,1,6,7,16,9,0,23,2,3,3,2,6,2,5,4,8,17,12,0,0,0,1,0,0,0,,SMA 2013 MIPA,,,,,,,,,,4,4,5,Indosat IM3,
Kalimantan Timur,Kab. Kutai Kartanegara,Loa Janan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C5FDCD3A-64ED-4EE7-A716-5156A1E165EC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30400325,SMA NEGERI 2 LOA JANAN,30400325,JL. EX. PT. CITA,BAKUNGAN,KEC. LOA JANAN,KAB. KUTAI KARTANEGARA,PROV. KALIMANTAN TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,571/SK-Bup/HK/2011,27-09-2011,571/SK-BUPATI/HK/2011 TAN,04-03-2015,Lihat SK Operasional,2015-10-19 12,A,"29,992",,2.,,0,0,smandaloajanan@gmail.com,http,-.800600000000,116.864500000000,18,95,162,8,,,2022/2023-2,,5,1,1,2,10,1,0,7,10,0,5,3,8,10,0,17,1,0,4,5,2,4,2,1,4,14,0,0,5,0,0,1,0,0,,SMA 2013 IPS,,,,,,,,,,3,3,2,,
Kalimantan Timur,Kab. Kutai Kartanegara,Loa Janan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9D5E2BAE-6513-41CD-A66E-1A3ED9EAB747,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30405301,SMK AJI BAIDURI LOA JANAN,30405301,JL. Gerbang Dayaku  Gg. Manggis,LOA DURI ILIR,KEC. LOA JANAN,KAB. KUTAI KARTANEGARA,PROV. KALIMANTAN TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,420/19/DP-II/III/2004,,421/119/SK/DV.IV/XI/2014,01-11-2014,Lihat SK Operasional,2015-03-21 10,B,"1,452",1.,2.,PLN,,0541/265979,smkajb@ymail.com,,-.527600000000,116.638700000000,6,10,18,3,Pagi/6 hari,,2022/2023-2,"2,300",4,0,1,2,1,0,6,2,4,1,1,0,3,3,0,6,0,0,0,1,1,3,1,0,3,3,4,0,0,0,1,0,0,0,,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,,,,,,,,,,1,1,1,Smartfren,0
Kalimantan Timur,Kab. Kutai Kartanegara,Loa Janan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/08F8FB4A-FBA3-471A-B6CE-30FA224AA3A8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30405302,SMK BHAKTI LOA JANAN,30405302,JL. GERBANG DAYAKU,LOA JANAN ULU,KEC. LOA JANAN,KAB. KUTAI KARTANEGARA,PROV. KALIMANTAN TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan Bhakti Loa Janan,AN5049,70S6/126.2a/PPe/1998,19-10-1998,421.5/7811/Disdikbud.IV/2018,24-08-2018,Lihat SK Operasional,2020-11-10 14,A,"3,180",1. Telkom Speedy,2. Telkom Speedy,PLN,,05414114589,smkbhakti@smkbhakti.net,http,-.578600000000,117.085800000000,64,985,220,38,Sehari Penuh/6 hari,,2022/2023-2,"3,300",36,0,1,4,12,3,74,4,53,0,7,4,23,41,1,56,7,14,3,10,16,6,8,7,38,26,34,2,0,0,1,0,0,0,,SMK 2013 REV. Teknik Komputer dan Jaringan,,,,,,,,,,15,12,11,Telkom Speedy,0
Kalimantan Timur,Kab. Kutai Kartanegara,Loa Janan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A776DC5E-AC6C-4317-A91B-5B989B17A618,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30405299,SMK MUHAMMADIYAH LOA JANAN,30405299,JL. EX. PT. HIMA KAMPUNG JAWA,LOA DURI ILIR,KEC. LOA JANAN,KAB. KUTAI KARTANEGARA,PROV. KALIMANTAN TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Kalimantan Timur,AN5190,420/09/DP.II/X/2003,01-01-2003,800/K-5903/Disdikbud-IV/2018,02-07-2018,Lihat SK Operasional,2020-03-19 21,A,"6,473",1. -,2. Telkom Astinet,PLN,0541266058,,smkmuloajanan@gmail.com,http,-.602200000000,117.073500000000,34,430,240,22,Double Shift/6 hari,,2022/2023-2,"33,600",11,0,1,2,7,3,21,4,27,0,4,3,17,17,0,29,5,5,8,3,4,3,7,4,18,16,0,5,6,0,0,1,0,0,,SMK 2013 REV. Teknik Alat Berat,,,,,,,,,,8,8,6,Tidak Ada,0
Kalimantan Timur,Kab. Kutai Kartanegara,Loa Janan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/564FA636-5F9E-4E70-ABF9-AA9BA3D7B8C3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30405790,SMK NEGERI 1 LOA JANAN,30405790,JL. SOEKARNO-HATTA KM 17,BATUAH,KEC. LOA JANAN,KAB. KUTAI KARTANEGARA,PROV. KALIMANTAN TIMUR,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,180.188/HK.400/2009,04-08-2009,421.5/7872a/Disdikbud.IV/2018,27-08-2018,Lihat SK Operasional,2020-11-10 10,B,"50,175",1. -,2. Telkomsel Flash,PLN,,,smk1loajanan@gmail.com,,-.684000000000,117.090000000000,19,54,39,9,Sehari Penuh/5 hari,,2022/2023-2,"3,500",12,1,1,4,9,5,0,5,17,0,2,0,9,10,0,15,4,4,6,5,2,0,1,1,8,11,4,8,0,0,0,1,0,0,,SMK 2013 REV. Multimedia,,,,,,,,,,3,3,3,Tidak Ada,0
Kalimantan Timur,Kab. Kutai Kartanegara,Loa Janan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E21821D9-01B1-425B-9399-BD03086B72CE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30405788,SMK PURWAJAYA LOA JANAN,30405788,JL. PEMBANGUNAN,PURWAJAYA,KEC. LOA JANAN,KAB. KUTAI KARTANEGARA,PROV. KALIMANTAN TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan pendidikan purwajaya,AN5046,420/26/DP-II/X/2008,01-10-2008,421.5/7804/disdikbud.IV/2018,24-08-2018,Lihat SK Operasional,2020-08-26 14,B,"2,408",1. Lainnya (Serat Optik),2. Telkomsel Flash,PLN,,,smk_purwajaya@yahoo.co.id,,-.614800000000,117.085600000000,24,165,111,15,Pagi/6 hari,,2022/2023-2,10,15,0,1,3,0,1,26,2,23,0,0,1,3,21,3,20,1,9,4,5,2,0,1,3,11,13,15,0,0,0,1,0,0,0,,SMK 2013 REV. Teknik Alat Berat,,,,,,,,,,6,4,5,Lainnya (Serat Optik),0
