prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,program_/_layanan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Nusa Tenggara Barat,Kab. Bima,Sape,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3926811D-D5C0-4B20-BF4A-9095BB01FE02,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69975860,MA DARUSSAKINAH,69975860,JL. LAPANGAN PUTIH SANGIA,SANGIA,KEC. SAPE,KAB. BIMA,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,286 TAHUN 2017,03-07-2017,286 TAHUN 2017,03-07-2017,Silakan Upload SK (link file tidak valid) => [-],2018-05-02 11,B,0,,2.,,,,,,.000000000000,.000000000000,0,14,35,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Bima,Sape,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1A561331-EA36-4ED0-88A3-756143EEACFD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50223253,MAN 2 BIMA,50223253,JLN SOEKARNO HATTA,BUGIS,KEC. SAPE,KAB. BIMA,PROV. NUSA TENGGARA BARAT,NEGERI,MA,Kementerian Agama,Pemerintah Daerah,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-8.577800000000,119.003200000000,0,163,300,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Bima,Sape,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/195717E9-8E5D-4EC2-823A-3CF03D92B764,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50223254,MAS AL MUBARAK WAWO,50223254,JLN. LINTAS BIMA SAPE Desa Raba Kec. Wawo,NARU,KEC. SAPE,KAB. BIMA,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,C-207.HT.03.01.TH.2007,14-08-2007,no.19/Pokjawas-BM/IX/2007,29-08-2007,Lihat SK Operasional,2021-01-12 07,B,0,,2.,,,,,,-8.561000000000,118.862300000000,0,12,28,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Bima,Sape,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/273936E9-DC5A-4EDB-B2FF-DDE63701A951,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69941804,MAS Raudhatul Ulum Bima,69941804,EMBUNG DESA KOWO RT 15,BUGIS,KEC. SAPE,KAB. BIMA,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-8.519500000000,118.996800000000,0,21,13,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Bima,Sape,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8EB6D6FF-ABD8-4F1F-9D20-60E2A45D0374,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69996164,SLB AISYAH SAPE,69996164,Jln. Lawage Rt 16 Rw 08,NARU BARAT,KEC. SAPE,KAB. BIMA,PROV. NUSA TENGGARA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN DARUL ARQAM LAWAGE SAPE,AX7890,15/YPDAL/SP/2018,16-04-2018,188.4/545.PK-PLK/Dik. TAHUN 2020,24-01-2020,Lihat SK Operasional,2020-11-10 10,B,"3,375",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,slbaisyah@gmail.com,http,-8.574000000000,118.984200000000,12,25,14,8,Pagi/6 hari,,2022/2023-2,0,5,0,0,2,0,0,14,0,12,0,0,0,0,12,0,5,7,8,4,0,0,0,0,0,3,9,3,0,2,0,0,0,0,0,"SDLB, SMPLB,  dan SMLB",Pendidikan Khusus SMALB 2013,Telkomsel Flash,1,1,0,1,1,1,1,1,0,1,0,0,
Nusa Tenggara Barat,Kab. Bima,Sape,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8F77F113-C8C5-4B7F-A7AC-C70E993BEF28,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50204008,SMAN 1 SAPE,50204008,JL PELABUHAN SAPE BIMA,NARU,KEC. SAPE,KAB. BIMA,PROV. NUSA TENGGARA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,0052/0/1988,01-01-1900,,01-01-1900,Silakan Upload SK (link file tidak valid) => [411015-656380--],2021-01-19 07,A,"24,960",1. Telkom Speedy,2. Telkom Speedy,PLN,,037471069,smanegeri1sape1@gmail.com,http,-8.573600000000,118.996100000000,85,447,607,31,Pagi/6 hari,,2022/2023-2,"1,298",27,2,1,9,29,15,4,38,59,1,12,13,35,50,0,77,8,7,24,17,12,7,10,8,38,47,0,15,12,0,0,0,1,0,,SMA 2013 MIPA,Telkom Speedy,,,,,,,,,,10,10,11,
Nusa Tenggara Barat,Kab. Bima,Sape,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7728430B-1F0F-44A4-975C-5E7EA4424063,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50204029,SMAN 2 SAPE,50204029,Jalan Lintas Bima KM. 60,RAIOI,KEC. SAPE,KAB. BIMA,PROV. NUSA TENGGARA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,652,06-07-2007,078/421.3.5/C/2004,01-06-2004,Lihat SK Operasional,2023-01-13 09,A,"20,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,71014,71014,smaduasape@yahoo.co.id,http,-8.565000000000,118.975900000000,78,270,245,15,Pagi/6 hari,,2022/2023-2,"3,000",14,1,6,2,17,6,0,55,63,0,13,2,16,62,0,67,11,9,23,29,9,4,1,3,22,56,0,7,7,0,0,6,0,0,,SMA 2013 MIPA,Telkomsel Flash,,,,,,,,,,4,5,6,
Nusa Tenggara Barat,Kab. Bima,Sape,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/886881F2-17CA-4B0C-AED2-394129FF81BC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222189,SMAN 3 SAPE,50222189,JL. LINTAS SAPE WERA,LAMERE,KEC. SAPE,KAB. BIMA,PROV. NUSA TENGGARA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,501/130.21.420/C/2007,03-07-2007,501/130.21.420/C/2007,03-07-2007,Lihat SK Operasional,2015-11-02 14,A,"19,900",1. Telkomsel Flash,2. Lainnya (Kabel),PLN,,0,sman3sape@yahoo.com,,-8.507400000000,118.966900000000,86,261,266,17,Pagi/6 hari,,2022/2023-2,"5,700",17,0,1,2,8,11,0,67,80,0,6,0,9,77,0,70,16,21,31,22,5,2,3,2,35,51,0,8,9,0,0,0,1,0,,SMA 2013 IPS,Telkomsel Flash,,,,,,,,,,5,6,6,
Nusa Tenggara Barat,Kab. Bima,Sape,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5E75770B-A277-47C7-8F29-0FA5BAFE0EE8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50205622,SMAS MUHAMMADIYAH SAPE,50205622,JL. LAPANGAN SEMANGKA SAPE BIMA,NARU,KEC. SAPE,KAB. BIMA,PROV. NUSA TENGGARA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Nusa Tenggara Barat,AC7839,356/120.G4/I/1987,14-04-1987,356/120.G/I/1987,25-04-1987,Lihat SK Operasional,2022-11-08 11,A,"5,200",1. -,2. Telkomsel Flash,PLN,,,smamuhsape@yahoo.com,http,-8.572400000000,118.989700000000,68,192,135,12,Pagi/6 hari,,2022/2023-2,"1,300",11,1,1,2,2,0,56,12,67,0,1,0,4,64,0,47,21,11,32,17,3,1,2,2,22,46,0,10,1,2,0,1,0,0,,SMA 2013 IPS,Tidak Ada,,,,,,,,,,4,4,4,
Nusa Tenggara Barat,Kab. Bima,Sape,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/87916BAA-AE01-4E87-B3AB-F8AFE7CE39B1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50205621,SMAS PGRI SAPE,50205621,JL. PELABUHAN SAPE BIMA,NARU,KEC. SAPE,KAB. BIMA,PROV. NUSA TENGGARA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan PERKUMPULAN PEMBINA LEMBAGA PENDIDIKAN,AC7893,25/120.34/1998,15-10-1998,022/120.6/SMA.PGRI-5/R/1995,02-04-1995,Lihat SK Operasional,2017-04-18 09,A,"1,312",1. Telkom Speedy,2. Telkom Speedy,PLN,1,0374710331,smapgrisape@yahoo.co.id,,-8.574500000000,118.992900000000,45,191,126,8,Pagi/6 hari,,2022/2023-2,"1,200",9,0,1,1,2,0,22,23,44,0,0,1,3,42,0,36,9,6,26,5,4,1,3,0,13,32,0,8,1,1,0,0,1,0,,SMA 2013 MIPA,Telkom Speedy,,,,,,,,,,2,3,3,
