prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_13
Jawa Barat,Kota Depok,Limo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D8DE71E7-5350-4B53-815F-A5B4573C0FD5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70037204,SMA BINA INDONESIA GEMILANG BOARDING SCHOOL,70037204,Jl. Yayasan RT.006 RW.001,GROGOL,KEC. LIMO,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN BINA INDONESIA GEMILANG,AX4056,55/011050/DPMPTSP/XII/2022,13-12-2022,55/011050/DPMPTSP/XII/2022,13-12-2022,Lihat SK Operasional,2023-02-07 15,,"2,436",1. Indosat IM3,2. Telkom Speedy,PLN,,,,,.000000000000,.000000000000,6,29,19,2,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Indosat IM3,"1,058",3,0,0,1,0,0,6,0,6,0,0,0,0,6,0,3,3,6,0,0,0,0,0,0,2,4,1,1,0,3,0,0,0,0,0,0,0,
Jawa Barat,Kota Depok,Limo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2591F483-4A5E-4126-9F33-E1A37A6C18EA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70028643,SMA Islam Ghama Ar-Rasyid,70028643,Jl. Grogol Raya No. 2,GROGOL,KEC. LIMO,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN GELORA HAJI MUHARI AL AZHARI,AA5716,13/011050/DPMPTSP/III/2022,31-03-2022,13/011050/DPMPTSP/III/2022,31-03-2022,Lihat SK Operasional,2022-12-09 05,,"8,800",1. Telkomsel Flash,2. Biznet (Kabel),PLN,,,,,-6.382700000000,106.790900000000,17,28,20,3,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Telkomsel Flash,"30,000",4,1,1,1,0,1,13,3,17,0,0,0,3,14,0,14,3,3,3,4,2,3,1,1,5,12,1,1,1,1,3,0,0,0,1,0,0,
Jawa Barat,Kota Depok,Limo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/21FE2441-7718-4D2B-86CC-812D9630B02E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20229168,SMAN 6 KOTA DEPOK,20229168,JL. LIMO RAYA NO. 30,LIMO,KEC. LIMO,KOTA DEPOK,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,425/111/KPTS/Dispen/k/2004,15-07-2004,425/111/KPTS/Dispen/k/2004,15-07-2004,Lihat SK Operasional,2020-02-04 15,A,"6,000",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,7545041,7545041,sman6depok@yahoo.com,http,-6.370200000000,106.773200000000,50,485,583,28,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Serat Optik),"220,000",28,2,1,4,28,9,0,13,25,0,15,10,32,18,0,46,4,10,9,6,4,5,10,6,19,31,10,9,9,28,0,0,0,1,0,0,0,
Jawa Barat,Kota Depok,Limo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ACC029E5-D52E-43D8-BF45-AFF2842128D3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20229141,SMAS TERPADU ALMANAR,20229141,JL. RAYA LIMO PELITA  NO. 10,LIMO,KEC. LIMO,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN AL-MANAR AZHARI,AD7713,421.3/15528/Disdik/2008,24-09-2008,421.3/08/Disdik/2015,31-03-2015,Lihat SK Operasional,2016-08-29 14,A,"4,500",1. -,2. Lainnya (Serat Optik),PLN,7548049,7548378,sma.almaz@gmail.com,http,-6.363000000000,106.778200000000,6,12,17,3,SMA 2013 MIPA,Sehari Penuh/6 hari,,2022/2023-2,Tidak Ada,"33,000",6,1,1,2,0,0,8,0,6,0,0,0,1,5,0,5,1,1,1,3,1,0,0,0,3,3,1,1,1,6,0,0,0,1,0,0,0,
Jawa Barat,Kota Depok,Limo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/253B28A6-EFCE-4B28-989B-85306F70B9AD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20258514,SMAS YADIKA 12,20258514,LIMO RAYA NO. 20,MERUYUNG,KEC. LIMO,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN ABDI KARYA,AJ6083,421.3/1685/Disdik/2009,22-12-2009,421.3Ops.175/X/Cadisdik/2018,18-10-2018,Lihat SK Operasional,2019-08-30 01,A,0,1. Lainnya (Serat Optik),2. Telkom Speedy,PLN,0217530289,0217530286,smayadikaduabelas@gmail.com,http,-6.371680000000,106.770791700000,19,125,178,8,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Serat Optik),"182,499",8,3,1,4,0,0,14,7,19,0,0,0,4,15,1,16,2,9,2,4,1,1,0,2,5,14,3,3,2,8,0,0,0,1,0,0,0,
Jawa Barat,Kota Depok,Limo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FF4EF7AF-94FA-4F9E-8C19-F48B951DDD6D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20271540,"SMK CAKRA NUSANTARA, KOTA DEPOK",20271540,JL.UJUNG SELATAN PERUM WISMA CAKRA RT 04/09 LIMO DEPOK,LIMO,KEC. LIMO,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN GARUDA NUSANTARA,AA5713,421.3/Ops.463/VIII/Cadisdik/2020,03-08-2020,421.3/Ops.463/VIII/Cadisdik/2020,03-08-2020,Lihat SK Operasional,2020-12-29 11,A,600,1. Lainnya (Kabel),2. Lainnya (Serat Optik),PLN,,,smkcakranusantara@gmail.com,http,-6.368700000000,106.785200000000,13,67,35,3,SMK 2013 REV. Teknik Komputer dan Jaringan,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Kabel),"11,000",3,0,1,0,0,0,10,5,13,0,0,0,4,9,0,13,0,3,3,3,1,1,1,1,6,7,1,1,1,0,3,0,0,0,0,1,0,0
Jawa Barat,Kota Depok,Limo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1D0016B0-F9BA-4C97-87E4-AFC9FF010F2A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69888519,SMK GHAMA CARAKA,69888519,JL. GROGOL RAYA NO. 3,GROGOL,KEC. LIMO,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN GELORA HAJI MUHARI AL AZHARI,AA5716,421.4/3411/Disdik/2013,10-10-2013,421.4/3411/Disdik/2013,10-10-2013,Lihat SK Operasional,2020-09-10 15,B,"1,500",1. Lainnya,2. Lainnya,PLN,0217754634,0217762835,ghamacaraka217@gmail.com,http,-6.383021700000,106.790720000000,11,38,29,3,SMK 2013 REV.  Produksi dan Siaran Program Televisi,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,"3,600",8,0,0,2,0,0,8,4,11,0,0,0,3,8,0,7,4,1,3,1,2,2,2,0,9,2,1,1,1,8,0,0,0,0,0,0,0,0
Jawa Barat,Kota Depok,Limo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C8C8FB63-99E9-414C-B173-CFFA0AFED5D5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223816,SMKS EKONOMIKA,20223816,JL. GROGOL RAYA NO.2 KEC. LIMO KOTA DEPOK,GROGOL,KEC. LIMO,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN GELORA HAJI MUHARI AL AZHARI,AA5716,2033/102.1/Kep/05/1999,28-06-1999,421.4/Ops.463/VIII/Cadisdik/2020,03-08-2020,Lihat SK Operasional,2020-09-02 12,A,"2,000",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,0217754634,0217754635,smks.ekonomika@gmail.com,http,-6.379083300000,106.790443300000,46,196,348,20,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Double Shift/6 hari,,2022/2023-2,Lainnya (Serat Optik),"15,000",24,1,1,1,0,1,54,3,46,0,0,0,22,24,1,40,5,6,8,12,4,7,4,5,24,22,7,6,7,24,0,0,0,1,0,0,0,0
Jawa Barat,Kota Depok,Limo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/063ACF4C-EA25-41C8-98EB-BB0FB81D4448,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20252317,SMKS INFORMATIKA UTAMA,20252317,JL. JCC KOMPLEKS PT.PLN P3B JAWA BALI NO.61 KRUKUT,KRUKUT,KEC. LIMO,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan YBM PLN,AA0741,421.4/1246/Disdik/2007,25-06-2007,421.5/Ops.175/X/Cadisdik/2018,18-10-2018,Lihat SK Operasional,2020-08-28 10,B,"1,400",1. Lainnya,2. Lainnya (Kabel),PLN,,0217530843,smki-utama@smki-gratis.sch.id,http,-6.348040000000,106.784161700000,13,156,101,9,SMK 2013 REV. Rekayasa Perangkat Lunak,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,"51,300",6,0,1,5,0,0,17,1,12,1,0,0,3,10,0,12,1,4,2,3,2,2,0,0,9,4,3,3,3,6,0,0,0,1,0,0,0,0
Jawa Barat,Kota Depok,Limo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/67ACC5AD-0971-4931-A40A-3EB5730E3F6A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223815,SMKS NASIONAL DEPOK,20223815,JL. GROGOL RAYA 2 LIMO,GROGOL,KEC. LIMO,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN GELORA HAJI MUHARI AL AZHARI,AA5716,383/ID.2/Kep/VI/94,06-06-1994,421.5/Ops.463/VIII/Cadisdik/2020,18-10-2018,Silakan Upload SK (link file tidak valid) => [389664-619410--],2020-10-14 12,A,"8,858",1. -,2. Lainnya (Kabel),PLN,0217754634,0217754635,smknasional146@gmail.com,sekolahghama.com,-6.377820000000,106.792171700000,43,520,27,18,SMK 2013 REV. Teknik dan Bisnis Sepeda Motor,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"15,000",40,1,1,2,0,0,47,3,43,0,0,0,14,29,1,27,15,10,5,5,9,7,2,5,31,12,5,6,7,35,5,0,0,0,1,0,0,0
