prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,program_/_layanan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Riau,Kab. Rokan Hulu,Ujung Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3FBA8A84-7A5A-4986-804A-2B76BA24228C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70029800,MA Swasta Tahfizh Al Madani,70029800,"Jl Lubuk Bendahara No 105, Dusun Suka Maju",PEMATANG TEBIH,KEC. UJUNG BATU,KAB. ROKAN HULU,PROV. RIAU,SWASTA,MA,Kementerian Agama,,,,,279 TAHUN 2022,17-05-2022,Silakan Upload SK (link file tidak valid) => [212107-338901-https,2022-06-20 00,,0,,2.,,,,,,.000000000000,.000000000000,0,7,12,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Rokan Hulu,Ujung Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C1FD31F2-DCC3-42B5-9961-12B288900460,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69894801,MAS Al-Hasanah,69894801,Jl. Transpolri Dusun Suka Karya,UJUNG BATU,KEC. UJUNG BATU,KAB. ROKAN HULU,PROV. RIAU,SWASTA,MA,Kementerian Agama,Lainnya,,Nomor 536 Tahun 2014,04-12-2014,Nomor Kw.04.2/5/PP.00.11/009/2014,04-12-2014,Lihat SK Operasional,2020-01-15 07,B,0,,2.,,,,,,1.070160000000,101.055016000000,0,29,23,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Rokan Hulu,Ujung Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C61479B8-67D3-4B56-B920-663052BC2066,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729906,MAS MA PP AS SHOSWAH ISLAMIYAH,60729906,JL. JEND. SUDIRMAN KM-4 UJUNGBATU,UJUNG BATU TIMUR,KEC. UJUNG BATU,KAB. ROKAN HULU,PROV. RIAU,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,.742692000000,100.490893000000,0,20,46,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Rokan Hulu,Ujung Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70F1FBC7-2FF5-E011-91E9-610A49CA5CED,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10495632,SLB KARYA BAKTI,10495632,Jl. Ngaso,UJUNG BATU,KEC. UJUNG BATU,KAB. ROKAN HULU,PROV. RIAU,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Karya Bakti,AI9434,c-1787 ht 03 01-th2002,08-02-2004,6462/421/DP-PSDP/2007,07-01-2007,Silakan Upload SK (link file tidak valid) => [345118-238301--],2020-08-27 15,B,"4,095",1. -,2. Lainnya (Serat Optik),PLN,07627363408,07627363408,Slb.karyabakti@yahoo.com,,.721300000000,100.544900000000,7,28,17,11,Pagi/6 hari,,2022/2023-2,900,8,0,1,2,0,0,7,1,7,0,0,0,0,7,1,3,3,4,1,0,2,0,0,0,2,5,6,2,0,0,0,1,0,0,"SDLB, SMPLB,  dan SMLB",Pendidikan Khusus SMALB 2013,Tidak Ada,1,1,1,1,1,1,1,1,1,1,1,0,
Riau,Kab. Rokan Hulu,Ujung Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50D0D6BE-64C6-48CE-89EF-EC3C9E3D2A9F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10402939,SMA NEGERI 1 UJUNG BATU,10402939,JL. JENDERAL SUDIRMAN NO. 17,UJUNG BATU,KEC. UJUNG BATU,KAB. ROKAN HULU,PROV. RIAU,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,48/Pen.SMA/UB/1981,01-09-1981,48/Pen.SMA/UB/1981,01-09-1981,Lihat SK Operasional,2015-08-18 13,A,"16,500",1. Telkom Speedy,2. Telkom Speedy,PLN & Diesel,,,smansauba@gmail.com,http,.705900000000,100.540500000000,60,399,648,30,Sehari Penuh/5 hari,,2022/2023-2,"13,000",30,3,1,0,38,0,0,22,22,0,27,11,40,20,0,57,3,10,7,4,12,11,8,8,20,40,0,30,0,0,1,0,0,0,,SMA 2013 MIPA,Telkom Speedy,,,,,,,,,,10,10,10,
Riau,Kab. Rokan Hulu,Ujung Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E4FE7196-CC87-42ED-B4EC-C1ACAD1A41BC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10495531,SMA NEGERI 2 UJUNG BATU,10495531,Jl. Jend. Sudirman No. 10,PEMATANG TEBIH,KEC. UJUNG BATU,KAB. ROKAN HULU,PROV. RIAU,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,48 TAHUN 2008,01-02-2008,48 TAHUN 2008,01-02-2008,Lihat SK Operasional,2016-03-14 14,A,"20,000",1. Lainnya,2. Lainnya,PLN,08126887970,,smanda.uba@gmail.com,http,.740800000000,100.495900000000,42,214,238,16,Sehari Penuh/5 hari,,2022/2023-2,"5,500",16,0,1,15,24,0,0,18,18,0,21,3,21,21,0,41,1,3,3,12,12,6,3,3,8,34,16,0,0,0,1,0,0,0,,SMA 2013 IPS,Lainnya,,,,,,,,,,6,5,5,
Riau,Kab. Rokan Hulu,Ujung Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C8779C8A-2CF7-4F1A-9E1D-E633C76EF833,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10403077,SMAS M UJUNG BATU,10403077,Jl. Mawar Petakur Atas,SUKA DAMAI,KEC. UJUNG BATU,KAB. ROKAN HULU,PROV. RIAU,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Riau,AO5353,2892/421/2003,28-07-2003,-400/IV.4/REK/2003,03-09-2003,Lihat SK Operasional,2022-08-22 00,B,"1,700",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,smasmuhamadyahub@gmail.com,,.711500000000,100.521600000000,7,15,12,3,Sehari Penuh/5 hari,,2022/2023-2,100,3,2,1,2,0,0,7,1,7,0,0,0,0,7,0,5,2,3,1,3,0,0,0,0,2,5,3,0,0,0,1,0,0,0,,SMA 2013 MIPA,Telkomsel Flash,,,,,,,,,,1,1,1,
Riau,Kab. Rokan Hulu,Ujung Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3CBC63EA-6A97-4C65-8C51-56AD54A7B6DA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10497047,SMK NEGERI 1 UJUNGBATU,10497047,"Jl Lingkar Penghijauan Desa Ngaso, Kec. Ujungbatu",NGASO,KEC. UJUNG BATU,KAB. ROKAN HULU,PROV. RIAU,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,Kpts/01/12/IMB/TRCK/I/2012,02-01-2012,421.5/DPPO-DIKMEN-LS/188/2010,26-08-2010,Silakan Upload SK (link file tidak valid) => [807556-46740--],2023-03-27 03,A,"160,000",1. -,2. Lainnya (Serat Optik),PLN & Diesel,0762,,smkn1_uba@yahoo.com,http,.718100000000,100.559900000000,57,593,428,30,Sehari Penuh/5 hari,,2022/2023-2,"16,500",22,0,1,14,15,0,0,42,43,0,14,0,21,36,0,48,9,9,21,3,7,9,5,3,25,32,22,0,0,0,1,0,0,0,,SMK 2013 REV.  Tata Busana,Tidak Ada,,,,,,,,,,10,10,10,0
Riau,Kab. Rokan Hulu,Ujung Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ED9F16AF-FF75-4710-83E2-5E8BAC7DF09F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69974256,SMK RIYADHUL ULUM,69974256,Jl. Setia Budi Ujung,UJUNG BATU TIMUR,KEC. UJUNG BATU,KAB. ROKAN HULU,PROV. RIAU,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan TUAH AMANAH UMAT,AI9418,001/TAU/VII/2017,10-07-2017,Nomor,23-02-2018,Lihat SK Operasional,2018-03-15 15,B,"15,000",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,smkru354@gmail.com,,.711200000000,100.549300000000,10,56,43,6,Pagi/6 hari,,2022/2023-2,"5,000",6,0,1,2,0,0,10,1,10,0,0,0,0,10,0,8,2,2,6,2,0,0,0,0,4,6,6,0,0,0,1,0,0,0,,SMK 2013 REV.  Tata Busana,Telkomsel Flash,,,,,,,,,,2,2,2,0
Riau,Kab. Rokan Hulu,Ujung Batu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/142666C7-C3B2-4A5E-BAA5-23DBF9E20144,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10495533,SMKS ISLAM INAYAH UJUNG BATU,10495533,Jalan Sudirman,PEMATANG TEBIH,KEC. UJUNG BATU,KAB. ROKAN HULU,PROV. RIAU,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Putri Tujuh Ujungbatu,AI9408,021/YPT/SK/II/2005,12-02-2005,3694/421.5/DP-LPM/2007,23-07-2007,Lihat SK Operasional,2020-08-24 19,B,"40,000",1. Lainnya (Serat Optik),2. Telkom Speedy,PLN & Diesel,,,smk_islaminayah@yahoo.co.id,http,.725900000000,100.508800000000,46,279,228,18,Sehari Penuh/5 hari,,2022/2023-2,"33,000",21,0,0,13,5,1,38,5,41,0,5,0,9,37,0,38,8,25,9,5,3,3,1,0,23,23,18,0,3,0,0,0,0,0,,SMK 2013 REV. Teknik Kendaraan Ringan Otomotif,Lainnya (Serat Optik),,,,,,,,,,6,6,6,0
