prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,program_/_layanan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Banten,Kab. Tangerang,Kelapa Dua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ACB23ACF-9689-4CAD-9A08-F3E3E06E3E43,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20622411,MAS AL-HUDA,20622411,KP.RUMPAK SINANG RT.03/01,PAKULONAN BARAT,KEC. KELAPA DUA,KAB. TANGERANG,PROV. BANTEN,SWASTA,MA,Kementerian Agama,,,KW.28/I/PP.06/089/2007,18-09-2007,Kw.28/I/PP.00/1777/2007,18-09-2007,Silakan Upload SK (link file tidak valid) => [82294-974134-349946-20201655-1222694033.PDF],2016-04-01 06,B,0,,2.,,,,,,-6.241400000000,106.637000000000,0,44,21,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kab. Tangerang,Kelapa Dua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1ECF25F7-B63E-45D4-89CE-1BD4B27C6794,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20622410,MAS HASANUSSHOLIHAT,20622410,KP. PAKULONAN BARAT RT.02/03,PAKULONAN BARAT,KEC. KELAPA DUA,KAB. TANGERANG,PROV. BANTEN,SWASTA,MA,Kementerian Agama,,,Wi/PP.00.6/MA/740/2002,15-04-2002,Wi/PP.00.6/MA/740/2002,15-04-2002,Lihat SK Operasional,2016-03-07 08,B,0,,2.,,,,,,-6.244700000000,106.641800000000,0,48,43,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kab. Tangerang,Kelapa Dua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0523FD04-104F-47E5-9164-6DD15D036A9A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69786285,SKH MENARA KASIH,69786285,JL. KELAPA GADING SELATAN BLOK AJ 10 NO. 29,PAKULONAN BARAT,KEC. KELAPA DUA,KAB. TANGERANG,PROV. BANTEN,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Menara Kasih Bangsa,AL0810,,01-01-1900,800/306-DISPEND/2012,24-09-2012,Silakan Upload SK,,A,200,1. Firstmedia,2. Firstmedia,PLN,02154211680,0215467052,menara.kasih@ymail.com,http,-6.236492700000,106.627315500000,16,41,13,15,Sehari Penuh/5 hari,,2022/2023-2,"10,600",17,0,0,2,0,0,17,0,16,0,0,0,0,16,5,10,1,1,3,1,4,6,1,0,1,15,17,0,0,0,0,0,0,0,"SDLB, SMPLB,  dan SMLB",Pendidikan Khusus SMALB 2013,Firstmedia,1,1,1,2,1,1,2,1,1,1,2,1,
Banten,Kab. Tangerang,Kelapa Dua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5D1CC852-908B-4F85-A8D6-BB23E33315E5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69773501,SKH MUSLIM CENDEKIA,69773501,JL DANAU KELAPA DUA BLOK 05/5,KELAPA DUA,KEC. KELAPA DUA,KAB. TANGERANG,PROV. BANTEN,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Cipta Bunaya Mandiri,AL0641,019/SPR/YMC/II/2009,02-02-2012,421.5/175-Dispend/2012,02-02-2012,Silakan Upload SK (link file tidak valid) => [354201-186201--],2020-08-29 11,B,300,1. -,2. Telkom Speedy,PLN,,02122226282,skhmuslimcendekia@gmail.com,http,-6.235188300000,106.617735000000,10,19,8,8,Sehari Penuh/5 hari,,2022/2023-2,"1,200",9,0,1,2,0,0,11,2,10,0,0,0,0,10,0,7,3,3,5,1,0,0,1,0,5,5,9,0,0,0,1,0,0,0,"TKLB, SDLB,  dan SMPLB",TKLB 2013,Tidak Ada,1,1,1,1,1,1,1,1,0,0,0,0,
Banten,Kab. Tangerang,Kelapa Dua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D07BEDF4-DE91-E211-8C0E-5541CB7C21D7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69756125,SKH NURUL DIYN,69756125,Jl. Baja Raya No. 24 Perumnas Ii Tangerang,BENCONGAN,KEC. KELAPA DUA,KAB. TANGERANG,PROV. BANTEN,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Keluarga Besar Putra-Putri ABRI,AM6323,260,26-03-1990,421.5/172-DISPEND/2012,02-02-2012,Lihat SK Operasional,2018-10-14 23,B,0,1. -,2. Telkom Speedy,PLN,02155651351,02192927404,sdlb_nuruldiyn@yahoo.co.id,http,-6.218717700000,106.610600000000,7,10,8,10,Sehari Penuh/5 hari,,2022/2023-2,"2,200",13,0,1,1,0,0,8,0,7,0,0,0,0,7,0,4,3,3,0,0,3,0,0,1,1,6,13,0,0,0,1,0,0,0,"SDLB, SMPLB,  dan SMLB",Pendidikan Khusus SMALB 2013,Tidak Ada,1,1,0,1,1,1,1,1,1,1,0,1,
Banten,Kab. Tangerang,Kelapa Dua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6E80332D-3B06-4B08-AF9E-847AEABB78D8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70031512,SKH Surya Bangsa,70031512,Jalan Palem Raja Utara Raya No. 1,BENCONGAN,KEC. KELAPA DUA,KAB. TANGERANG,PROV. BANTEN,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN TUNAS PERMATA HATI,AL0645,011/YTPH/SSB/VII/2022,01-07-2022,570/8/IOPSKhs/DPMPTSP/VII/2022,26-07-2022,Lihat SK Operasional,2022-07-28 13,,"3,150",1. -,2. CBN,PLN,,,sekolahsuryabangsa@yahoo.co.id,,.000000000000,.000000000000,6,21,5,5,Sehari Penuh/5 hari,,2022/2023-2,"1,200",10,1,1,4,0,0,7,0,6,0,0,0,0,6,0,1,5,3,1,1,1,0,0,0,2,4,10,0,0,0,1,0,0,0,SDLB dan SMPLB,Pendidikan Khusus SMPLB 2013,Tidak Ada,1,1,1,1,0,0,1,0,0,0,0,0,
Banten,Kab. Tangerang,Kelapa Dua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/84B8698A-0055-45CB-8FDE-770F2F6AED2C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69954513,SM AGAMA KRISTEN CHARISMA GLOBAL SCHOOL,69954513,Jl. Villa Permata Blok C1 No 12-15 Lippo Karawaci,CURUG SANGERENG,KEC. KELAPA DUA,KAB. TANGERANG,PROV. BANTEN,SWASTA,SMAK,Kementerian Agama,Yayasan Charisma Global School,AL0623,DJ.IV/Kep/HK.00.5/590/201,23-08-2016,DJ.IV/Kep/HK.00.5/590/201,23-08-2016,Lihat SK Operasional,2016-11-28 10,B,300,1. -,2. Telkom Speedy,PLN,,02159891579,charismaglobalschool@yahoo.com,http,-6.224300000000,106.592300000000,9,10,2,5,Sehari Penuh/5 hari,,2022/2023-2,"21,990",6,1,1,2,0,0,10,1,9,0,0,0,5,4,0,6,3,3,1,1,1,1,2,0,6,3,6,0,0,0,1,0,0,0,,SMA 2013 IPS,Tidak Ada,,,,,,,,,,,,,
Banten,Kab. Tangerang,Kelapa Dua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2918723D-C52A-4CDF-B764-EBC92A2FF589,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69984260,SMA Al Fityan School Tangerang,69984260,Perum Dasana Indah Blok RB.4 Nomor 17,BOJONG NANGKA,KEC. KELAPA DUA,KAB. TANGERANG,PROV. BANTEN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Al-Fityan Tangerang,AL0642,AHU-AH.01.08,18-06-2010,800/4987 -Dindikbud/2018,17-12-2018,Lihat SK Operasional,2019-01-02 09,A,"8,800",1. Lainnya,2. Lainnya (Kabel),PLN,02154200359,02154203372,smaalfityantgr@gmail.com,https,-6.253537000000,106.602697000000,16,70,47,5,Sehari Penuh/5 hari,,2022/2023-2,"197,000",6,4,1,2,0,0,16,4,16,0,0,0,2,14,0,13,3,5,5,4,2,0,0,0,5,11,6,0,0,0,1,0,0,0,,SMA 2013 MIPA,Lainnya,,,,,,,,,,2,2,1,
Banten,Kab. Tangerang,Kelapa Dua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0AC94673-247B-4313-A693-64A27EBEC0A2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69982590,SMA AL WILDAN ISLAMIC SCHOOL,69982590,Jl Layar 4 Nomor 8 Perum Kelapa Dua,KELAPA DUA,KEC. KELAPA DUA,KAB. TANGERANG,PROV. BANTEN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Nurul Islam,AL0626,AHU-6367.AH.01.04,04-10-2011,570/2-SKK.SMA/DPMPTSP/X/2018,09-11-2018,Lihat SK Operasional,2021-03-31 11,A,"2,334",1. -,2. Telkom Speedy,PLN,,02122225387,smaalwildanislamicschool01@gmail.com,http,-6.237600000000,106.624300000000,22,165,306,13,Sehari Penuh/5 hari,,2022/2023-2,"83,000",20,4,1,4,0,0,22,2,22,0,0,0,2,20,0,16,6,4,9,3,2,1,3,0,8,14,20,0,0,0,1,0,0,0,,SMA 2013 IPS,Tidak Ada,,,,,,,,,,3,3,7,
Banten,Kab. Tangerang,Kelapa Dua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AC8D2BCA-D4A8-4588-A741-EA1CAA4E0A15,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70037316,SMA HARVEST CHRISTIAN SCHOOL,70037316,Jl. Gunung Rinjani. No. 06 Desa/Kelurahan Bencongan Kecamatan Kelapa Dua Kabupat,BENCONGAN,KEC. KELAPA DUA,KAB. TANGERANG,PROV. BANTEN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan TUAIAN DUNIA,AL0643,570/32/IOPSMA/DPMPTSP/XII/2022,26-12-2022,570/32/IOPSMA/DPMPTSP/XII/2022,26-12-2022,Lihat SK Operasional,2023-03-09 14,,"12,996",1. Firstmedia,2. Firstmedia,PLN & Diesel,,,,,.000000000000,.000000000000,13,7,12,3,Sehari Penuh/5 hari,,2022/2023-2,"7,600",4,1,1,2,0,0,13,1,13,0,0,0,0,13,0,10,3,4,2,1,4,2,0,0,5,8,4,0,0,0,1,0,0,0,,SMA 2013 MIPA,Firstmedia,,,,,,,,,,2,1,0,
