prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,program_/_layanan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Jawa Barat,Kab. Majalengka,Majalengka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CD60DE26-8E9D-4A52-85A8-C90744F7B62A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277229,MAS AL-ISHLAH PERSIS,20277229,Jl. Siti Armilah No. 58,MAJALENGKA KULON,KEC. MAJALENGKA,KAB. MAJALENGKA,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,Wi/1/HK.008/28/1995,07-02-1995,Kw.10.4/4/PP.00.6/2738/2010,28-04-2010,Lihat SK Operasional,2023-01-16 14,A,0,,2.,,,,,,-6.835800000000,108.217400000000,0,40,57,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Majalengka,Majalengka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CE7ACC33-E980-4847-B7F8-99662997F113,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277231,MAS AN-NAWAWIYAH,20277231,Jl. Pasukan Sindangkasih No. 9,KAWUNGGIRANG,KEC. MAJALENGKA,KAB. MAJALENGKA,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,D/W/i/MA/93,17-04-1993,1015 Tahun 2020,19-08-2020,Lihat SK Operasional,2022-01-10 16,B,0,,2.,,,,,,-6.865200000000,108.276200000000,0,29,58,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Majalengka,Majalengka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E4EA6467-FAB1-4733-B83A-5BBEFBAF1D16,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277236,MAS DAARUL ULUUM PUI MAJALENGKA,20277236,Jl. Siti Armilah No. 9 Majalengka Kulon,MAJALENGKA KULON,KEC. MAJALENGKA,KAB. MAJALENGKA,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,3.10.22.01.01,13-01-1981,3.10.22.01.01,13-01-1981,Lihat SK Operasional,2019-11-28 08,A,0,,2.,,,,,,-6.857032000000,108.279586000000,0,38,97,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Majalengka,Majalengka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2BC95966-2570-4CAE-9DBD-9C25DAAC8AE6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277237,MAS DARUL FALAH,20277237,K.h. Mahfud No. 23 Kel. Cijati Kec./Kab. Majalengka,CIJATI,KEC. MAJALENGKA,KAB. MAJALENGKA,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,W.i/HK.008/269/1989,14-10-1989,Wi/I/PP.006/3679/1988,30-09-1988,Lihat SK Operasional,2022-08-08 05,A,0,,2.,,,,,,-6.828100000000,108.207900000000,0,68,64,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Majalengka,Majalengka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FBE6EBCC-4E7C-4086-A327-63A83401897F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277249,MAS PUTRI PUI,20277249,Jl. K.h. Abdul Halim 223,MAJALENGKA KULON,KEC. MAJALENGKA,KAB. MAJALENGKA,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,AHU-0001569.AH.01.07.TAHUN 2015,18-06-2015,W.i/HK.008/268/1989,14-10-1989,Lihat SK Operasional,2019-11-28 09,A,0,,2.,,,,,,-6.834500000000,108.226200000000,0,0,157,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Majalengka,Majalengka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50BD7F74-5AFA-E111-B4E0-55B7EF50754E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20214017,SLB A YPLB MAJALENGKA,20214017,Jl. Babakan Jawa Gg. Sudarsono No.42 Rt. 02/01,BABAKAN JAWA,KEC. MAJALENGKA,KAB. MAJALENGKA,PROV. JAWA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN LUAR BIASA TUJUH DUA MAJALENGKA,AI1561,421.9/4118_SLB/2003,04-11-2003,421.9/4118_SLB/2003,04-11-2003,Lihat SK Operasional,2022-08-03 09,,"1,020",1. -,2. Telkom Speedy,PLN,,,slbamajalengka42@gmail.com,,-6.841403300000,108.229248300000,8,11,9,11,Sehari Penuh/5 hari,,2022/2023-2,"1,300",7,0,0,0,1,0,8,0,7,0,0,1,2,6,0,7,1,1,3,1,1,0,1,1,6,2,0,1,6,0,0,0,0,0,"SDLB, SMPLB,  dan SMLB",Pendidikan Khusus SMALB 2013,Tidak Ada,1,1,1,1,1,1,1,0,1,2,0,1,
Jawa Barat,Kab. Majalengka,Majalengka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F0E87F74-5AFA-E111-95EF-DFD8F50606D0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20213898,SLB B YPLB MAJALENGKA,20213898,Jl. Siti Armilah No.01 Majalengka,MAJALENGKA KULON,KEC. MAJALENGKA,KAB. MAJALENGKA,PROV. JAWA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan Luar Biasa Tujuh Dua Majalengka,AJ7406,1122/I/02 Kep,04-08-1993,1122/I.02/KEP.E.93,04-08-1993,Lihat SK Operasional,2023-03-03 16,,500,1.,2.,PLN,,02338287148,slbbyplbmajalengka_7070@yahoo.com,,-6.835778300000,108.220561700000,6,34,18,12,Sehari Penuh/5 hari,,2022/2023-2,"1,350",2,0,1,0,2,0,6,0,4,0,1,1,5,1,0,4,2,0,1,0,2,0,1,2,2,4,0,0,2,2,0,0,1,0,"SDLB, SMPLB,  dan SMLB",TKLB 2013,Indosat IM3,1,1,1,1,1,1,1,1,1,1,1,1,
Jawa Barat,Kab. Majalengka,Majalengka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60148074-5AFA-E111-BD1A-231CC1FB6D6B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20213879,SLB C YPLB MAJALENGKA,20213879,Jl. Emen Slamet No.70 Majalengka,MAJALENGKA KULON,KEC. MAJALENGKA,KAB. MAJALENGKA,PROV. JAWA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN LUAR BIASA TUJUH DUA MAJALENGKA,AI1561,421.9/4120-SLB/2003,04-11-2003,421.9/4120-SLB/2003,04-11-2003,Lihat SK Operasional,2021-06-07 11,,"1,080",1.,2.,PLN,,,slbcmjlslbcmjl@yahoo.co.id,,-6.835700000000,108.220700000000,11,40,21,12,Sehari Penuh/5 hari,,2022/2023-2,"2,250",4,0,0,2,2,0,9,0,9,0,1,1,6,5,0,7,4,2,1,4,1,2,0,1,2,9,2,0,2,0,0,0,0,0,"SDLB, SMPLB,  dan SMLB",Pendidikan Khusus SMALB 2013,Indosat IM3,1,1,1,1,1,1,1,1,1,1,1,1,
Jawa Barat,Kab. Majalengka,Majalengka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20FCD815-2CF5-E011-91A3-EF3021AD0A8F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20213878,SLB NEGERI MAJALENGKA,20213878,Jl.kh.abdul Halim No.97 A,MAJALENGKA KULON,KEC. MAJALENGKA,KAB. MAJALENGKA,PROV. JAWA BARAT,NEGERI,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421.9/2891-Disdik/02,13-06-2002,421.9/2891-DISDIK/02,13-06-2002,Silakan Upload SK,,,"3,300",1.,2.,PLN,,,slbnegerimajalengka@yahoo.co.id,,-6.832300000000,108.213300000000,37,108,53,43,Sehari Penuh/5 hari,,2022/2023-2,"6,000",45,0,1,6,13,14,0,10,25,0,8,4,19,18,0,33,4,2,10,7,4,3,8,3,10,27,0,37,8,0,0,1,0,0,"TKLB, SDLB, SMPLB,  dan SMLB",TKLB 2013,Lainnya (Serat Optik),4,3,4,5,4,4,3,4,3,2,5,2,
Jawa Barat,Kab. Majalengka,Majalengka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6DE80F6E-8742-4A47-8A8E-8A3193AEC2BE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20213893,SMAN 1 MAJALENGKA,20213893,JL. KH. ABDUL HALIM NO. 113,MAJALENGKA KULON,KEC. MAJALENGKA,KAB. MAJALENGKA,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,135.s.k.b/III,29-08-1961,135.s.k.b/III,29-08-1961,Lihat SK Operasional,2015-08-21 09,A,"17,900",1. -,2. Telkom Speedy,PLN,281280,281280,smansa_mjl@yahoo.co.id,http,-6.833720000000,108.217921700000,65,477,816,36,Sehari Penuh/5 hari,,2022/2023-2,"66,000",36,5,0,41,48,10,0,7,19,0,18,28,51,14,0,63,2,5,8,4,9,7,12,20,35,30,27,0,9,0,0,0,0,0,,SMA 2013 IPS,Tidak Ada,,,,,,,,,,12,12,12,
