prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,program_/_layanan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_13
Jawa Tengah,Kab. Blora,Randublatung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2D731E3A-3E7F-4A46-B186-0F858B2672EA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20364948,MAS MAARIF RANDUBLATUNG,20364948,JL.DIPONEGORO GANG ANGSANA NO.20 I,RANDUBLATUNG,KEC. RANDUBLATUNG,KAB. BLORA,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,WK/5.d/221/Pgm./MA/1991,07-09-1991,Wk/5.a/PP.03.2/1097/1989,06-06-1989,Lihat SK Operasional,2016-09-08 11,B,0,,2.,,,,,,-7.229400000000,111.377700000000,0,42,13,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kab. Blora,Randublatung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/79EC87B1-8D53-4162-BC61-B91EEF7966DF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70033913,SLB NEGERI RANDUBLATUNG,70033913,"Jl. Wulung-Klatak Doplang KM. 0,5, Dukuh Sambong",WULUNG,KEC. RANDUBLATUNG,KAB. BLORA,PROV. JAWA TENGAH,NEGERI,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,503/7656/2022,12-09-2022,503/7656/2022,12-09-2022,Lihat SK Operasional,2022-10-01 00,,0,,2.,,,,,,.000000000000,.000000000000,12,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,12,12,0,0,0,1,11,0,0,12,7,2,3,0,0,0,0,4,8,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kab. Blora,Randublatung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A3DAA72D-7D44-49EF-9BB9-508540203D85,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20330035,SMA MUHAMMADIYAH RANDUBLATUNG,20330035,JL MENDEN KM 1 RANDUBLATUNG,PILANG,KEC. RANDUBLATUNG,KAB. BLORA,PROV. JAWA TENGAH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Jawa Tengah,AO5350,1620/103/I-87,12-10-1987,108/103.S/M-84,19-05-1984,Lihat SK Operasional,2015-09-19 15,A,"3,975",1.,2.,PLN,,810360,smamuhrand_2011@yahoo.com,,-7.208295000000,111.402093300000,16,225,185,14,Sehari Penuh/5 hari,,2022/2023-2,"4,200",25,2,2,0,0,0,20,1,16,0,0,0,7,9,0,13,3,5,3,0,2,2,2,2,6,10,14,11,0,0,0,2,0,0,,,,,,,,,,,5,5,4,SMA 2013 IPS,Tidak Ada,
Jawa Tengah,Kab. Blora,Randublatung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1EBA2F31-BE17-4B2F-B836-D8E123868110,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20314881,SMAN 1 RANDUBLATUNG,20314881,JL. BLORA  KM. 37,WULUNG,KEC. RANDUBLATUNG,KAB. BLORA,PROV. JAWA TENGAH,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,061/O/1985,22-11-1985,061/O/1985,01-07-1985,Lihat SK Operasional,2018-11-27 15,A,"30,030",1. Telkom Speedy,2. Lainnya (Serat Optik),PLN,810939,810092,smanegerirandublatung@yahoo.co.id,http,-7.186676700000,111.397650000000,53,350,609,27,Sehari Penuh/5 hari,,2022/2023-2,"66,000",26,3,2,1,34,16,0,3,21,0,23,9,39,14,0,45,8,6,5,6,2,8,15,11,27,26,26,0,0,0,2,0,0,0,,,,,,,,,,,9,9,9,SMA 2013 Bhs&Budaya,Telkom Speedy,
Jawa Tengah,Kab. Blora,Randublatung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/54B9CB92-2E34-4096-9434-8DBCEE688F5C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20330034,SMAS KATOLIK RANDUBLATUNG,20330034,JL. DIPONEGORO NO. 21 RANDUBLATUNG,PILANG,KEC. RANDUBLATUNG,KAB. BLORA,PROV. JAWA TENGAH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan YOHANNES GABRIEL,AN2291,61,16-04-1981,-1358/IO3/I.83,07-06-1983,Lihat SK Operasional,2020-08-24 20,B,"1,141",1. -,2. Telkom Speedy,PLN,,810721,smakat_rdb@yahoo.co.id,,-7.201225000000,111.392170000000,8,13,9,3,Pagi/6 hari,,2022/2023-2,"3,500",5,1,1,2,0,0,7,2,8,0,0,0,6,2,0,7,1,2,1,1,3,1,0,0,2,6,5,0,0,0,1,0,0,0,,,,,,,,,,,1,1,1,SMA 2013 Bhs&Budaya,Tidak Ada,
Jawa Tengah,Kab. Blora,Randublatung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/76DE4A3B-92D6-4D00-A535-987C95223E04,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20330036,SMAS MUJAHIDIN RUNDUBLATUNG,20330036,JL. MASJID MUJAHIDIN NO. 1 BULAKAN,PILANG,KEC. RANDUBLATUNG,KAB. BLORA,PROV. JAWA TENGAH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",yayasan pendidikan islam mujahidin,AA7718,421/1823,29-06-2002,421/1823,29-06-2002,Lihat SK Operasional,2020-08-24 20,C,"1,326",1. -,2. Smartfren,PLN & Diesel,,,mujahidin.blora@gmail.com,http,-7.202900000000,111.414300000000,9,19,13,3,Pagi/6 hari,,2022/2023-2,"1,300",3,0,1,2,0,0,12,0,9,0,0,0,7,2,0,6,3,1,0,3,1,1,2,1,4,5,0,1,2,0,1,0,0,0,,,,,,,,,,,1,1,1,SMA 2013 Bhs&Budaya,Tidak Ada,
Jawa Tengah,Kab. Blora,Randublatung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8C198295-FB7F-437D-940E-C86918CF5C32,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20361878,SMKS AL MUSTAWA,20361878,RAYA RANDUBLATUNG - CEPU KM.6,KUTUKAN,KEC. RANDUBLATUNG,KAB. BLORA,PROV. JAWA TENGAH,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Smk Al Mustawa,AA7702,420/3290/2010,14-06-2010,420/3290/2010,14-06-2010,Lihat SK Operasional,2020-08-26 18,C,"1,800",1. Smartfren,2. Telkom Speedy,PLN,,,smk.almustawa@yahoo.com,,-7.185500000000,111.439100000000,11,18,29,6,Pagi/6 hari,,2022/2023-2,"1,300",6,1,1,1,0,0,13,0,11,0,0,0,3,8,0,11,0,4,2,1,3,0,0,1,4,7,6,0,0,0,1,0,0,0,,,,,,,,,,,2,2,2,SMK 2013 REV. Teknik Komputer dan Jaringan,Smartfren,0
Jawa Tengah,Kab. Blora,Randublatung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BF3E7BA5-82BE-4C82-8376-6947D56FFB24,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20314905,SMKS KATOLIK ST LOUIS RANDUBLATUNG,20314905,JL. DIPONEGORO NO. 21 RANDUBLATUNG  KAB. BLORA,PILANG,KEC. RANDUBLATUNG,KAB. BLORA,PROV. JAWA TENGAH,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan YOHANNES GABRIEL,AN2291,KPPE/015/CI/IV/III/B/72,01-01-1972,66,16-02-1965,Lihat SK Operasional,2015-09-29 08,B,"4,615",1. -,2. Telkom Speedy,PLN,0296810093,0296810093,smkkatrdb@gmail.com,http,-7.201300000000,111.392400000000,16,79,27,9,Pagi/6 hari,,2022/2023-2,"1,200",14,1,1,2,1,0,16,1,15,0,0,1,14,2,0,15,1,1,0,1,6,4,3,1,7,9,8,6,0,0,1,0,0,0,,,,,,,,,,,3,3,3,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,Tidak Ada,0
Jawa Tengah,Kab. Blora,Randublatung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DFDB9468-63FF-430F-AC8A-CFFB0EC95436,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20330038,SMKS MUHAMMADIYAH RANDUBLATUNG,20330038,JLN. DIPONEGORO NO.13 RANDUBLATUNG,PILANG,KEC. RANDUBLATUNG,KAB. BLORA,PROV. JAWA TENGAH,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Jawa Tengah,AO5350,421/111,10-06-2005,060/5081,01-11-2006,Lihat SK Operasional,2020-09-08 07,B,"13,560",1. Smartfren,2. Telkom Speedy,PLN,,0296810292,smkmuhammadiyahrandublatung@gmail.com,http,-7.202000000000,111.391000000000,34,537,123,22,Pagi/6 hari,,2022/2023-2,"33,000",28,1,1,12,1,0,46,1,34,0,0,0,10,24,1,31,2,1,6,8,9,4,3,3,22,12,28,0,0,0,1,0,0,0,,,,,,,,,,,7,8,7,SMK 2013 REV. Teknik Kendaraan Ringan Otomotif,Smartfren,0
Jawa Tengah,Kab. Blora,Randublatung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A82228F3-CE44-4E2B-B787-83EF77580AC3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20314902,SMKS PSM RANDUBLATUNG,20314902,JL. ONGGOSOSRO NO. 27 RANDUBLATUNG,RANDUBLATUNG,KEC. RANDUBLATUNG,KAB. BLORA,PROV. JAWA TENGAH,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan YPI.PSM,AA7703,787/I03/U/1996,10-06-1996,787/I03/U/.96.,10-06-1996,Lihat SK Operasional,2020-08-27 09,B,"27,720",1. Telkomsel Flash,2. Lainnya (Serat Optik),PLN,0296810968,0296810968,smkpsmrdb@gmail.com,http,-7.205400000000,111.386000000000,30,239,446,21,Pagi/6 hari,,2022/2023-2,"33,000",33,0,0,2,0,0,30,6,30,0,0,0,11,19,1,27,2,9,4,7,3,4,2,1,9,21,0,33,0,0,0,0,0,0,,,,,,,,,,,7,7,7,SMK 2013 REV.  Bisnis Daring dan Pemasaran,Telkomsel Flash,0
