prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Jawa Timur,Kab. Bondowoso,Pujer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7F0631DF-A511-43E0-B088-21440B953894,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20580172,MAS AL BAROKAH,20580172,Jl. Pesantren Blok. A - Ds. Padasan,PADASAN,KEC. PUJER,KAB. BONDOWOSO,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,Wm.06.02/451/3-c/Ket/1990,10-09-1993,Kw.13.4/4/PP.00.6/191/2010,01-07-2010,Silakan Upload SK,,B,0,,2.,,,,,,-7.935500000000,113.872000000000,0,71,83,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Bondowoso,Pujer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3BE8EF60-DE0C-4EB7-8560-D353C4BBF342,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20580158,MAS AL MA`ARIF,20580158,JL. RAYA PUJER NO.45A DS. MASKUNING KULON,MASKUNING KULON,KEC. PUJER,KAB. BONDOWOSO,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,Yayasan LP Ma'arif NU Bondowoso,AB3345,MAS/11.0020/2017,01-07-2010,MAS/11.0020/2017,01-07-2010,Silakan Upload SK (link file tidak valid) => [366506-2358--],2020-09-01 09,C,0,,2.,,,,,,-7.973897000000,113.878782000000,0,20,11,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Bondowoso,Pujer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/115FC9F6-4A3C-4F46-B396-5A24CC09C029,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69812115,MAS An Nur,69812115,Jl. KH. Umar No. 14 Taman Ds. Mengok,MENGOK,KEC. PUJER,KAB. BONDOWOSO,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,Lainnya,,1462 Tahun 2013,31-10-2013,1462 Tahun 2013,31-10-2013,Silakan Upload SK,,C,0,,2.,,,,,,-7.984700000000,113.872200000000,0,32,44,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Bondowoso,Pujer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4928C302-54F0-4DCF-ABB3-73FE68A9C547,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69881465,MAS Miftahul Ulum Maskuning Kulon,69881465,Jl. Pringgondani KM 04 Maskuning Kulon,MASKUNING KULON,KEC. PUJER,KAB. BONDOWOSO,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,Lainnya,,Kw.13.4/4/PP.00.6/1417/2012,13-12-2012,Kw.13.4/4/PP.00.6/1417/2012,13-12-2012,Silakan Upload SK,,C,0,,2.,,,,,,-7.993111000000,113.892266000000,0,24,39,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Bondowoso,Pujer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F30C8D31-7422-4AE6-B374-94B796B0FE6F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69983541,MAS RAUDLATUL IMAN,69983541,JL. PRINGGONDANI NO.96 DS SUKOWONO KEC. PUJER KAB BONDOWOSO 68271,KEC. PUJER,KAB. BONDOWOSO,PROV. JAWA TIMUR,INDONESIA,SWASTA,MA,Kementerian Agama,,,3985 TAHUN 2018,06-06-2018,3985 TAHUN 2018,06-06-2018,Silakan Upload SK (link file tidak valid) => [-],2018-12-07 14,Tidak Terakreditasi,0,,2.,,,,,,-7.998358100000,113.903134200000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Bondowoso,Pujer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9BA81BB8-0B12-4046-A80F-1541A64F6CBF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20521745,SMAN 1 PUJER,20521745,JL. RAYA BONDOWOSO NO.01 PUJER,KEJAYAN,KEC. PUJER,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421.3/4226/430.520/2005,20-07-2005,421.3/4226/430.520/2005,20-07-2005,Lihat SK Operasional,2016-11-29 10,A,"10,190",1. Telkom Speedy,2. Telkom Speedy,PLN,,,sman1pujer@gmail.com,http,-7.957500000000,113.870800000000,20,86,73,8,Sehari Penuh/5 hari,,2022/2023-2,"6,600",12,1,1,2,15,0,0,5,6,0,14,0,15,5,0,17,3,2,3,1,5,2,5,2,7,13,9,2,1,0,0,1,0,0,SMA 2013 MIPA,Telkom Speedy,2,3,3,
Jawa Timur,Kab. Bondowoso,Pujer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E1782A2F-9E58-4D1D-827E-668A3BD841F1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20521749,SMAS ISLAM PUJER,20521749,JL. RAYA PUJER NO 15 KEJAYAN,KEJAYAN,KEC. PUJER,KAB. BONDOWOSO,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Zainal Abidin,AB3264,0977/I04.7.4/1995,13-11-1995,421.3/393.a/430.10.1/2016,19-01-2016,Lihat SK Operasional,2021-11-16 08,B,"3,648",1. Indosat IM3,2. Telkom Speedy,PLN,,,smaislampujer@gmail.com,,-7.968800000000,113.879500000000,10,33,37,3,Sehari Penuh/5 hari,,2022/2023-2,"2,200",5,0,1,2,1,0,13,0,9,0,1,0,2,8,0,8,2,2,4,2,1,0,0,1,6,4,0,5,0,0,1,0,0,0,SMA 2013 IPS,Indosat IM3,1,1,1,
Jawa Timur,Kab. Bondowoso,Pujer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/38881F38-6DC5-48CA-A745-AC96351F471A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69978387,SMK BUSTANUL ULUM PADASAN,69978387,Jl. Pesantren Rt.006 RW.002,PADASAN,KEC. PUJER,KAB. BONDOWOSO,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN BUSTANUL ULUM PADASAN PUJER,AB3278,P2T/50/19.06/01/V/2018,28-05-2018,191/18.05/02/V/2022,30-05-2022,Lihat SK Operasional,2022-08-11 09,C,575,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,smkbup2018@gmail.com,http,-7.937500000000,113.875800000000,14,30,15,3,Pagi/6 hari,,2022/2023-2,900,3,0,1,0,0,0,15,0,14,0,0,0,1,13,0,9,5,4,5,4,1,0,0,0,7,7,0,0,3,0,1,0,0,0,SMK 2013 REV.  Desain Komunikasi Visual,Telkomsel Flash,1,1,1,0
Jawa Timur,Kab. Bondowoso,Pujer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AAA3C928-4849-499F-B80F-DE6EE0E5650D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20554161,SMKN 1 PUJER,20554161,RAYA PAKISAN,MASKUNING KULON,KEC. PUJER,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421.5/7416/430.516/2007,05-07-2007,421.5/7416/430.516/2007,05-07-2007,Lihat SK Operasional,2015-10-06 09,B,"6,350",1. Indosat IM3,2. Lainnya (Serat Optik),PLN,,,smkn1_pujerbo@yahoo.co.id,http,-7.978100000000,113.892600000000,26,268,41,12,Sehari Penuh/5 hari,,2022/2023-2,"10,600",5,0,1,2,8,12,1,5,20,0,6,0,12,14,0,20,6,3,5,7,11,0,0,0,11,15,4,1,0,0,1,0,0,0,SMK 2013 REV. Teknik Kendaraan Ringan Otomotif,Indosat IM3,4,4,4,0
Jawa Timur,Kab. Bondowoso,Pujer,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/67C33F0C-D0D3-4A0F-A709-421C3A1CEE85,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20564097,SMKS DARUL ULUM,20564097,SUMBER JAMBE MASKUNING KULON,MASKUNING KULON,KEC. PUJER,KAB. BONDOWOSO,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan Islam Darul Ulum,AB3273,800/10891/430.81/2008,02-09-2008,256/18.05/02/VII/2022,18-07-2022,Lihat SK Operasional,2023-02-02 10,C,"1,188",1. -,2. Telkom Speedy,PLN,,,smkdarululumpujer@yahoo.com,http,-7.989500000000,113.893500000000,19,62,121,6,Pagi/6 hari,,2022/2023-2,900,7,0,1,2,0,0,25,0,19,0,0,0,1,18,0,14,5,4,10,2,2,0,0,1,11,8,7,0,0,0,1,0,0,0,SMK 2013 REV. Teknik Komputer dan Jaringan,Tidak Ada,2,2,2,0
