prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_13
Nusa Tenggara Barat,Kab. Lombok Timur,Pringgasela,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/37555866-FD13-4F28-BA33-EAE6F8CA5D4D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69955775,Islahul Muslimin Nu Jurit Baru,69955775,Dusun Sukatani,JURIT BARU,KEC. PRINGGASELA,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,Lainnya,AN6346,,,,,Silakan Upload SK,,C,0,,2.,,,,,,.000000000000,.000000000000,0,22,20,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Timur,Pringgasela,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BB2CC093-3529-4888-BA7A-B6D7C4DCAA2F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69975857,MA ASSAWIYAH NW,69975857,JL. PENDIDIKAN PRINGGASELA TIMUR,PRINGGASELA TIMUR,KEC. PRINGGASELA,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,271 TAHUN 2017,03-07-2017,271 TAHUN 2017,03-07-2017,Silakan Upload SK (link file tidak valid) => [-],2018-05-02 11,C,0,,2.,,,,,,.000000000000,.000000000000,0,11,4,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Timur,Pringgasela,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/21A64CE3-7E61-45EB-B6AD-30D8B34CF026,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222537,MAS MAMBAUL ULUM JURIT,50222537,JLN.RINJANI JURIT SELATAN,JURIT,KEC. PRINGGASELA,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,420.3/08/SK-YPP/MA/MBU/VI,09-06-2010,Kw.19.1/2/499/2013,23-04-2013,Silakan Upload SK,,C,0,,2.,,,,,,-8.600900000000,116.467200000000,0,34,28,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Timur,Pringgasela,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1A6EACC0-E8E1-43F2-B65A-B3B7B5C023E9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222536,MAS NW PRINGGASELA,50222536,JLN. PENDIDIKAN NO. 42 PRINGGASELA KEC. PRINGGASELA,PRINGGASELA,KEC. PRINGGASELA,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,001/MA/PENG.PRG/VII/1987,01-07-1987,WX.87.50.50A/3/89,14-11-1989,Lihat SK Operasional,2016-08-15 12,B,0,,2.,,,,,,-8.584700000000,116.476500000000,0,52,43,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Timur,Pringgasela,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4CC391C9-419F-4F1B-8AC0-D3ABAEC18B4B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222535,MAS NW REMPUNG,50222535,JLN. PENDIDIKAN REMPUNG KEC PRINGGASELA LOTIM-NTB,REMPUNG,KEC. PRINGGASELA,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,Wx.86.043 A/3/88,10-10-1988,Wx.86.043 A/3/88,10-10-1988,Silakan Upload SK,,B,0,,2.,,,,,,-8.611900000000,116.497600000000,0,47,22,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Timur,Pringgasela,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A9D2C5F5-5B34-4A68-B62C-EB0FB15643F5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50222534,MAS YASTAQIEM PENGADANGAN,50222534,JL. PEMBARUAN NO. 20  GUBUK TIMUK PENGADANGAN,PENGADANGAN,KEC. PRINGGASELA,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,SWASTA,MA,Kementerian Agama,,,06/YASTAQIEM/2003,01-07-2003,WX/1-b/1213/2003,15-12-2003,Silakan Upload SK,,B,0,,2.,,,,,,-8.560900000000,116.484600000000,0,36,62,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Timur,Pringgasela,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E3BE2FAC-476A-4568-9FD9-45D5ECB471C1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70037235,SMA PLUS DARUL CHALIDI NW PRINGGASELA,70037235,Jln. H. Rawisah  No. B08,PRINGGASELA,KEC. PRINGGASELA,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pondok Pesantren Darul Chalidi NW Pringgasela,AN6340,AHU - 0024.621.AH.01.04.Tahun 2021,14-10-2021,421.3/483.PSMA/DIKBUD,19-01-2023,Lihat SK Operasional,2023-02-07 17,,0,,2.,,,,,,.000000000000,.000000000000,3,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,2,1,1,0,1,0,1,0,0,3,0,,,,,,,,,,,,,,
Nusa Tenggara Barat,Kab. Lombok Timur,Pringgasela,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/43E65D91-910C-4B6E-BC4A-3EB0E45DBA93,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50202410,SMAN 1 PRINGGASELA,50202410,Jalan H. Mayor Ahmad BA Pringgasela,PRINGGASELA,KEC. PRINGGASELA,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,188.45/2498/PDK/2002,02-12-2002,188.45/2498/PDK/2002,02-12-2002,Lihat SK Operasional,2020-03-19 14,A,"11,827",1. -,2. Lainnya (Serat Optik),PLN,,03765631120,sman1pringgasela@gmail.com,http,-8.555200000000,116.480400000000,44,317,397,21,Pagi/6 hari,,2022/2023-2,"11,000",12,3,0,2,19,13,0,12,26,0,14,4,23,21,0,42,2,2,5,11,11,7,4,4,23,21,0,4,8,4,0,0,0,0,7,7,7,SMA 2013 IPS,Tidak Ada,
Nusa Tenggara Barat,Kab. Lombok Timur,Pringgasela,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D5385DBD-3BFF-4ABE-86AA-7E190BB504CD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50220438,SMKN PRINGGASELA,50220438,JLN. RINJANI DSN. TEMPASAN PRINGGASELA- LOMBOK TIMUR,PRINGGASELA,KEC. PRINGGASELA,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,45/579/DIK/2011,26-06-2008,188.45/579/DIK/2011,10-08-2011,Lihat SK Operasional,2023-05-17 08,B,"14,275",1. Lainnya (Serat Optik),2. Telkomsel Flash,PLN & Diesel,,,smknegeri1pringgasela@gmail.com,http,-8.578600000000,116.470600000000,41,144,65,14,Pagi/6 hari,,2022/2023-2,"8,600",20,0,1,2,14,11,0,16,30,0,7,4,13,28,1,39,1,4,9,12,7,4,2,3,29,12,20,0,0,0,1,0,0,0,4,5,5,SMK 2013 REV. Agribisnis Tanaman Perkebunan,Lainnya (Serat Optik),0
Nusa Tenggara Barat,Kab. Lombok Timur,Pringgasela,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0DE5CB62-1E54-4745-93D3-08355CF822A2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50219899,SMKS NW BENTENG,50219899,JLN NAPAK TILAS NO. 02 MEKAR SARI,JURIT BARU,KEC. PRINGGASELA,KAB. LOMBOK TIMUR,PROV. NUSA TENGGARA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Ponpes Zainuddin Ats-tsani NW Benteng,AK9361,1/SK/PONTREN.RM/A/VI/2007,20-06-2007,420.1/3655.13/DIK.III/2009,29-09-2009,Lihat SK Operasional,2017-02-14 09,Sertifikat Kedaluwarsa,"6,350",1. Lainnya,2. Lainnya,PLN,,,esemka.enwe.benteng07@gmail.com,http,-8.560600000000,116.437000000000,18,75,92,6,Pagi/6 hari,,2022/2023-2,"1,300",6,0,1,0,0,0,22,1,18,0,0,0,0,18,0,14,4,1,5,4,5,3,0,0,11,7,6,0,0,0,1,0,0,0,2,2,2,SMK 2013 REV.  Agribisnis Ternak Unggas,Lainnya,0
