prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_13
Sulawesi Utara,Kota Kotamobagu,Kotamobagu Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0AD4CBC2-382C-4200-B208-4FBF3D700C28,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40100323,SMAN 2 KOTAMOBAGU,40100323,JL. AMAL NO 39 KOTAMOBAGU,MOGOLAING,KEC. KOTAMOBAGU BARAT,KOTA KOTAMOBAGU,PROV. SULAWESI UTARA,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1501/1982,,,,Silakan Upload SK,,A,"10,152",1. -,2. Telkom Astinet,PLN,,21415,smanegeri2kotamobagu@gmail.com,,.729100000000,124.302500000000,59,502,576,33,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"13,200",31,3,1,13,21,11,0,27,41,0,12,6,19,40,0,50,9,28,9,7,7,2,1,5,29,30,13,10,10,25,5,1,0,1,0,0,0,
Sulawesi Utara,Kota Kotamobagu,Kotamobagu Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CD82A9B3-607B-4D21-BAF8-189152F2AA15,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40100343,SMAN 3 KOTAMOBAGU,40100343,JL. A. YANI NO 35 KOTAMOBAGU,KOTAMOBAGU,KEC. KOTAMOBAGU BARAT,KOTA KOTAMOBAGU,PROV. SULAWESI UTARA,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,711/II.16.3.5/aT-1994,28-09-1994,711/II.16.3.5/aT-1994,28-09-1994,Lihat SK Operasional,2019-10-07 17,A,"7,486",1. -,2. Telkom Speedy,PLN,,043421936,sman3kotamobagu@gmail.com,http,.745000000000,124.313100000000,62,480,495,28,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"4,400",24,2,0,4,30,4,0,28,34,1,21,6,30,32,0,50,12,20,8,9,9,2,8,6,29,33,10,10,8,10,1,13,0,0,0,0,1,
Sulawesi Utara,Kota Kotamobagu,Kotamobagu Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/878DE387-B6E7-4B71-BD60-A0F6CB9E273A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40100310,SMAS ISLAM BAITUL HIKMAH KOTAMOBAGU,40100310,JL. SUTOYO NO. 11 KOTAMOBAGU,KOTAMOBAGU,KEC. KOTAMOBAGU BARAT,KOTA KOTAMOBAGU,PROV. SULAWESI UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN BAITUL AHSAN KOTAMOBAGU,AM3647,35,22-08-1972,185a/I 16.1/1985,18-07-1985,Lihat SK Operasional,2015-04-15 08,B,"1,377",1. Lainnya,2. Telkom Speedy,PLN,,043423787,smaislamkotamobagu@gmail.com,http,.740700000000,124.313300000000,10,30,16,6,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,"4,400",7,1,2,2,5,0,5,1,5,0,3,2,7,3,0,6,4,3,0,0,1,0,1,5,7,3,2,2,2,1,6,0,0,2,0,0,0,
Sulawesi Utara,Kota Kotamobagu,Kotamobagu Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/04D94960-D287-45D9-B3F2-F0C02FBA8C4E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40100313,SMAS KRISTEN KOTAMOBAGU,40100313,JL. S. PARMAN NO 727 KOTAMOBAGU,KOTAMOBAGU,KEC. KOTAMOBAGU BARAT,KOTA KOTAMOBAGU,PROV. SULAWESI UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN KRISTEN - GMIBM,AM3637,18/A1.16-/t85,18-07-1985,185.a/I/16.1/85,18-07-1985,Lihat SK Operasional,2020-08-28 07,A,"20,115",1. -,2. Telkom Speedy,PLN,21576,043421576,smakristenkotamobagu22@gmail.com,http,.741900000000,124.315000000000,22,215,296,17,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Tidak Ada,"10,300",13,1,1,4,3,0,7,13,19,0,2,1,10,12,0,21,1,10,2,0,3,2,3,2,6,16,4,6,7,0,13,0,8,0,1,0,0,
Sulawesi Utara,Kota Kotamobagu,Kotamobagu Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90BEB391-3372-4EAB-A9FE-1E871D00B6BF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40105011,SMK PP PANCA MARGA KOTAMOBAGU,40105011,GATOT SUBROTO MONGKONAI,MONGKONAI,KEC. KOTAMOBAGU BARAT,KOTA KOTAMOBAGU,PROV. SULAWESI UTARA,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN PANCA MARGA BOLAANG MONGONDOW,AM3653,287/I02/Kep/95,02-01-1995,08A/YPPM-BM/I/2013,06-01-2014,Lihat SK Operasional,2019-04-29 15,C,"10,000",1. -,2. Telkomsel Flash,PLN,085397349591,,smkpppancamargakotamobagu@gmail.com,http,.734574000000,124.284144000000,20,28,20,3,SMK 2013 REV. Agribisnis Tanaman Pangan dan Hortikultura,Pagi/6 hari,,2022/2023-2,Tidak Ada,"2,300",6,1,1,2,1,0,12,9,18,0,1,1,1,19,1,18,1,7,3,3,1,1,0,5,10,10,1,1,1,6,0,0,0,1,0,0,0,0
Sulawesi Utara,Kota Kotamobagu,Kotamobagu Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F2EE7C61-B835-4286-997E-0F29C862BA0B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69955067,SMK PRIMA SEJAHTERA KOTAMOBAGU,69955067,Jalan Kampus No.9 Kecamatan Kotamobagu Barat Kota Kotamobagu,KOTAMOBAGU,KEC. KOTAMOBAGU BARAT,KOTA KOTAMOBAGU,PROV. SULAWESI UTARA,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan Mototanoban,AM3646,008/SK/YPM/IV/2016,08-04-2016,420/DPPO-KK/1367/XI/2016,30-11-2016,Lihat SK Operasional,2016-12-07 10,B,"5,000",1. Smartfren,2. Telkomsel Flash,PLN,,,sejahterasmkprima@gmail.com,http,.734742000000,124.301927000000,9,47,20,6,SMK 2013 REV. Teknik Komputer dan Jaringan,Sehari Penuh/5 hari,,2022/2023-2,Smartfren,"1,300",6,0,0,2,1,0,5,3,8,0,1,0,2,7,0,8,1,4,4,0,1,0,0,0,3,6,2,2,2,6,0,0,0,0,0,0,0,0
Sulawesi Utara,Kota Kotamobagu,Kotamobagu Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E5F1A214-C689-467E-9C71-86430FF9FF7F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40100347,SMKN 1 KOTAMOBAGU,40100347,JL.H.ZAKARIA IMBAN,MOLINOW,KEC. KOTAMOBAGU BARAT,KOTA KOTAMOBAGU,PROV. SULAWESI UTARA,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,NO. 10413/KEDJ/TGL. 21 Februari 1963,21-02-1963,420/DPPO-KK/719 IV/2016,02-06-2016,Lihat SK Operasional,2021-11-05 15,Sertifikat Kedaluwarsa,"15,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,043421331,043421331,smknktg@yahoo.co.id,http,.726500000000,124.292900000000,111,592,"1,150",59,SMK 2013 REV. Multimedia,Sehari Penuh/5 hari,,2022/2023-2,Telkomsel Flash,"15,000",61,2,1,0,44,19,0,48,72,0,24,15,47,64,2,92,17,33,27,14,9,8,6,14,49,62,19,20,20,61,0,0,0,1,0,0,0,0
Sulawesi Utara,Kota Kotamobagu,Kotamobagu Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/15BF3A02-EEB5-48B1-8CF1-FD1D54E5FAB1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40100327,SMKS COKROAMINOTO KOTAMOBAGU,40100327,JL. H.ZAKARIA IMBAN IV,MOLINOW,KEC. KOTAMOBAGU BARAT,KOTA KOTAMOBAGU,PROV. SULAWESI UTARA,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",yayasan pendidikan cokroaminoto bolaang mongondow raya,AM3663,04/T.16/4-87,18-05-1989,04/I16.8/U/87,24-01-1987,Lihat SK Operasional,2023-03-09 05,Sertifikat Kedaluwarsa,"14,000",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,043422191,043422191,smkcokroaminoto@gmail.com,http,.729800000000,124.294100000000,86,"1,258",386,52,SMK 2013 REV. Teknik Pemesinan,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Serat Optik),"44,700",67,1,1,0,28,0,56,19,60,0,17,9,33,53,1,76,9,24,20,11,4,4,12,11,39,47,16,18,18,67,0,0,0,1,0,0,0,0
Sulawesi Utara,Kota Kotamobagu,Kotamobagu Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C7456620-60EC-4507-B72E-3983E065C068,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40104898,SMKS KRISTEN KOTAMOBAGU,40104898,JL. I BANTONG KEL. SININDIAN KEC. KOTAMOBAGU TIMUR,KOTAMOBAGU,KEC. KOTAMOBAGU BARAT,KOTA KOTAMOBAGU,PROV. SULAWESI UTARA,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN KRISTEN - GMIBM,AM3637,420/DPPO-KK/653/XII/2010,06-12-2010,420/DPPO-KK/2653/XII/2010,15-12-2010,Lihat SK Operasional,2020-08-24 10,B,"7,938",1. Telkomsel Flash,2. Telkom Speedy,PLN,,43424462,smkkrktg@ymail.com,http,.740900000000,124.310700000000,29,173,133,17,SMK 2013 REV. Teknik Instalasi Tenaga Listrik,Sehari Penuh/5 hari,,2022/2023-2,Telkomsel Flash,"10,000",17,0,1,0,5,0,9,18,24,0,4,1,6,23,0,26,3,6,9,4,5,1,2,2,14,15,6,5,6,17,0,0,0,1,0,0,0,0
Sulawesi Utara,Kota Kotamobagu,Kotamobagu Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BD4F642A-B358-4FF8-A175-AA527032DFCB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40100346,SMKS MUHAMADIYAH KOTAMOBAGU,40100346,JL. SOEPRAPTO NO. 700 KEL. GOGAGOMAN KEC. KOTAMOBAGU BARAT,GOGAGOMAN,KEC. KOTAMOBAGU BARAT,KOTA KOTAMOBAGU,PROV. SULAWESI UTARA,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Sulawesi Utara,AF5980,812A/I 16.8/2000,22-05-2000,812A/I 16.8/2000,22-05-2000,Silakan Upload SK (link file tidak valid) => [573685-234031--],2022-01-24 00,A,"5,000",1. -,2. Lainnya (Serat Optik),PLN,04342604995,04342604995,smkmuhammadiyah80@gmail.com,http,.744600000000,124.306100000000,19,84,82,14,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"7,500",29,1,2,2,4,0,1,15,15,0,3,1,3,16,0,13,6,13,1,0,2,0,1,2,6,13,5,5,4,18,7,4,0,1,1,0,0,0
