prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Jawa Barat,Kab. Bogor,Cigombong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0D3A97C2-0DBE-4D75-8911-958E5126E353,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280130,MAN 4 Bogor,20280130,Jl. Stasiun Cigombong Kp. Cijambu,CISALADA,KEC. CIGOMBONG,KAB. BOGOR,PROV. JAWA BARAT,NEGERI,MA,Kementerian Agama,Pemerintah Daerah,,,,Keputusan Menteri Agama No 212 Tahun 2015,27-07-2015,Lihat SK Operasional,2019-01-23 09,A,0,,2.,,,,,,-6.737900000000,106.798300000000,0,298,410,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bogor,Cigombong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4F5DC885-F90C-4197-B44E-C91737BA5D49,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280108,MAS AL FURQONIYAH,20280108,Kp.citugu Rt 04/11,CIBURAYUT,KEC. CIGOMBONG,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-6.745383000000,106.784061000000,0,53,99,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bogor,Cigombong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/330C09A3-69F7-4BFA-924A-A2E4B04DF42F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69886185,MAS Al kahfi,69886185,"Desa. Srogol, RT/RW. 013/005 Kecamatan Cigombong Kabupaten Bogor 16740",SROGOL,KEC. CIGOMBONG,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,Lainnya,,0057/0057/IO.MA.007/2014,17-12-2014,7186 tahun 2014,19-12-2014,Lihat SK Operasional,2022-01-21 21,A,0,,2.,,,,,,-6.739420000000,106.808281000000,0,77,75,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bogor,Cigombong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/17D3AE28-D85C-4109-B279-45AD0E485C63,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69976315,MAS AR-RIFA`IAH,69976315,KP. CITIIS RT 02/05,CIBURAYUT,KEC. CIGOMBONG,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,858 TAHUN 2017,09-06-2017,858 TAHUN 2017,09-06-2017,Lihat SK Operasional,2018-05-14 07,B,0,,2.,,,,,,-6.714800000000,106.792800000000,0,137,129,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bogor,Cigombong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ADA48D8A-45C4-4DC6-9D7C-2DA955C2A974,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280135,MAS DAARUL ULUUM LIDO,20280135,Jln. Mayjen HR. Edi Sukma KM. 22 Kp. Muara Rt. 02 Rw. 03,CIBURUY,KEC. CIGOMBONG,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,Wi/I/PP.00.6/703/1999,18-10-1999,Wi/I/PP.00.6/703/1999,18-10-1999,Lihat SK Operasional,2021-01-05 06,A,0,,2.,,,,,,-6.729300000000,106.811900000000,0,385,433,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bogor,Cigombong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5A675A2E-5D28-4986-90EA-D9E694D149C8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69799885,SMA BINA SPORA MANDIRI,69799885,Kp. Pasir Menjul RT 02 RW 01 Desa Pasir Jaya,PASIR JAYA,KEC. CIGOMBONG,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Ion Siti Aminah,AJ6498,421.3/193-Dikmen,12-03-2012,421.3/193-Dikmen,12-03-2012,Lihat SK Operasional,2020-08-30 09,,"2,000",1. -,2. Telkom Speedy,PLN,,,SMA.BSM2020@gmail.com,,-6.729400000000,106.790100000000,8,44,25,3,Sehari Penuh/5 hari,,2022/2023-2,"1,600",3,0,1,0,0,0,1,8,8,0,0,0,0,8,0,0,8,4,1,2,0,0,1,0,3,5,0,3,0,0,0,1,0,0,SMA 2013 MIPA,Tidak Ada,1,1,1,
Jawa Barat,Kab. Bogor,Cigombong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/19D99A79-8872-450E-8E30-148C1DABF01E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70011787,SMA ISLAM AL AZHAR 24,70011787,Jl Raya Palalangon Kampung Pasir Menjul,PASIR JAYA,KEC. CIGOMBONG,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pesantren Islam Al Azhar,AA0708,11/011010b/DP11/011010b/DPMPTSP/IV/2021MPTSP/IV/2021,09-04-2021,14/011030/DPMPTSP/VI/2021,18-06-2021,Lihat SK Operasional,2021-08-04 18,A,"1,576",1. -,2. Lainnya (Serat Optik),PLN & Diesel,,,,,-6.731248800000,106.783203000000,10,64,0,5,Pagi/6 hari,,2022/2023-2,"7,800",3,1,1,1,0,0,10,2,10,0,0,0,0,10,0,8,2,4,3,2,1,0,0,0,7,3,0,3,0,0,0,1,0,0,SMA 2013 IPS,Tidak Ada,2,2,1,
Jawa Barat,Kab. Bogor,Cigombong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1D45E871-479A-452E-B3F3-B0B89B2D2E9A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/NP905022,SMA Nahdlatul Wathan Bogor,NP905022,Kp. Saitem,CIBURAYUT,KEC. CIGOMBONG,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Nahdlatul Wathan Bogor,AJ6533,593/16883-SETDISDIK,26-05-2017,593/16883-SETDISDIK,26-05-2017,Lihat SK Operasional,2020-08-31 15,B,"5,200",1. -,2. Telkom Speedy,PLN,,,smanw2018@gmail.com,http,-6.717824000000,106.778502000000,12,68,39,5,Pagi/6 hari,,2022/2023-2,"3,200",6,1,2,2,0,0,13,2,12,0,0,0,0,12,0,10,2,2,3,6,1,0,0,0,7,5,6,0,0,0,2,0,0,0,SMA 2013 MIPA,Tidak Ada,1,2,2,
Jawa Barat,Kab. Bogor,Cigombong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2E549B70-AA2D-4E2B-8F02-2C81EFAE78A1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20200886,SMAN 1 CIGOMBONG,20200886,JL. MAYJEN H.E SUKMA NO. 297 DS. WATES JAYA,WATES JAYA,KEC. CIGOMBONG,KAB. BOGOR,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,2411/I02.E/1991,26-07-1991,2411/I02.E/1991,26-07-1991,Lihat SK Operasional,2015-04-29 14,A,"12,280",1. Lainnya,2. Telkom Speedy,PLN,02518221241,0251822124,sman1cgm@yahoo.co.id,http,-6.749200000000,106.804100000000,55,477,644,32,Sehari Penuh/5 hari,,2022/2023-2,"469,999",31,3,1,2,21,24,1,9,36,0,8,11,34,21,0,49,6,7,9,8,6,8,7,10,19,36,31,0,0,0,0,0,1,0,SMA 2013 Bhs&Budaya,Lainnya,11,10,11,
Jawa Barat,Kab. Bogor,Cigombong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4E5EF380-2096-4119-974D-3E8C61F4E6B6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20253857,SMAS AL HASANAH,20253857,JL. STASIUN KA CIGOMBONG RT 02/01,CIGOMBONG,KEC. CIGOMBONG,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.3/100 -Disdik,01-01-1901,421.3/100 -Disdik,01-01-1900,Lihat SK Operasional,2020-09-01 07,B,"1,674",,2.,,,,yayasanalhasanah@rocketmail.com,,-6.741400000000,106.803900000000,9,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,8,2,9,0,0,0,0,9,2,6,1,1,4,1,0,2,0,1,5,4,0,0,0,0,0,0,0,0,SMA 2013 IPS,,,,,
