prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_13
Nusa Tenggara Timur,Kota Kupang,Oebobo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E4834B47-64EA-4221-B650-49F6D37CEE18,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69969313,SMA DIAN HARAPAN KUPANG,69969313,JL. R. W. Monginsidi RT 17 RW 5,FATULULI,KEC. OEBOBO,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan Pelita Harapan Tangerang,AL0628,1661/YPPH-LGL/VII/2016,18-07-2016,266/KEP/HK/2016,18-09-2016,Lihat SK Operasional,2019-12-26 09,A,"3,752",1. Telkomsel Flash,2. Lainnya (Wavelan),PLN,,,,http,-10.166322500000,123.612567600000,25,95,139,9,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Telkomsel Flash,"197,000",9,5,2,2,0,0,35,0,25,0,0,0,0,25,0,25,0,23,1,0,1,0,0,0,9,16,3,3,3,9,0,0,0,2,0,0,0,
Nusa Tenggara Timur,Kota Kupang,Oebobo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B276853D-E4BE-4220-B92E-D0C647016958,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304936,SMA KI HAJAR DEWANTORO,50304936,JL. NANGKA,OEBOBO,KEC. OEBOBO,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan St. Thomas Aquinas Kupang,AG0293,80,19-02-1981,DIS.PPO.007/SEK/69/2015,05-10-2015,Lihat SK Operasional,2020-08-29 11,Sertifikat Kedaluwarsa,835,1. Telkomsel Flash,2. -,PLN,,,panierut@yahoo.com,,-10.162480000000,123.597542000000,10,26,15,6,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"2,300",6,1,1,0,0,2,0,8,10,0,0,0,2,8,1,7,2,3,1,2,0,1,1,2,2,8,2,2,2,6,0,0,0,1,0,0,0,
Nusa Tenggara Timur,Kota Kupang,Oebobo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/360CA97C-A75A-4FE5-999A-83E3F60592E7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69896535,SMA Kristen Citra Bangsa Mandiri,69896535,Jl. Manafe No. 17 Kayu Putih,KAYU PUTIH,KEC. OEBOBO,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN CITRA BINA INSAN MANDIRI,AG0222,DIS.PPO.801/SEK/16/2014,20-03-2014,DIS.PPO.801/SEK/16/2014,20-02-2014,Lihat SK Operasional,2020-08-24 19,A,"6,000,000",1. Telkom Speedy,2. Telkom Speedy,PLN,03808553590,,smakristencb@gmail.com,https,-10.162359000000,123.623859000000,43,263,270,16,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Telkom Speedy,"30,000",23,4,1,2,0,0,30,15,43,0,0,0,1,42,0,27,16,23,18,2,0,0,0,0,23,20,6,5,5,23,0,0,0,1,0,0,0,
Nusa Tenggara Timur,Kota Kupang,Oebobo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C94AB6B3-8DD8-446C-8220-E6CFEA4CCE9B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69946086,SMA NEGERI KEBERBAKATAN OLAHRAGA FLOBAMORATA,69946086,"JALAN W. J. LALAMENTIK, STADION OEPOI KUPANG",OEBUFU,KEC. OEBOBO,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,121/KEP/HK/2016,11-05-2016,848/853.1/PK/2016,03-06-2016,Lihat SK Operasional,2016-07-11 13,A,"45,153",1. -,2. Telkom Astinet,PLN,,,smankoflobamorata@gmail.com,,-10.176691000000,123.616340000000,35,127,76,8,SMA 2013 Bhs&Budaya,Pagi/6 hari,,2022/2023-2,Tidak Ada,"3,000",5,3,0,2,9,4,0,22,30,0,5,0,2,33,0,30,5,10,12,6,3,3,0,1,18,17,2,3,3,0,3,2,4,0,0,0,1,
Nusa Tenggara Timur,Kota Kupang,Oebobo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EDDF7C9C-E880-40AD-8FAF-BF7A31E5724E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69988292,SMA STO. ARNOLDUS JANSSEN KUPANG,69988292,"Jln. Bundaran PU, Gang. TDM-4",TUAK DAUN MERAH,KEC. OEBOBO,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN KATOLIK ARYOS,AF9665,848/03/PK/2019,21-02-2019,848/03/PK/2019,21-02-2019,Lihat SK Operasional,2020-03-16 07,A,"100,000",1. Telkom Speedy,2. Telkomsel Flash,PLN,03808441665,03808441665,smasantoarnoldusjanssenkupang@gmail.com,http,-10.168400000000,123.630600000000,21,64,92,8,SMA 2013 Bhs&Budaya,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"13,000",9,0,2,4,0,0,27,1,21,0,0,0,1,20,0,17,4,9,9,2,0,0,0,1,7,14,3,2,3,9,0,0,0,2,0,0,0,
Nusa Tenggara Timur,Kota Kupang,Oebobo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F2692F56-94A4-47EC-8C7E-004A06284E24,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304931,SMAN 1 KUPANG,50304931,JL. CAK DOKO NO. 59,OETETE,KEC. OEBOBO,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,Kemendikbud RI No. 0236/1973,15-11-1950,422/SMAN 1/278/09/2020,07-09-2020,Lihat SK Operasional,2021-08-24 20,A,"11,805",1. Telkom Speedy,2. Telkom Speedy,PLN,0380821684,0380821684,infosman1.kupang@gmail.com,http,-10.164900000000,123.589900000000,97,667,827,42,SMA 2013 MIPA,Double Shift/6 hari,,2022/2023-2,Telkom Speedy,"33,000",14,4,0,12,65,12,0,20,33,0,24,40,60,37,0,88,9,5,16,10,14,8,17,27,32,65,13,15,14,14,0,0,30,0,0,0,1,
Nusa Tenggara Timur,Kota Kupang,Oebobo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/54633A09-E276-4F70-B313-C1D271FCB37F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305119,SMAN 3 KUPANG,50305119,JL. W.J LALAMENTIK - OEPOI,OEBUFU,KEC. OEBOBO,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,TIDAK ADA,09-09-1973,DMPTSP.421.5/19/PTSPlll/2021,15-02-2021,Lihat SK Operasional,2021-04-09 07,B,"40,000",1. Telkom Speedy,2. Telkom Speedy,PLN,0380830283,822034,smantiqkpg@gmail.com,http,-10.172347000000,123.614620000000,84,549,740,36,SMA 2013 Bhs&Budaya,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"72,000",51,3,1,17,62,12,0,10,25,3,25,31,58,26,0,76,8,3,15,4,13,15,16,18,29,55,12,12,12,51,0,0,0,1,0,0,0,
Nusa Tenggara Timur,Kota Kupang,Oebobo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8B1F46DE-683E-4122-9C2B-F64B3D110C49,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304947,SMAN 5 KUPANG,50304947,"Jalan Thamrin 7, Kelurahan Oebufu, Kecamatan Oebobo, Kota Kupang",OEBUFU,KEC. OEBOBO,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0426/0/1997,15-07-1997,DPMPTSP.421.5/05/PTSP/I/2021,08-01-2021,Lihat SK Operasional,2023-03-01 16,A,"18,000",1. Telkomsel Flash,2. Telkom Speedy,PLN,,0380821194,smanegeri5kupang@gmail.com,http,-10.170679000000,123.616164000000,88,611,774,39,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"11,000",34,4,1,16,46,20,0,22,43,0,26,19,41,47,0,80,8,12,18,9,10,16,9,14,32,56,12,15,12,34,0,0,0,0,1,0,0,
Nusa Tenggara Timur,Kota Kupang,Oebobo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4BB5874C-EEA6-4B7A-8D25-9C8B2C7C8F2A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304935,SMAS MUHAMMADIYAH KUPANG,50304935,JL. K.H. AHMAD DAHLAN NO. 17 A,KAYU PUTIH,KEC. OEBOBO,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Nusa Tenggara Timur,AG0268,1041/I.4/F/2003,11-07-2003,17488/I 21.4/Ie.82,08-09-1982,Lihat SK Operasional,2020-08-24 19,Sertifikat Kedaluwarsa,"5,994",1. -,2. Telkom Speedy,PLN,,03808431029,muhammadiyahsma240@gmail.com,,-10.162600000000,123.620800000000,22,77,64,6,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Tidak Ada,"5,000",10,0,1,2,5,0,6,13,17,0,4,1,7,15,0,16,6,4,6,1,4,2,3,2,10,12,2,2,2,10,0,0,0,1,0,0,0,
Nusa Tenggara Timur,Kota Kupang,Oebobo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/282FE261-F394-4E88-879F-A7FC2A814682,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304933,SMAS SEMINARI ST RAFAEL,50304933,JL. THAMRIN NO 15  OEPOI,KAYU PUTIH,KEC. OEBOBO,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN SWASTISARI KEUSKUPAN AGUNG KUPANG,AW8468,60/I-Pend/Yasw-91,25-09-1991,3013/I.21/I/92,04-07-1992,Lihat SK Operasional,2015-09-11 14,Sertifikat Kedaluwarsa,"30,000",1. -,2. Lainnya,PLN,,0380831998,smasstraoepoi@gmail.com,http,-10.169900000000,123.616900000000,19,89,0,7,SMA 2013 IPS,Siang/6 hari,,2022/2023-2,Tidak Ada,"13,000",8,3,1,6,0,0,25,2,19,0,0,0,4,15,0,19,0,6,4,2,2,2,1,2,9,10,1,3,3,0,8,0,2,0,0,1,0,
