prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,akses_internet_sekolah_kita,rombel_tingkat_13
Sumatera Selatan,Kab. Musi Banyuasin,Lalan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E38EC71C-D396-4112-A729-29AA6615C926,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10648927,MAS AL AMIEN,10648927,"DESA KARANG TIRTA, KECAMATAN LALAN, KABUPATEN MUSI BANYUASIN",KARANG AGUNG,KEC. LALAN,KAB. MUSI BANYUASIN,PROV. SUMATERA SELATAN,SWASTA,MA,Kementerian Agama,,,800/516/UPTD-Dikbud/LLn-IX/2016,09-11-2016,800/516/UPTD-Dikbud/LLN-IX/2016,09-11-2016,Silakan Upload SK,,C,0,,2.,,,,,,-2.291619000000,104.525567000000,0,3,7,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Sumatera Selatan,Kab. Musi Banyuasin,Lalan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/91A7BF8D-E56D-4817-8417-8C6F36451361,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70002837,SMA AL- HIDAYAT ISLAMIC BOARDING SCHOOL,70002837,"Desa Madya Mulya Rt.04 Rw.01, Kec Lalan",MADYA MULYA,KEC. LALAN,KAB. MUSI BANYUASIN,PROV. SUMATERA SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PONDOK PESANTREN AL-HIDAYAT MADYA MULYA,AW9667,004/SKEP/YPPAH/IV/2020,20-04-2020,420/4742/SMA.3/Disdik.SS/2020,10-06-2020,Lihat SK Operasional,2020-07-21 08,,"9,889",,2.,,,,,,-2.229548900000,104.376946900000,10,0,0,0,,,2022/2023-2,,0,0,0,0,0,1,1,8,10,0,0,0,0,10,0,3,7,4,5,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,SMA 2013 IPS,,,,,
Sumatera Selatan,Kab. Musi Banyuasin,Lalan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50FFB048-DC44-43C9-AE73-C991CCC3363E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69880556,SMA HIJROTUL MUNAWAROH,69880556,DESA KARANG TIRTA,KARANG TIRTA,KEC. LALAN,KAB. MUSI BANYUASIN,PROV. SUMATERA SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan HIJROTUL MUNAWAROH,AI9969,695 TAHUN 2014,17-11-2014,695 TAHUN 2014,17-11-2014,Lihat SK Operasional,2015-03-16 09,C,"2,500",1. Telkomsel Flash,2. Telkomsel Flash,PLN,082216834692,,ypphijrotulmunawaroh@gmail.com,http,-2.369019000000,104.287777000000,8,20,21,3,Pagi/6 hari,,2022/2023-2,"1,600",3,0,0,2,0,0,6,4,8,0,0,0,0,8,1,4,3,4,2,0,1,0,1,0,4,4,0,3,0,0,0,0,0,0,SMA 2013 IPS,1,1,1,Telkomsel Flash,
Sumatera Selatan,Kab. Musi Banyuasin,Lalan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EA5A85EA-5B9B-4F24-89C0-7F42DDA3E86C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10605587,SMAN 1 LALAN,10605587,DESA. BANDAR AGUNG,BANDAR AGUNG,KEC. LALAN,KAB. MUSI BANYUASIN,PROV. SUMATERA SELATAN,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,Nomor 6 Tahun 2006,09-05-2006,6 TAHUN 2006,09-05-2006,Lihat SK Operasional,2021-09-18 16,A,"15,896",1. Axis,2. Telkomsel Flash,PLN & Diesel,,,smanegeri1lalan@gmail.com,http,-2.289400000000,104.434700000000,22,141,198,10,Pagi/6 hari,,2022/2023-2,900,9,3,1,0,3,7,0,12,20,0,1,1,3,19,0,18,4,6,8,3,3,1,1,0,7,15,3,6,0,5,0,1,0,0,SMA 2013 IPS,3,3,4,Axis,
Sumatera Selatan,Kab. Musi Banyuasin,Lalan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/23EEDEB6-F8B7-4947-9A52-85920648EAE1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10646047,SMAN 2 LALAN,10646047,DESA PURWA  AGUNG,PURWA AGUNG,KEC. LALAN,KAB. MUSI BANYUASIN,PROV. SUMATERA SELATAN,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,Nomor,29-04-2008,Nomor,29-04-2008,Lihat SK Operasional,2022-01-11 09,C,"18,900",1. Telkomsel Flash,2. -,PLN,,,smanegeri2lalan@gmail.com,http,-2.257500000000,103.956700000000,24,123,147,9,Pagi/6 hari,,2022/2023-2,"1,298",9,1,1,0,5,6,0,13,19,0,3,2,2,22,0,23,1,6,7,7,1,1,0,2,13,11,0,9,0,0,0,1,0,0,SMA 2013 MIPA,3,3,3,Telkomsel Flash,
Sumatera Selatan,Kab. Musi Banyuasin,Lalan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2A9CA25E-48BF-43EE-8E26-486441257530,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10605577,SMAS BINA PRATAMA,10605577,DESA KARANG REJO,KARANG REJO,KEC. LALAN,KAB. MUSI BANYUASIN,PROV. SUMATERA SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan Karang Agung Ilir,AJ0009,002/YPKAI/MN/2002,25-04-2002,03.2061/516-Diknas/PL/2002,17-06-2002,Lihat SK Operasional,2020-08-31 13,A,"13,000",1. Telkomsel Flash,2. Telkomsel Flash,Diesel,,,binapratama2020@gmail.com,,-2.403800000000,103.928200000000,22,111,107,7,Pagi/6 hari,,2022/2023-2,"3,000",8,1,1,4,2,5,1,14,20,0,2,0,2,20,1,16,5,8,6,2,4,0,2,0,7,15,0,8,0,0,0,1,0,0,SMA 2013 IPS,2,2,3,Telkomsel Flash,
Sumatera Selatan,Kab. Musi Banyuasin,Lalan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/42682A8D-7FD4-4A31-A61D-5D3BA7245846,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69725564,SMAS IT ASY SYAFIIYYAH,69725564,DESA SARI AGUNG P5,SARI AGUNG,KEC. LALAN,KAB. MUSI BANYUASIN,PROV. SUMATERA SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Ponpes Al Ghozaliyyah Asy Syafi'iyyah,AI9977,,,NO,,Silakan Upload SK,,C,"5,000",1. XL (GSM),2. Telkomsel Flash,PLN & Diesel,,,sma.asy.syafiiyyah@gmail.com,http,-2.168300000000,104.053100000000,10,19,19,3,Pagi/6 hari,,2022/2023-2,900,3,0,1,2,0,2,1,8,10,0,0,0,0,10,0,6,4,2,5,2,1,0,0,0,4,6,3,0,0,0,1,0,0,0,SMA 2013 IPS,1,1,1,XL (GSM),
Sumatera Selatan,Kab. Musi Banyuasin,Lalan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/78A59B53-31E3-499D-80F2-699D0DF9B13A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10605601,SMAS PGRI LALAN,10605601,"Rt 22 dusun IV desa galih sari kecamatan lalan, kab musi banyuasin",GALI SARI,KEC. LALAN,KAB. MUSI BANYUASIN,PROV. SUMATERA SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Perwakilan YPLP PGRI Provinsi Sumatera Selatan,AC0789,800/509/UPTD-Dikbud/LLn-IX/2016,09-11-2016,800/509/UPTD-Dikbud/LLN-IX/2016,09-11-2016,Lihat SK Operasional,2020-10-26 09,B,"4,800",1. -,2. Telkomsel Flash,PLN,,,smapgrikatlalan@gmail.com,,-2.025500000000,103.917500000000,13,32,15,3,Siang/6 hari,,2022/2023-2,900,3,0,0,0,5,0,0,8,9,1,3,0,4,9,0,7,6,2,3,3,0,0,1,4,8,5,0,0,3,0,0,0,0,0,SMA 2013 IPS,1,1,1,Tidak Ada,
Sumatera Selatan,Kab. Musi Banyuasin,Lalan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6B0F991F-62D9-4932-BA6A-71356350EE56,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69953670,SMAS SABIILUN NAJAH,69953670,Jl. Desa Suka Jadi P.6 Karang Agung Tengah Kec. Lalan,KARANG AGUNG,KEC. LALAN,KAB. MUSI BANYUASIN,PROV. SUMATERA SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan SABILUN NAJAH MUSI BANYUASIN,AI9999,548 TAHUN 2016,17-10-2016,548 TAHUN 2016,17-10-2016,Lihat SK Operasional,2021-08-20 10,C,"5,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN & Diesel,,,smasabiilunnajah@gmail.com,http,-2.224721100000,104.567339900000,12,27,71,3,Pagi/6 hari,,2022/2023-2,900,3,0,1,0,0,2,4,7,12,0,0,0,0,12,0,9,3,3,7,2,0,0,0,0,3,9,3,0,0,0,1,0,0,0,SMA 2013 MIPA,1,1,1,Telkomsel Flash,
Sumatera Selatan,Kab. Musi Banyuasin,Lalan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9A48D2D1-421C-471B-8FF3-EF759AC51E48,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10648098,SMKN 1 LALAN,10648098,"SUKAJADI P6, KARANG AGUNG TENGAH KEC. LALAN",SUKAJADI,KEC. LALAN,KAB. MUSI BANYUASIN,PROV. SUMATERA SELATAN,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,800/513/UPTD-Dikbud/LLn-IX/2016,09-11-2016,800/513/UPTD-Dikbud/LLN-IX/2016,09-11-2016,Silakan Upload SK,,B,"30,000",1. Telkomsel Flash,2. Lainnya,PLN & Diesel,,,pintar.uptsmkn9muba@gmail.com,http,-2.157600000000,103.881800000000,25,275,132,14,Pagi/6 hari,,2022/2023-2,900,14,1,1,2,2,12,0,11,23,0,2,0,7,18,0,20,5,7,10,7,0,0,1,0,13,12,7,4,3,0,1,0,0,0,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,4,5,5,Telkomsel Flash,0
