prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_13
Jawa Tengah,Kota Semarang,Semarang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D9E4142C-BB23-4232-B264-4D53F1151C02,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20328938,SMA ADVENT,20328938,JL. MT HARYONO NO. 478,SARIREJO,KEC. SEMARANG TIMUR,KOTA SEMARANG,PROV. JAWA TENGAH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan Advent Semarang,AN0536,1157/I03/D.80,08-09-1980,1157/I03/D.80,08-09-1980,Lihat SK Operasional,2020-08-24 19,B,860 m2,1. -,2. Telkom Speedy,PLN,3513079,3513079,pendidikanadventsemarang@yahoo.com,http,-6.979603500000,110.432180600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kota Semarang,Semarang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/212E46CA-50C8-4D28-BB07-E15338B3FB47,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20331900,SMA INSTITUT INDONESIA,20331900,JL. MALUKU NO. 25,KARANGTEMPEL,KEC. SEMARANG TIMUR,KOTA SEMARANG,PROV. JAWA TENGAH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Institut Indonesia 48 Cabang Semarang,AN0555,642.2/117/2008,24-01-2008,004/C.3/PIAGE/70,01-06-1970,Lihat SK Operasional,2015-05-12 10,A,"5,568",1. Lainnya,2. Telkom Speedy,PLN & Diesel,,0248318433,smainstindo_48smg@yahoo.co.id,https,-6.992273300000,110.436858700000,35,276,276,19,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,"55,000",26,4,1,2,0,1,34,8,35,0,0,0,17,18,0,27,8,5,4,8,5,2,6,5,17,18,6,6,7,26,0,0,0,1,0,0,0,
Jawa Tengah,Kota Semarang,Semarang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/74843DA1-174E-4985-8852-EA1E1089335B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20328925,SMA KRISTEN YSKI,20328925,JL. SIDODADI TIMUR NO. 23,KARANGTEMPEL,KEC. SEMARANG TIMUR,KOTA SEMARANG,PROV. JAWA TENGAH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Sekolah Kristen Indonesia,AN0553,IDSMA/5405/E.1/66,27-12-1966,AHU-0007144.AH.01.04.TAHUN2015,18-05-2015,Lihat SK Operasional,2020-08-24 19,A,"4,900",1. Lainnya,2. Biznet (Kabel),PLN,0248414320,0248414377,smak@yski.or.id,http,-6.989900000000,110.435800000000,22,213,213,15,SMA 2013 Bhs&Budaya,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,"82,500",21,3,1,30,0,0,27,2,22,0,0,0,9,13,1,19,2,3,5,3,1,4,2,4,9,13,5,5,5,21,0,0,0,1,0,0,0,
Jawa Tengah,Kota Semarang,Semarang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/140038F8-1B43-4458-891F-A1EDEABB2A3E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20328931,SMA PANCASILA,20328931,JL. BRIGJEND KATAMSO NO. 24,KARANGTEMPEL,KEC. SEMARANG TIMUR,KOTA SEMARANG,PROV. JAWA TENGAH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan Pancasila Pusat Semarang,AN0562,1214/I.03/I/83,07-06-1983,C 30 05 40,07-06-1983,Lihat SK Operasional,2020-08-24 18,C,"4,300",1. Smartfren,2. Lainnya (Kabel),PLN,,0248419405,smapancasilasemarang@yahoo.com,,-6.994756300000,110.435228800000,6,10,3,3,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Smartfren,"2,200",3,1,1,2,0,0,5,3,6,0,0,0,3,3,0,6,0,0,2,1,1,0,1,1,1,5,1,1,1,0,3,0,0,0,1,0,0,
Jawa Tengah,Kota Semarang,Semarang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/561EEF6E-A782-42B4-B934-D0ACC2C4A145,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20328966,SMK DR TJIPTO,20328966,Jl. Kridanggo No. 1,REJOSARI,KEC. SEMARANG TIMUR,KOTA SEMARANG,PROV. JAWA TENGAH,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Dr. Tjipto Semarang,AE1678,287/I02/Kep/95,04-11-1985,C30014301,25-05-2012,Silakan Upload SK (link file tidak valid) => [344799-571855--],2020-08-27 15,B,"47,970",1. -,2. Lainnya (Serat Optik),PLN,0243566100,0243542040,smktjipto_smg@yahoo.com,http,-6.983200000000,110.440200000000,21,403,4,17,SMK 2013 REV. Teknik dan Bisnis Sepeda Motor,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"23,000",12,1,1,2,0,0,17,10,19,0,0,2,13,8,1,18,2,0,2,2,1,4,1,11,11,10,5,6,6,0,12,0,0,1,0,0,0,0
Jawa Tengah,Kota Semarang,Semarang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BB5CBBE9-35F1-470E-99BC-217E227CA6CA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20328948,SMK NEGERI 01,20328948,Jl. Dr. Cipto No. 93,SARIREJO,KEC. SEMARANG TIMUR,KOTA SEMARANG,PROV. JAWA TENGAH,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1900,,,Silakan Upload SK,,A,"17,400",1. -,2. Lainnya (Serat Optik),PLN,0243587193,0243545601,smkn01kotasemarang@gmail.com,http,-6.980400000000,110.434700000000,101,"1,250",438,49,SMK 2013 REV. Teknik Otomasi Industri,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"22,000",32,1,1,8,69,20,0,12,44,0,40,17,75,26,0,82,19,11,12,16,12,13,17,20,57,44,16,16,16,32,0,0,0,1,0,0,0,1
Jawa Tengah,Kota Semarang,Semarang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/189C6AFB-2EF1-44AD-8111-344D71049993,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20328970,SMK NEGERI 02,20328970,JL. DR. CIPTO NO. 121 A,KARANGTURI,KEC. SEMARANG TIMUR,KOTA SEMARANG,PROV. JAWA TENGAH,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,2881/B.3/Kej,28-06-1931,127/I03/D/94,26-01-1994,Lihat SK Operasional,2022-03-20 01,A,"9,651",1. Lainnya (Serat Optik),2. Lainnya (Kabel),PLN,0248455757,0248455757,smeansa_smg@yahoo.co.id,http,-6.986200000000,110.434100000000,58,81,"1,205",36,SMK 2013 REV.  Bisnis Daring dan Pemasaran,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Serat Optik),"130,000",31,1,1,2,43,11,0,4,17,0,27,14,49,9,0,58,0,4,6,4,4,10,14,16,19,39,12,12,12,0,31,0,0,0,1,0,0,0
Jawa Tengah,Kota Semarang,Semarang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20200547-5DB3-46D3-884B-E4E697F65FED,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20328944,SMK NEGERI 05,20328944,Jl. Dr. Cipto No. 121,KARANGTURI,KEC. SEMARANG TIMUR,KOTA SEMARANG,PROV. JAWA TENGAH,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,85/DIRPTB/B.I,03-08-1965,18,29-07-1965,Lihat SK Operasional,2021-08-22 12,B,"1,061",1. Lainnya (Serat Optik),2. Telkom Speedy,PLN,0248447476,0248416335,info@smkn5smg.sch.id,http,-6.986900000000,110.433900000000,69,847,512,39,SMK 2013 REV. Teknik Instalasi Tenaga Listrik,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Serat Optik),15,32,2,1,6,43,13,0,13,26,0,33,10,46,23,0,61,8,2,6,9,16,9,10,17,37,32,13,13,13,30,1,1,0,1,0,0,0,0
Jawa Tengah,Kota Semarang,Semarang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EB0B06DB-6F9B-4832-9E31-7276A48F50AD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20328981,SMK NEGERI 06,20328981,Jl. Sidodadi Barat No. 8,KARANGTURI,KEC. SEMARANG TIMUR,KOTA SEMARANG,PROV. JAWA TENGAH,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0190/0/1972,07-03-1972,036/O/1997,07-03-1997,Lihat SK Operasional,2019-09-23 13,A,"60,900",1. Lainnya (Serat Optik),2. Biznet (Serat Optik),PLN,8317572,8312438,smkn6smg@yahoo.com,http,-6.989100000000,110.433400000000,63,94,"1,285",39,SMK 2013 REV.  Tata Kecantikan Kulit dan Rambut,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Serat Optik),"112,000",23,1,1,4,40,16,0,7,24,0,16,23,41,22,0,58,5,6,11,5,1,8,9,23,15,48,13,13,13,22,1,0,0,1,0,0,0,0
Jawa Tengah,Kota Semarang,Semarang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2AC141A3-CD96-4451-9634-8A07EC2BDBF3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20328985,SMK SWADAYA,20328985,Jl. Taman Progo No. 13,MLATIBARU,KEC. SEMARANG TIMUR,KOTA SEMARANG,PROV. JAWA TENGAH,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Karya Abadi Sejati,AN0564,KPPE/015/CIV/III/B/72,01-01-1972,421.3/03963,12-03-2021,Lihat SK Operasional,2021-09-04 05,B,"2,355",1. Lainnya (Kabel),2. Lainnya (Kabel),PLN,0243553175,0243553175,smk.swadayasemarang@yahoo.com,http,-6.968900000000,110.436300000000,26,123,240,13,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Kabel),"56,100",13,0,1,4,0,0,18,10,26,0,0,0,9,17,1,21,4,10,5,4,1,4,1,1,12,14,5,4,4,13,0,0,0,1,0,0,0,0
