prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,program_/_layanan,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_13
Maluku Utara,Kota Tidore Kepulauan,Oba Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7736CCA9-0D2F-4B20-84AC-8414FDE40B2C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69977228,MA RISALATUL HUDA SOFIFI,69977228,JL. SISWA NO. 01,BUKIT DURIAN,KEC. OBA UTARA,KOTA TIDORE KEPULAUAN,PROV. MALUKU UTARA,SWASTA,MA,Kementerian Agama,,,159 tahun 2016,08-08-2016,159 tahun 2016,08-08-2016,Silakan Upload SK (link file tidak valid) => [-],2018-05-25 16,C,0 m2,1.,2.,,,,,,.724800000000,127.576600000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maluku Utara,Kota Tidore Kepulauan,Oba Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/88D3FD87-3D72-4513-A8EF-1CB897A474BD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60728955,MAS ALKHAIRAAT GURAPING,60728955,JL. RAYA GURAPING,GURAPING,KEC. OBA UTARA,KOTA TIDORE KEPULAUAN,PROV. MALUKU UTARA,SWASTA,MA,Kementerian Agama,,,17 Tahun 2018,13-03-2018,17 Tahun 2018,13-03-2018,Lihat SK Operasional,2021-09-14 01,B,1.132 m2,1.,2.,,,,,,.676700000000,127.436000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maluku Utara,Kota Tidore Kepulauan,Oba Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8040E2BE-22F8-480D-BFCB-30F6E9F49F65,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69759268,SLB CENTRA PKLK NEGERI SOFIFI,69759268,JL. LINGKAR II RABADOFA,GURAPING,KEC. OBA UTARA,KOTA TIDORE KEPULAUAN,PROV. MALUKU UTARA,NEGERI,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,503/86/IMB/2010,01-01-1900,WALIKOTA NO.420/02/2013,11-03-2013,Lihat SK Operasional,2020-11-11 13,B,30.000 m2,1. -,2. Telkomsel Flash,PLN,,,slbcentrapklksofifi@gmail.com,,.751600000000,127.589800000000,"SDLB, SMPLB,  dan SMLB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maluku Utara,Kota Tidore Kepulauan,Oba Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BA28A792-FBDC-49E9-86F9-3879FE60AFDF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69988131,SMA NEGERI KHUSUS OLAHRAGA  (SMANKOR) MALUKU UTARA,69988131,Jln. Patriot Olahraga RT. 004/RW. 02,SOMAHODE,KEC. OBA UTARA,KOTA TIDORE KEPULAUAN,PROV. MALUKU UTARA,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421.1/33/KPTS/MU/2019,04-03-2019,421.1/33/KPTS/MU/2019,04-03-2019,Lihat SK Operasional,2019-06-19 01,B,40.000 m2,1. -,2. Telkom Speedy,PLN,,,smakormalut@gmail.com,,.710658300000,127.560016700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maluku Utara,Kota Tidore Kepulauan,Oba Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F9F6A785-D8ED-49AE-98E6-656D96B48A7C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69963723,SMA S AL-KHAZANAH,69963723,Jln. Lintas Halmahera Sofifi- Weda,KUSU,KEC. OBA UTARA,KOTA TIDORE KEPULAUAN,PROV. MALUKU UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN AL-KHAZANAH,AC9389,421/06/37/2016,31-05-2016,421/06/37/2016,31-05-2016,Lihat SK Operasional,2017-06-13 13,C,"10,000",1. -,2. -,PLN,,,smaalkhazanah18@gmail.com,,.690790000000,127.553845000000,,11,22,6,3,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",4,0,1,0,0,0,7,6,11,0,0,0,1,10,0,8,3,7,4,0,0,0,0,0,3,8,1,1,1,1,1,2,0,1,0,0,0,
Maluku Utara,Kota Tidore Kepulauan,Oba Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/28D1DCE9-DF75-4171-8B2F-6A02AB545226,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60203598,SMAN 11 TIDORE KEPULAUAN,60203598,JL. RAYA KAIYASA,KAIYASA,KEC. OBA UTARA,KOTA TIDORE KEPULAUAN,PROV. MALUKU UTARA,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421/087.011/DPPO-SEK/IV/2016,29-04-2016,421/087.011/DPPO-SEK/IV/2016,29-04-2016,Lihat SK Operasional,2019-09-23 13,B,5.400 m2,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,smansebtikep@yahoo.co.id,,.778000000000,127.619700000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maluku Utara,Kota Tidore Kepulauan,Oba Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D1F3AE2A-B5D3-4A21-871F-87E0476021C6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60202073,SMAN 5 TIDORE KEPULAUAN,60202073,JL. SISWA 2 SOFIFI,SOFIFI,KEC. OBA UTARA,KOTA TIDORE KEPULAUAN,PROV. MALUKU UTARA,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,50.5 TAHUN 2004,19-08-2004,421/087.005/DPPO-SEK/IV/2016,29-04-2016,Lihat SK Operasional,2016-08-09 08,A,"23,005",1. Telkomsel Flash,2. Telkom Astinet,PLN,0,,smanlimatikep@yahoo.com,,.738721700000,127.561935000000,,41,189,252,14,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"4,400",14,2,1,4,26,4,0,11,20,0,19,2,12,29,0,37,4,8,14,7,9,2,1,0,10,31,5,5,4,8,1,5,0,0,0,1,0,
Maluku Utara,Kota Tidore Kepulauan,Oba Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6142B4AD-D231-4EA3-8C04-07EA65DBD9FF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60202075,SMAN 8 TIDORE KEPULAUAN,60202075,JL. RAYA AKEKOLANO,AKEKOLANO,KEC. OBA UTARA,KOTA TIDORE KEPULAUAN,PROV. MALUKU UTARA,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,,,,Silakan Upload SK,,B,"8,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,0000,,sman8tidorekepulauan@gmail.com,,.706925000000,127.566183300000,,25,117,87,10,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"5,000",12,3,2,4,17,2,1,5,9,0,15,1,9,16,0,19,6,3,5,6,8,3,0,0,11,14,3,4,3,12,0,0,0,2,0,0,0,
Maluku Utara,Kota Tidore Kepulauan,Oba Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5407090C-8D6A-4DD2-8193-204A92E73407,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70039886,SMAS AL IZZAH,70039886,Jln Lintas Halmahera,KUSU,KEC. OBA UTARA,KOTA TIDORE KEPULAUAN,PROV. MALUKU UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,003/YHMU-YK/XI/2022,10-11-2022,502/8/DPMPTSP/Ops-DIK/XII/2022,14-12-2022,Lihat SK Operasional,2023-06-01 21,,"5,000",1. -,2. -,PLN,,,,,.000000000000,.000000000000,,2,2,21,2,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",3,0,0,0,0,0,1,1,2,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,1,1,1,1,0,3,0,0,0,0,0,0,0,
Maluku Utara,Kota Tidore Kepulauan,Oba Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EE246669-6DE0-437A-9989-E0410CB0C5C4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60202363,SMAS SITI AISYAH BUKULASA,60202363,Jl. Lintas Halmahera,BUKIT DURIAN,KEC. OBA UTARA,KOTA TIDORE KEPULAUAN,PROV. MALUKU UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN SITI AISYAH SOFIFI,AW8176,421/087.018/DPPO-SEK/IV/2016,29-04-2016,421/087.018/DPPO-SEK/IV/2016,29-04-2016,Lihat SK Operasional,2020-07-16 13,B,"1,440",1. -,2. Lainnya,PLN,,,smasabukulasa@gmail.com,,.729896700000,127.575578300000,,12,21,13,3,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Tidak Ada,"5,500",6,2,3,0,4,0,6,4,8,0,4,0,2,10,0,8,4,1,5,3,3,0,0,0,2,10,1,1,1,0,2,4,1,3,0,0,0,
