prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Sulawesi Selatan,Kota Makassar,Rappocini,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6021936B-BFB5-4F10-9D6C-25628580AB61,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40320479,MAN 1 KOTA MAKASSAR,40320479,JL. TALASALAPANG NO.46,GUNUNG SARI,KEC. RAPPOCINI,KOTA MAKASSAR,PROV. SULAWESI SELATAN,NEGERI,MA,Kementerian Agama,Pemerintah Daerah,,877 tahun2016,27-09-2016,877 tahun 2016,27-09-2016,Lihat SK Operasional,2019-03-20 12,A,0,,2.,,,,,,-5.182900000000,119.445200000000,0,531,641,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kota Makassar,Rappocini,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/509C7262-F4D9-463B-A99D-2459E460BC9F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40320484,MAN 2 KOTA MAKASSAR,40320484,JL. SULTAN ALAUDDIN NO.105 Kode Pos 90221,GUNUNG SARI,KEC. RAPPOCINI,KOTA MAKASSAR,PROV. SULAWESI SELATAN,NEGERI,MA,Kementerian Agama,Pemerintah Daerah,,870 TAHUN 2016,30-12-2016,870 TAHUN 2016,30-12-2016,Lihat SK Operasional,2021-01-14 11,A,0,,2.,,,,,,-5.173100000000,119.431200000000,0,616,839,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kota Makassar,Rappocini,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/34611D2D-F625-4F2E-9DD2-5E11732ACDFF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69883427,SMA ISLAM AL-AZHAR 12 MAKASSAR,69883427,"Jl. Aroepala, Hertasning Baru Makassar",GUNUNG SARI,KEC. RAPPOCINI,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Sinergi Insan Unggul,AH7026,421.3/8315/DPK/XII/2014,17-12-2014,9/K.02.a/PTSP/2020,17-12-2014,Lihat SK Operasional,2020-10-21 13,A,"3,600",1. Smartfren,2. Telkom Speedy,PLN,0411864388,0411869994,sma.alazhar12@gmail.com,http,-5.179900000000,119.443700000000,19,50,49,5,Sehari Penuh/5 hari,,2022/2023-2,"100,000",7,3,1,4,0,1,18,2,19,0,0,0,4,15,0,17,2,5,6,5,2,1,0,0,10,9,0,7,0,0,0,1,0,0,SMA 2013 IPS,Smartfren,1,2,2,
Sulawesi Selatan,Kota Makassar,Rappocini,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60425976-61DA-40A5-9DC4-98BEDA0D256E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40310217,SMA MUHAMMADIYAH 1 UNISMUH  MAKASSAR,40310217,JL. SULTAN ALAUDDIN NO.259,GUNUNG SARI,KEC. RAPPOCINI,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan BPH Unismuh Makassar,AH7011,981/11/037/Sw.S-58/1978,22-02-1978,33/K.02a/PTSP/2021,10-05-2021,Lihat SK Operasional,2022-09-21 10,A,"1,305",1. Smartfren,2. Lainnya (Wavelan),PLN,,8221550,smichi703@gmail.com,http,-5.181900000000,119.441500000000,24,56,68,6,Pagi/6 hari,,2022/2023-2,"15,000",6,5,1,2,1,1,21,5,23,0,1,0,4,20,0,19,5,12,7,2,2,1,0,0,9,15,6,0,0,0,0,1,0,0,SMA 2013 IPS,Smartfren,2,2,2,
Sulawesi Selatan,Kota Makassar,Rappocini,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8855ABC8-31D3-4DCC-BC4C-BD39EBEDDD79,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40307361,SMA NUR KARYA TIDUNG,40307361,JL. LETJEN HERTASNING NO. 106,BONTO MAKKIO,KEC. RAPPOCINI,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan Nurkarya Tidung,AH6991,NO.051/Kep/I06/PM.011.85,23-02-1985,NO.051/Kep/I06/PM.011.85,23-02-1985,Silakan Upload SK (link file tidak valid) => [514753-293482--],2021-09-09 10,C,"1,125",1. Telkom Speedy,2. Telkom Speedy,PLN,,880359,smanurkaryatidung@gmail.com,,-5.143600000000,119.417300000000,14,35,26,3,Sehari Penuh/5 hari,,2022/2023-2,"5,500",5,1,1,1,0,2,12,2,14,0,0,0,2,12,1,9,4,3,1,3,2,2,2,1,3,11,0,5,0,0,0,1,0,0,SMA 2013 MIPA,Telkom Speedy,1,1,1,
Sulawesi Selatan,Kota Makassar,Rappocini,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/23FA91FE-2962-4D18-B0AB-AF783C450D5A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40307352,SMA RAIDERS,40307352,JL.Kelapa Tiga Gang 2,BALLAPARANG,KEC. RAPPOCINI,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN RAIDERS HASANUDDIN,AC5999,075/Kep/I06/D/87,21-04-1987,22/K.02a/PTSP/2021,22-02-2021,Lihat SK Operasional,2021-03-26 16,C,264,1. -,2. Telkom Speedy,PLN,,4671769,yprh.raidershasanuddin@gmail.com,,-5.146000000000,119.434800000000,7,21,7,3,Pagi/6 hari,,2022/2023-2,900,3,2,1,2,1,2,5,1,5,0,1,1,5,2,0,3,4,2,0,0,1,0,2,2,3,4,0,3,0,0,0,1,0,0,SMA 2013 MIPA,Tidak Ada,1,1,1,
Sulawesi Selatan,Kota Makassar,Rappocini,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CF77C7F6-C615-435B-A0E2-41879D5CE28E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40311896,SMAN 9 MAKASSAR,40311896,JL.KARUNRUNG RAYA NO.37,KARUNRUNG,KEC. RAPPOCINI,KOTA MAKASSAR,PROV. SULAWESI SELATAN,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0371/0/1978,22-12-1978,0601/0/11985,22-11-1985,Lihat SK Operasional,2015-11-16 14,A,"20,000",1. -,2. Telkom Speedy,PLN,,0411882109,sekolah.sman9makassar@gmail.com,http,-5.179300000000,119.452100000000,69,529,671,34,Sehari Penuh/5 hari,,2022/2023-2,"15,000",35,4,1,10,37,13,0,19,32,1,18,18,39,30,0,64,5,14,13,5,6,5,12,14,24,45,28,5,2,0,1,0,0,0,SMA 2013 IPS,Tidak Ada,12,12,10,
Sulawesi Selatan,Kota Makassar,Rappocini,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E27455FC-A14B-4499-A627-C94A366391B5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40310209,SMAS ADDARAEN,40310209,JL. SULTAN ALAUDDIN NO. 305 A,GUNUNG SARI,KEC. RAPPOCINI,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan ADDARAEN,AH7021,191/KEP/I06/HK/2000,03-10-2000,191/KEP/I06/HK/2000,03-10-2000,Lihat SK Operasional,2020-08-31 04,Tidak Terakreditasi,400,1. -,2. Lainnya,PLN,,881505,aldyhidayah10@gmail.com,,-5.187400000000,119.442000000000,9,43,2,3,Sehari Penuh/6 hari,,2022/2023-2,"14,000",3,1,1,1,3,1,5,1,6,0,2,1,2,7,0,9,0,1,3,2,1,1,0,1,8,1,0,3,0,0,0,1,0,0,SMA 2013 MIPA,Tidak Ada,1,1,1,
Sulawesi Selatan,Kota Makassar,Rappocini,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/168E9CFA-B444-4A3D-958F-D7C6492056CD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40312651,SMAS GUNUNG SARI,40312651,JL. SULTAN ALAUDDIN NO. 293,GUNUNG SARI,KEC. RAPPOCINI,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN GUNUNG SARI MAKASSAR,AH6999,223/Kep/106/H/88,01-01-1900,421.3/2765/DPK/VIII/2015,01-01-1900,Silakan Upload SK (link file tidak valid) => [346166-323223--],2020-08-27 15,B,912,1. Smartfren,2. Telkom Speedy,PLN,884836,884835,info@sma-gunungsari.com,http,-5.182600000000,119.441600000000,15,9,7,2,Sehari Penuh/5 hari,,2022/2023-2,"1,300",8,3,2,2,5,2,6,4,10,0,1,4,8,7,0,12,3,1,2,0,2,2,3,5,6,9,8,0,0,0,2,0,0,0,SMA 2013 MIPA,Smartfren,0,1,1,
Sulawesi Selatan,Kota Makassar,Rappocini,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/762F35BC-93A8-4249-8563-16FF042021EC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69823911,SMAS ISLAM TERPADU AL BIRUNI MANDIRI,69823911,JL. JIPANG RAYA NO. 11,KARUNRUNG,KEC. RAPPOCINI,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Al Biruni Mandiri,AF7378,No.004,11-07-2003,44/K.02a/PTSP/2021,06-02-2014,Silakan Upload SK (link file tidak valid) => [760196-389415--],2023-01-19 15,B,891,1. -,2. Telkom Speedy,PLN,,04118205500,smaitalbiruni@gmail.com,http,-5.179000000000,119.450500000000,9,43,29,6,Sehari Penuh/5 hari,,2022/2023-2,"4,500",6,1,1,5,0,0,11,0,9,0,0,0,0,9,0,9,0,2,4,2,1,0,0,0,5,4,6,0,0,0,1,0,0,0,SMA 2013 IPS,Tidak Ada,2,2,2,
Sulawesi Selatan,Kota Makassar,Rappocini,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/305DC0D5-7F08-48BB-8CE2-C0D269E26308,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313258,SMAS MUHAMMADIYAH 9 MAKASSAR,40313258,JL. BORA DG. NGIRATE NO 22,BONTO MAKKIO,KEC. RAPPOCINI,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Sulawesi Selatan,AO5362,0749/III.A/1 d/2000,03-05-2000,421.3/6629/S.KEP/DPK/XI/2016,03-11-2016,Silakan Upload SK (link file tidak valid) => [514754-441362--],2021-09-09 10,B,"2,408",1. -,2. Lainnya (Serat Optik),PLN,,889114,smamuh9.mks@gmail.com,http,-5.167900000000,119.444600000000,13,98,46,5,Pagi/6 hari,,2022/2023-2,"3,500",10,1,1,2,2,0,11,1,11,0,2,0,3,10,1,11,1,5,1,0,2,4,0,1,6,7,0,7,3,0,0,0,1,0,SMA 2013 MIPA,Tidak Ada,2,2,1,
Sulawesi Selatan,Kota Makassar,Rappocini,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/281F3BD3-17AF-4EDD-9227-A049EF57DC5B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313197,SMAS NAHDIYAT MAKASSAR,40313197,JL. RAPPOCINI RAYA LR. 9 D NO.16,BUAKANA,KEC. RAPPOCINI,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN NAHDIYAT,AH7028,008,20-02-1974,421.3/7304/S.KEP/DPK/XI/2016,24-11-2016,Lihat SK Operasional,2020-08-24 19,B,"2,204",1. -,2. Telkom Speedy,PLN,0411885424,,smanahdiyat.40313197@gmail.com,http,-5.181900000000,119.445100000000,16,63,37,6,Pagi/6 hari,,2022/2023-2,"1,300",6,2,1,2,0,0,21,0,16,0,0,0,10,6,0,13,3,5,2,0,2,1,2,4,5,11,6,0,0,0,1,0,0,0,SMA 2013 MIPA,Tidak Ada,2,2,2,
Sulawesi Selatan,Kota Makassar,Rappocini,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6105A935-B4F4-4947-9183-0115B77B2415,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313228,SMAS PGRI 2 TAMALATE MAKASSAR,40313228,JL. MONUMEN EMMY SAELAN III,KARUNRUNG,KEC. RAPPOCINI,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan PEMBINA LEMBAGA PENDIDIKAN,AO3802,421.2/027/DP/V/2012,09-05-2012,421.2/027/DP/V/2012,09-05-2012,Silakan Upload SK,,B,"8,500",1. XL (GSM),2. Telkom Speedy,PLN,,0411862476,smapgri2tamalate@yahoo.co.id,,-5.175200000000,119.444600000000,14,74,52,6,Siang/6 hari,,2022/2023-2,"2,200",7,1,2,2,5,2,5,4,9,0,3,2,7,7,0,14,0,1,5,0,1,2,2,3,5,9,7,0,0,0,2,0,0,0,SMA 2013 MIPA,XL (GSM),2,2,2,
Sulawesi Selatan,Kota Makassar,Rappocini,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/370D48F2-0F59-47FA-9C61-47E93CA0F2E2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313916,SMAS TAMAN SISWA TAMALATE,40313916,JL. SULTAN ALAUDDIN NO. 42,GUNUNG SARI,KEC. RAPPOCINI,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,C-604.HT.03.01-Th.2001,30-11-2001,421.3/5067/DPK/XI/2015,06-11-2015,Silakan Upload SK,,C,"1,500",,2.,,,,tamansiswasmamks@gmail.com,,-5.168500000000,119.427200000000,8,0,0,0,,,2022/2023-2,,0,0,0,0,3,1,8,1,5,0,0,3,6,2,0,7,1,0,1,1,0,1,0,5,3,5,0,0,0,0,0,0,0,0,SMA 2013 MIPA,,,,,
Sulawesi Selatan,Kota Makassar,Rappocini,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7C20091E-FF31-4EC1-8087-1ABC3E757C2B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40312652,SMAS TRI BAKTI KARSA,40312652,JL. SYECK YUSUF NO. 63,GUNUNG SARI,KEC. RAPPOCINI,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan Tri Bhakti Karsa,AH6982,081.B/Kep/106/PH.011.85,01-08-1984,421.2/1665/DP/III/2014,26-03-2014,Silakan Upload SK (link file tidak valid) => [343942-486873--],2020-08-27 10,C,"12,500",1. XL (GSM),2. Smartfren,PLN,,0411883086,smatribhaktikarsa63@gmail.com,,-5.189700000000,119.449900000000,7,18,21,3,Pagi/6 hari,,2022/2023-2,"1,300",3,1,0,0,1,1,8,0,6,0,1,0,2,5,0,6,1,0,0,1,3,1,1,1,1,6,0,0,3,0,0,0,0,1,SMA 2013 IPS,XL (GSM),1,1,1,
