prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_13
Jawa Barat,Kota Bekasi,Pondok Melati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6B1A0119-B7E9-44DD-95EB-3D2217DB7B13,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20275048,SMAN 16 BEKASI,20275048,"Jl Arteri Toll Jorr Jatimelati , PONDOK MELATI",JATIMELATI,KEC. PONDOK MELATI,KOTA BEKASI,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421/Kep.695-Disdik/XII/2010,31-12-2010,421/Kep.695-Disdik/XII/2010,01-07-2010,Lihat SK Operasional,2015-09-01 00,A,"5,670",1. Telkom Speedy,2. Telkom Speedy,PLN,,84306875,sman16_bks@yahoo.co.id,http,-6.310700000000,106.931600000000,48,425,542,27,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Telkom Speedy,"114,000",28,4,1,10,19,12,0,17,30,0,12,6,20,28,0,42,6,7,9,8,7,6,5,6,18,30,9,9,9,0,0,28,0,0,0,1,0,
Jawa Barat,Kota Bekasi,Pondok Melati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AE749D3D-6C8E-45F6-AD1E-5B8E7BF00E09,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223053,SMAS HANDAYANI,20223053,"Jl. Raya Hankam, Pondok Melati Kota Bekasi",JATIMURNI,KEC. PONDOK MELATI,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Handayani Pondok Melati,AA5358,1273/I02/Kep/E.88,06-04-1988,1262/I02/07/R.87,10-12-1987,Lihat SK Operasional,2023-02-15 15,C,0,1. Indosat IM3,2. Telkom Speedy,PLN,,8447419,smahandayani@gmail.com,,-6.341900000000,106.923300000000,6,44,45,3,SMA 2013 IPS,Siang/6 hari,,2022/2023-2,Indosat IM3,"1,300",6,1,1,0,1,1,1,3,5,0,0,1,2,4,0,6,0,0,0,0,2,2,0,2,3,3,1,1,1,0,6,0,0,0,1,0,0,
Jawa Barat,Kota Bekasi,Pondok Melati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7D9CDB1C-063D-41F1-8925-9C245DDB4161,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223052,SMAS HUTAMA,20223052,JL. RAYA HANKAM NO.68,JATIRAHAYU,KEC. PONDOK MELATI,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan 1988 (YP'88),AG6529,421.3/566/Kesra,27-02-1989,Nomor,06-03-1989,Lihat SK Operasional,2020-08-26 18,A,"1,715",1. Telkom Speedy,2. Lainnya (Serat Optik),PLN,8475461,8475461,hutamasma@yahoo.com,http,-6.289158000000,106.915626000000,32,315,387,20,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Telkom Speedy,"23,000",22,1,1,2,1,0,36,2,31,0,0,1,18,14,0,21,11,13,0,2,2,4,7,4,12,20,7,7,6,22,0,0,0,1,0,0,0,
Jawa Barat,Kota Bekasi,Pondok Melati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/72DF415F-3C33-408B-8551-53EA4A8769AF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20231717,SMAS NASIONAL 1,20231717,JL. RAYA HANKAM BOJONG NANGKA II NO. 38,JATIRAHAYU,KEC. PONDOK MELATI,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN BINA KARYA PANCASILA,AG6519,222/I02.1/KEP/OT/1999,10-03-1999,425.11/06-DIK.2,04-05-2015,Lihat SK Operasional,2015-09-11 09,A,"23,400",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,84995385,8463229,smanasional_1@yahoo.co.id,http,-6.295200000000,106.918400000000,19,78,73,6,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Serat Optik),"197,000",6,5,1,2,1,0,20,2,18,0,1,0,11,8,0,19,0,3,2,2,5,2,2,3,9,10,2,2,2,6,0,0,0,1,0,0,0,
Jawa Barat,Kota Bekasi,Pondok Melati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1C48AA19-897E-4DE6-B756-FC41B70040D8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223068,SMAS PANGUDI LUHUR II,20223068,"JL. RAYA KP. SAWAH, PABUARAN, JATIMURNI, PONDOK MELATI, KOTA BEKASI",JATIMURNI,KEC. PONDOK MELATI,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pangudi Luhur,AK0453,2388/IO2.1/Kep/OT/2000,18-09-2000,800/201/CADISDIK.WIL-III/2019,22-10-2019,Silakan Upload SK (link file tidak valid) => [759865-26150--],2023-01-19 14,A,"8,380",1. Lainnya (Satelit),2. Lainnya (Serat Optik),PLN,02184593325,02184593325,smapl2servasius@gmail.com,http,-6.310300000000,106.931700000000,38,372,327,22,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Satelit),"9,000",41,5,1,8,0,0,39,10,38,0,0,0,19,19,1,32,5,12,3,4,5,8,5,1,15,23,7,8,7,41,0,0,0,1,0,0,0,
Jawa Barat,Kota Bekasi,Pondok Melati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8CC52A75-3E9A-4F4C-B64D-9B8A489C24CB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223047,SMAS SANDIKTA,20223047,JL. RAYA HANKAM NO.208,JATIRAHAYU,KEC. PONDOK MELATI,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan Kita (SANDIKTA),AD7604,005/I.02.Kep/E.86,04-04-1986,425.11/03-DIK.2,04-05-2015,Lihat SK Operasional,2023-02-17 08,A,"3,893",1. Lainnya,2. Lainnya (Serat Optik),PLN,84972414,8466569,smasandikta@gmail.com,http,-6.300000000000,106.923700000000,36,329,315,19,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Lainnya,"20,000",19,2,1,20,1,0,30,9,35,0,1,0,13,23,0,30,6,10,4,6,2,4,5,5,10,26,7,6,6,19,0,0,0,1,0,0,0,
Jawa Barat,Kota Bekasi,Pondok Melati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E9CD8872-7675-439B-8A56-1D3CDC4226F5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223022,SMAS YASFI,20223022,JL. RAYA KP. SAWAH JATIMURNI,JATIMURNI,KEC. PONDOK MELATI,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Fisabilillah,AG6518,919/102-/kep/OT/1997,24-09-1997,919/102-/kep/OT/1997,24-09-1997,Lihat SK Operasional,2021-10-13 09,A,"5,000",1. Telkom Speedy,2. Telkom Speedy,PLN,,02184594629,sma_yasfi@yahoo.com,http,-6.327600000000,106.932000000000,15,64,50,6,SMA 2013 MIPA,Siang/6 hari,,2022/2023-2,Telkom Speedy,"7,700",6,1,1,1,1,0,16,1,14,0,1,0,0,15,0,12,3,5,2,1,1,3,1,2,8,7,2,2,2,6,0,0,0,1,0,0,0,
Jawa Barat,Kota Bekasi,Pondok Melati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CB42419A-6F05-4F10-91CB-C97A07B40199,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69899305,SMK PRIMA MAARIF,69899305,JL SWADAYA I RT 002/02,JATIMURNI,KEC. PONDOK MELATI,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Perguruan Islam Mafatihul Ma'arif,AG6523,421.5/133-BPPT/XI/2012,22-11-2012,421.3/Kep.643-Disdik/VII/2015,13-07-2015,Lihat SK Operasional,2020-08-24 20,B,"1,400",1. Telkom Speedy,2. Telkom Speedy,PLN,,02184596154,smkprimamaarifnu@gmail.com,,-6.329700000000,106.934500000000,9,18,16,3,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,Sehari Penuh/5 hari,,2022/2023-2,Telkom Speedy,"2,400",3,0,1,2,0,0,3,7,9,0,0,0,0,9,0,7,2,3,2,2,1,1,0,0,2,7,1,1,1,0,3,0,0,1,0,0,0,0
Jawa Barat,Kota Bekasi,Pondok Melati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DA1FFBA8-200D-4DFF-A459-F96D6304017F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20271593,SMKN 10 KOTA BEKASI,20271593,"Kp Sawah, Jl Servas Rt 07/04",JATIMELATI,KEC. PONDOK MELATI,KOTA BEKASI,PROV. JAWA BARAT,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421/kep.1189- DIK2,21-04-2011,421/Kep.283-Disdik/VI/2014,19-06-2014,Lihat SK Operasional,2020-08-24 20,B,"4,635",1. -,2. Telkom Astinet,PLN,,02121284911,smkn.10kbks@yahoo.com,http,-6.320500000000,106.934500000000,32,433,288,21,SMK 2013 REV. Teknik Mekatronika,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"33,000",15,0,1,6,4,10,2,16,28,0,4,0,13,19,0,30,2,8,5,3,4,9,3,0,13,19,8,8,4,0,15,0,0,0,1,0,0,1
Jawa Barat,Kota Bekasi,Pondok Melati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C3C1AE71-5527-49E1-800C-8137516D1BAE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223118,SMKS HUTAMA BEKASI,20223118,JL. RAYA HANKAM NO.37 PONDOK MELATI BEKASI,JATIRAHAYU,KEC. PONDOK MELATI,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan 1988 (YP'88),AG6529,07,08-03-2016,137/I02/Kep/E.89,09-06-1989,Lihat SK Operasional,2020-08-27 09,Sertifikat Kedaluwarsa,"5,520",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,02184990824,02184990823,email.smkhutama@gmail.com,http,-6.286500000000,106.914000000000,24,148,94,15,SMK 2013 REV. Teknik Kendaraan Ringan Otomotif,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Serat Optik),"5,500",20,0,1,4,2,1,24,1,21,0,1,2,19,5,1,21,2,1,2,3,3,3,3,9,13,11,5,5,5,20,0,0,0,1,0,0,0,0
