prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,program_/_layanan
Jawa Barat,Kab. Sumedang,Jatinunggal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E956D632-03AC-441F-8C10-571E912248E8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280464,MAS AL IKHLAS,20280464,Jl. H. Zainuddin Ms No.01,PAWENANG,KEC. JATINUNGGAL,KAB. SUMEDANG,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,Wi/PP.006.1/307/1989,25-10-1989,Wi/BG. 10.1.4/30/87,29-01-1987,Silakan Upload SK,,B,1.242 m2,1.,2.,,,,,,-6.944700000000,108.105200000000,
Jawa Barat,Kab. Sumedang,Jatinunggal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/57C7D3D5-E4AF-4B2F-B83E-2DB33CAF9FE7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70002889,MAS HASANATUL HUDA,70002889,DUSUN PAMENCARAN,BANJARSARI,KEC. JATINUNGGAL,KAB. SUMEDANG,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,014.2/SK-PMAHH/I/2019,02-01-2019,0250/IPM/2019,15-07-2019,Lihat SK Operasional,2021-08-14 14,,1.560 m2,1.,2.,,,,,,-6.950700000000,108.155500000000,
Jawa Barat,Kab. Sumedang,Jatinunggal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D561AE9E-E761-4B0F-9E5A-5E8BB2A073BE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70002897,MAS RIYADUL MUTA'ALIMIN,70002897,DUSUN CIWALUR,BANJARSARI,KEC. JATINUNGGAL,KAB. SUMEDANG,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,05/MA-YRM/VII/2019,18-06-2019,997 Tahun 2019,15-07-2019,Lihat SK Operasional,2020-11-13 11,,700 m2,1.,2.,,,,,,-6.966800000000,108.143400000000,
Jawa Barat,Kab. Sumedang,Jatinunggal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/56266417-33C3-40CF-A19F-699A2263E00B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69840969,SLB Binangkit,69840969,Dsn. Sukamukti Rt. 01 Rw. 07,SARIMEKAR,KEC. JATINUNGGAL,KAB. SUMEDANG,PROV. JAWA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan PUTRI BINANGKIT,AO6002,01/YPB/I/II/2014,15-02-2014,421.9/Kep.07/VI/SLB-BPPT/2014,30-06-2014,Lihat SK Operasional,2020-08-28 15,B,1.840 m2,1. Lainnya (Serat Optik),2. Telkomsel Flash,PLN,,,slbbinangkit@yahoo.com,,-6.960291000000,108.142752000000,"TKLB, SDLB, SMPLB,  dan SMLB"
Jawa Barat,Kab. Sumedang,Jatinunggal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AF2A6D69-E32C-4538-B875-4BCD0F1274AE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20208423,SMAN JATINUNGGAL,20208423,JL. RAYA TARIKOLOT - SIRNASARI - JATINUNGGAL - SUMEDANG,SIRNASARI,KEC. JATINUNGGAL,KAB. SUMEDANG,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,13a/O/1998,29-01-1998,13a/O/1998,29-01-1998,Lihat SK Operasional,2016-01-06 07,A,10.000 m2,1. Telkom Speedy,2. Telkom Speedy,PLN & Diesel,,0262428590,smanjatinunggal@gmail.com,http,-6.945600000000,108.124500000000,
Jawa Barat,Kab. Sumedang,Jatinunggal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6C6BC89C-3A1B-4678-917D-E3DB95618D14,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69968414,SMK AGRO,69968414,Dusun Sindangrena RT 01 RW03,SARIMEKAR,KEC. JATINUNGGAL,KAB. SUMEDANG,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan ARRAS CAKRABUANA,AI1101,003/YAC/SMK/I/2016,15-01-2016,642.2/4434/Kep.Dikbud/2016,05-12-2016,Lihat SK Operasional,2017-10-18 09,C,3.016 m2,1. -,2. Telkom Speedy,PLN,,,smkagrojatinunggal@gmail.com,http,-6.948542000000,108.127804000000,
Jawa Barat,Kab. Sumedang,Jatinunggal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3D329900-CA43-44A6-95F9-BF02C872F012,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69888975,SMK AL AKRAM,69888975,Jln. Jajaran Jambe Dsn. Nganceng Rt 01 Rw 04,CIPEUNDEUY,KEC. JATINUNGGAL,KAB. SUMEDANG,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Mulkan Abdiya Indonesia,AX8478,642.2/2030.a.Kep/Disdik/2012,13-06-2012,642.2/2245.Kep/Disdik/2013,04-09-2013,Silakan Upload SK (link file tidak valid) => [346103-263192--],2020-08-27 15,C,3.400 m2,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,adana.hawali12@yahoo.com,http,-6.941800000000,108.179200000000,
Jawa Barat,Kab. Sumedang,Jatinunggal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C5F8E815-9DD7-4AD5-B533-16B1B972A31D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69956573,SMK TIYASA,69956573,Dusun Sukamenak RT 03/04,SARIMEKAR,KEC. JATINUNGGAL,KAB. SUMEDANG,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN SAKINATUL ABROR,AI1104,001/KEP/YASAXII/2015,22-12-2015,642.2/1586.Kep./Dikbud/2016,13-12-2016,Lihat SK Operasional,2016-12-28 10,C,7.500 m2,1. -,2. Telkom Speedy,PLN,,,smktiyasa@gmail.com,,-6.954400000000,108.137900000000,
Jawa Barat,Kab. Sumedang,Jatinunggal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FDBFF338-4E2B-484E-AFFD-53326E4C5508,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69858466,SMK YPIB Jatinunggal,69858466,Dsn Jatinunggal RT 02/03,SIRNASARI,KEC. JATINUNGGAL,KAB. SUMEDANG,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikam Imam Bonjol Majalengka,AJ7413,003/YPIB/VII/2012,02-07-2012,642.2/2512.Kep./Disdik/2014,03-09-2014,Lihat SK Operasional,2020-08-27 15,B,3.100 m2,1. Telkomsel Flash,2. Telkom Speedy,PLN,,02622820037,smk.ypibjatinunggal@yahoo.com,https,-6.947300000000,108.125700000000,
Jawa Barat,Kab. Sumedang,Jatinunggal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F53E0D5D-F9A9-4DE2-A3B2-5574D3EBC9C1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60726123,SMKS YAPPRI SUMEDANG,60726123,JL. WADO - KIRISIK KM. 6,BANJARSARI,KEC. JATINUNGGAL,KAB. SUMEDANG,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENGEMBANGAN PENDIDIKAN DAN RISET INDONESIA,AM8081,642.2/0133.Kep./Disdik/2010,15-01-2010,642.2/2805a.KEP/Disdik/2013,11-11-2013,Lihat SK Operasional,2020-02-29 11,B,1.025 m2,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,smkyappri@ymail.com,http,-6.959800000000,108.160900000000,
